#       k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
   1.010520e-05    2.421375e+05    2.421375e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423635e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410235e+05    2.410235e+05    0.000000e+00
   1.115710e-05    2.421386e+05    2.421386e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423646e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410246e+05    2.410246e+05    0.000000e+00
   1.231860e-05    2.421362e+05    2.421362e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423622e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410222e+05    2.410222e+05    0.000000e+00
   1.360090e-05    2.421335e+05    2.421335e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423595e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410195e+05    2.410195e+05    0.000000e+00
   1.501680e-05    2.421369e+05    2.421369e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423619e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410229e+05    2.410229e+05    0.000000e+00
   1.658010e-05    2.421361e+05    2.421361e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423611e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410221e+05    2.410221e+05    0.000000e+00
   1.830600e-05    2.421338e+05    2.421338e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423588e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410198e+05    2.410198e+05    0.000000e+00
   2.021170e-05    2.421304e+05    2.421304e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423554e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410165e+05    2.410165e+05    0.000000e+00
   2.231570e-05    2.421373e+05    2.421373e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423623e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410233e+05    2.410233e+05    0.000000e+00
   2.463880e-05    2.421345e+05    2.421345e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423595e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410205e+05    2.410205e+05    0.000000e+00
   2.720370e-05    2.421314e+05    2.421314e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423564e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410174e+05    2.410174e+05    0.000000e+00
   3.003560e-05    2.421339e+05    2.421339e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423599e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410210e+05    2.410210e+05    0.000000e+00
   3.316240e-05    2.421335e+05    2.421335e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423595e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410206e+05    2.410206e+05    0.000000e+00
   3.661460e-05    2.421379e+05    2.421379e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423639e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410239e+05    2.410239e+05    0.000000e+00
   4.042610e-05    2.421371e+05    2.421371e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423621e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410231e+05    2.410231e+05    0.000000e+00
   4.463450e-05    2.421349e+05    2.421349e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423599e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410209e+05    2.410209e+05    0.000000e+00
   4.928100e-05    2.421332e+05    2.421322e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423582e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410192e+05    2.410192e+05    0.000000e+00
   5.441110e-05    2.421324e+05    2.421324e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423583e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410184e+05    2.410184e+05    0.000000e+00
   6.007530e-05    2.421336e+05    2.421326e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423586e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410196e+05    2.410196e+05    0.000000e+00
   6.632920e-05    2.421328e+05    2.421328e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423588e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410188e+05    2.410188e+05    0.000000e+00
   7.323410e-05    2.421329e+05    2.421319e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423579e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410189e+05    2.410189e+05    0.000000e+00
   8.085770e-05    2.421320e+05    2.421310e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423569e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410180e+05    2.410180e+05    0.000000e+00
   8.927500e-05    2.421311e+05    2.421301e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423561e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410171e+05    2.410171e+05    0.000000e+00
   9.856860e-05    2.421310e+05    2.421300e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423560e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410171e+05    2.410171e+05    0.000000e+00
   1.088300e-04    2.421327e+05    2.421317e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423567e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410187e+05    2.410187e+05    0.000000e+00
   1.201590e-04    2.421296e+05    2.421286e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423536e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410156e+05    2.410156e+05    0.000000e+00
   1.326670e-04    2.421246e+05    2.421236e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423486e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410107e+05    2.410107e+05    0.000000e+00
   1.464780e-04    2.421230e+05    2.421210e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423470e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410090e+05    2.410080e+05    0.000000e+00
   1.617260e-04    2.421201e+05    2.421181e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423431e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410061e+05    2.410051e+05    0.000000e+00
   1.785620e-04    2.421146e+05    2.421116e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423376e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410006e+05    2.409996e+05    0.000000e+00
   1.971500e-04    2.421124e+05    2.421084e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423344e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409985e+05    2.409975e+05    0.000000e+00
   2.176740e-04    2.421095e+05    2.421055e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423315e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409955e+05    2.409945e+05    0.000000e+00
   2.403340e-04    2.420985e+05    2.420935e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423195e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409845e+05    2.409835e+05    0.000000e+00
   2.653520e-04    2.420925e+05    2.420865e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423125e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409785e+05    2.409765e+05    0.000000e+00
   2.929760e-04    2.420769e+05    2.420699e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.422959e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409630e+05    2.409610e+05    0.000000e+00
   3.234750e-04    2.420720e+05    2.420630e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.422890e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409570e+05    2.409550e+05    0.000000e+00
   3.571480e-04    2.420541e+05    2.420441e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.422701e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409401e+05    2.409371e+05    0.000000e+00
   3.943270e-04    2.420357e+05    2.420227e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.422487e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409208e+05    2.409178e+05    0.000000e+00
   4.353770e-04    2.420139e+05    2.419979e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.422239e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.408979e+05    2.408939e+05    0.000000e+00
   4.807000e-04    2.419889e+05    2.419689e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.421959e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.408729e+05    2.408679e+05    0.000000e+00
   5.307410e-04    2.419544e+05    2.419314e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.421584e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.408385e+05    2.408325e+05    0.000000e+00
   5.859910e-04    2.419170e+05    2.418880e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.421160e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.408001e+05    2.407931e+05    0.000000e+00
   6.469930e-04    2.418704e+05    2.418354e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.420634e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.407535e+05    2.407445e+05    0.000000e+00
   7.143450e-04    2.418087e+05    2.417657e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.419947e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.406908e+05    2.406808e+05    0.000000e+00
   7.887080e-04    2.417384e+05    2.416864e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.419164e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.406205e+05    2.406075e+05    0.000000e+00
   8.708130e-04    2.416523e+05    2.415893e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.418193e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.405324e+05    2.405164e+05    0.000000e+00
   9.614640e-04    2.415460e+05    2.414690e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.417010e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.404251e+05    2.404061e+05    0.000000e+00
   1.061550e-03    2.414187e+05    2.413258e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.415587e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.402959e+05    2.402729e+05    0.000000e+00
   1.172060e-03    2.412664e+05    2.411524e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413874e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.401415e+05    2.401135e+05    0.000000e+00
   1.294070e-03    2.410744e+05    2.409354e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.411734e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.399466e+05    2.399126e+05    0.000000e+00
   1.428790e-03    2.408420e+05    2.406730e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409139e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.397111e+05    2.396691e+05    0.000000e+00
   1.577520e-03    2.405662e+05    2.403603e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.406062e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.394304e+05    2.393794e+05    0.000000e+00
   1.741740e-03    2.402304e+05    2.399795e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.402324e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.390886e+05    2.390277e+05    0.000000e+00
   1.923060e-03    2.398261e+05    2.395192e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.397811e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.386763e+05    2.386014e+05    0.000000e+00
   2.123250e-03    2.393367e+05    2.389637e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.392367e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.381779e+05    2.380859e+05    0.000000e+00
   2.344280e-03    2.387438e+05    2.382899e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.385789e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.375721e+05    2.374612e+05    0.000000e+00
   2.588320e-03    2.380280e+05    2.374751e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.377870e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.368393e+05    2.367044e+05    0.000000e+00
   2.857760e-03    2.371755e+05    2.365027e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.368446e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.359639e+05    2.357999e+05    0.000000e+00
   3.155260e-03    2.361476e+05    2.353299e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.357148e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.349061e+05    2.347082e+05    0.000000e+00
   3.483720e-03    2.349228e+05    2.339282e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.343720e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.336414e+05    2.334015e+05    0.000000e+00
   3.846380e-03    2.334680e+05    2.322596e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.327843e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.321336e+05    2.318438e+05    0.000000e+00
   4.246780e-03    2.317502e+05    2.302830e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.309197e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.303450e+05    2.299952e+05    0.000000e+00
   4.688870e-03    2.297317e+05    2.279508e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.287413e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.282326e+05    2.278108e+05    0.000000e+00
   5.176990e-03    2.273751e+05    2.252176e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.262149e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.257562e+05    2.252486e+05    0.000000e+00
   5.715910e-03    2.246449e+05    2.220308e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.233078e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.228692e+05    2.222606e+05    0.000000e+00
   6.310940e-03    2.215059e+05    2.183464e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.199971e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.195435e+05    2.188151e+05    0.000000e+00
   6.967910e-03    2.179361e+05    2.141215e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.162516e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.157340e+05    2.148648e+05    0.000000e+00
   7.693270e-03    2.139130e+05    2.093176e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.120569e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.114265e+05    2.103915e+05    0.000000e+00
   8.494140e-03    2.094349e+05    2.039099e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.074081e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.066240e+05    2.053953e+05    0.000000e+00
   9.378380e-03    2.044966e+05    1.978725e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.022942e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.013354e+05    1.998811e+05    0.000000e+00
   1.035470e-02    1.991004e+05    1.911835e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.967035e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.955789e+05    1.938621e+05    0.000000e+00
   1.143260e-02    1.932425e+05    1.838148e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.906192e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.893690e+05    1.873498e+05    0.000000e+00
   1.262270e-02    1.869360e+05    1.757589e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.840444e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.827304e+05    1.803680e+05    0.000000e+00
   1.393680e-02    1.801685e+05    1.669859e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.769667e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.756528e+05    1.729013e+05    0.000000e+00
   1.538760e-02    1.729369e+05    1.574866e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.693910e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.681202e+05    1.649357e+05    0.000000e+00
