#       k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
   1.010520e-05    2.421426e+05    2.421426e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423686e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410286e+05    2.410286e+05    0.000000e+00
   1.115710e-05    2.421413e+05    2.421413e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423673e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410273e+05    2.410273e+05    0.000000e+00
   1.231860e-05    2.421368e+05    2.421368e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423628e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410228e+05    2.410228e+05    0.000000e+00
   1.360090e-05    2.421394e+05    2.421394e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423654e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410254e+05    2.410254e+05    0.000000e+00
   1.501680e-05    2.421393e+05    2.421393e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423643e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410253e+05    2.410253e+05    0.000000e+00
   1.658010e-05    2.421342e+05    2.421342e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423592e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410203e+05    2.410203e+05    0.000000e+00
   1.830600e-05    2.421344e+05    2.421344e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423594e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410205e+05    2.410205e+05    0.000000e+00
   2.021170e-05    2.421425e+05    2.421425e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423675e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410285e+05    2.410285e+05    0.000000e+00
   2.231570e-05    2.421382e+05    2.421382e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423632e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410242e+05    2.410242e+05    0.000000e+00
   2.463880e-05    2.421400e+05    2.421400e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423650e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410260e+05    2.410260e+05    0.000000e+00
   2.720370e-05    2.421406e+05    2.421406e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423656e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410266e+05    2.410266e+05    0.000000e+00
   3.003560e-05    2.421386e+05    2.421386e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423646e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410256e+05    2.410256e+05    0.000000e+00
   3.316240e-05    2.421344e+05    2.421344e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423604e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410214e+05    2.410214e+05    0.000000e+00
   3.661460e-05    2.421387e+05    2.421387e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423647e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410247e+05    2.410247e+05    0.000000e+00
   4.042610e-05    2.421350e+05    2.421350e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423600e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410210e+05    2.410210e+05    0.000000e+00
   4.463450e-05    2.421381e+05    2.421381e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423631e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410241e+05    2.410241e+05    0.000000e+00
   4.928100e-05    2.421360e+05    2.421350e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423610e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410220e+05    2.410220e+05    0.000000e+00
   5.441110e-05    2.421370e+05    2.421370e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423630e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410230e+05    2.410230e+05    0.000000e+00
   6.007530e-05    2.421338e+05    2.421328e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423588e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410198e+05    2.410198e+05    0.000000e+00
   6.632920e-05    2.421364e+05    2.421364e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423624e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410224e+05    2.410224e+05    0.000000e+00
   7.323410e-05    2.421344e+05    2.421334e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423594e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410204e+05    2.410204e+05    0.000000e+00
   8.085770e-05    2.421331e+05    2.421321e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423581e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410192e+05    2.410192e+05    0.000000e+00
   8.927500e-05    2.421333e+05    2.421323e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423583e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410193e+05    2.410193e+05    0.000000e+00
   9.856860e-05    2.421304e+05    2.421294e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423554e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410164e+05    2.410164e+05    0.000000e+00
   1.088300e-04    2.421276e+05    2.421266e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423516e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410136e+05    2.410136e+05    0.000000e+00
   1.201590e-04    2.421265e+05    2.421255e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423505e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410125e+05    2.410125e+05    0.000000e+00
   1.326670e-04    2.421250e+05    2.421240e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423490e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410110e+05    2.410110e+05    0.000000e+00
   1.464780e-04    2.421246e+05    2.421226e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423486e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410106e+05    2.410096e+05    0.000000e+00
   1.617260e-04    2.421210e+05    2.421190e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423440e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410070e+05    2.410060e+05    0.000000e+00
   1.785620e-04    2.421163e+05    2.421133e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423392e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410023e+05    2.410013e+05    0.000000e+00
   1.971500e-04    2.421123e+05    2.421083e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423343e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409983e+05    2.409973e+05    0.000000e+00
   2.176740e-04    2.421063e+05    2.421023e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423283e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409923e+05    2.409913e+05    0.000000e+00
   2.403340e-04    2.421001e+05    2.420951e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423211e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409861e+05    2.409851e+05    0.000000e+00
   2.653520e-04    2.420932e+05    2.420872e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423132e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409792e+05    2.409772e+05    0.000000e+00
   2.929760e-04    2.420891e+05    2.420821e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423081e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409751e+05    2.409731e+05    0.000000e+00
   3.234750e-04    2.420710e+05    2.420620e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.422880e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409561e+05    2.409541e+05    0.000000e+00
   3.571480e-04    2.420555e+05    2.420455e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.422715e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409415e+05    2.409385e+05    0.000000e+00
   3.943270e-04    2.420391e+05    2.420261e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.422521e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409241e+05    2.409211e+05    0.000000e+00
   4.353770e-04    2.420187e+05    2.420027e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.422287e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.409027e+05    2.408987e+05    0.000000e+00
   4.807000e-04    2.419919e+05    2.419719e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.421989e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.408759e+05    2.408709e+05    0.000000e+00
   5.307410e-04    2.419605e+05    2.419375e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.421645e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.408445e+05    2.408385e+05    0.000000e+00
   5.859910e-04    2.419211e+05    2.418921e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.421201e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.408041e+05    2.407971e+05    0.000000e+00
   6.469930e-04    2.418744e+05    2.418394e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.420674e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.407575e+05    2.407485e+05    0.000000e+00
   7.143450e-04    2.418176e+05    2.417746e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.420036e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.406996e+05    2.406896e+05    0.000000e+00
   7.887080e-04    2.417493e+05    2.416973e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.419273e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.406313e+05    2.406183e+05    0.000000e+00
   8.708130e-04    2.416643e+05    2.416013e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.418313e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.405444e+05    2.405284e+05    0.000000e+00
   9.614640e-04    2.415611e+05    2.414841e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.417161e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.404401e+05    2.404211e+05    0.000000e+00
   1.061550e-03    2.414328e+05    2.413398e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.415728e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.403098e+05    2.402868e+05    0.000000e+00
   1.172060e-03    2.412829e+05    2.411689e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.414039e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.401579e+05    2.401299e+05    0.000000e+00
