#       k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
   1.010520e-05    2.421178e+05    2.421178e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423437e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410039e+05    2.410039e+05    0.000000e+00
   1.115710e-05    2.421177e+05    2.421177e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423437e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410039e+05    2.410039e+05    0.000000e+00
   1.231860e-05    2.421177e+05    2.421177e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423437e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410038e+05    2.410038e+05    0.000000e+00
   1.360090e-05    2.421177e+05    2.421177e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423437e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410038e+05    2.410038e+05    0.000000e+00
   1.501680e-05    2.421177e+05    2.421177e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423427e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410038e+05    2.410038e+05    0.000000e+00
   1.658010e-05    2.421177e+05    2.421177e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423427e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410038e+05    2.410038e+05    0.000000e+00
   1.830600e-05    2.421177e+05    2.421177e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423427e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410038e+05    2.410038e+05    0.000000e+00
   2.021170e-05    2.421177e+05    2.421177e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423427e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410038e+05    2.410038e+05    0.000000e+00
   2.231570e-05    2.421177e+05    2.421177e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423427e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410038e+05    2.410038e+05    0.000000e+00
   2.463880e-05    2.421177e+05    2.421177e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423427e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410038e+05    2.410038e+05    0.000000e+00
   2.720370e-05    2.421177e+05    2.421177e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423427e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410038e+05    2.410038e+05    0.000000e+00
   3.003560e-05    2.421167e+05    2.421167e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423427e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410038e+05    2.410038e+05    0.000000e+00
   3.316240e-05    2.421167e+05    2.421167e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423427e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410038e+05    2.410038e+05    0.000000e+00
   3.661460e-05    2.421167e+05    2.421167e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423427e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410028e+05    2.410028e+05    0.000000e+00
   4.042610e-05    2.421167e+05    2.421167e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423417e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410028e+05    2.410028e+05    0.000000e+00
   4.463450e-05    2.421167e+05    2.421167e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423417e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410028e+05    2.410028e+05    0.000000e+00
   4.928100e-05    2.421167e+05    2.421157e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.423417e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.410028e+05    2.410028e+05    0.000000e+00
