#       k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
   1.008989e-05    2.425314e+05    2.425314e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448231e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.417147e+05    2.417236e+05    0.000000e+00
   1.270241e-05    2.425313e+05    2.425313e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448230e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.417083e+05    2.417170e+05    0.000000e+00
   1.599139e-05    2.425313e+05    2.425313e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448229e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.417081e+05    2.417168e+05    0.000000e+00
   2.013197e-05    2.425312e+05    2.425311e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448227e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.417135e+05    2.417223e+05    0.000000e+00
   2.534465e-05    2.425310e+05    2.425310e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448225e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.417115e+05    2.417203e+05    0.000000e+00
   3.190702e-05    2.425308e+05    2.425307e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448221e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.417382e+05    2.417478e+05    0.000000e+00
   4.016856e-05    2.425304e+05    2.425303e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448215e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.417118e+05    2.417207e+05    0.000000e+00
   5.056922e-05    2.425298e+05    2.425296e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448205e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.417071e+05    2.417158e+05    0.000000e+00
   6.366287e-05    2.425289e+05    2.425285e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448189e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.417075e+05    2.417162e+05    0.000000e+00
   8.014681e-05    2.425274e+05    2.425268e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448163e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.416843e+05    2.416923e+05    0.000000e+00
   1.008989e-04    2.425250e+05    2.425242e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448124e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.412615e+05    2.412578e+05    0.000000e+00
