#       k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
   1.008989e-05    2.425314e+05    2.425314e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448231e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.427408e+05    2.427780e+05    0.000000e+00
   1.270241e-05    2.425313e+05    2.425313e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448230e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.427010e+05    2.427371e+05    0.000000e+00
   1.599139e-05    2.425313e+05    2.425313e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448229e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.426505e+05    2.426853e+05    0.000000e+00
   2.013197e-05    2.425312e+05    2.425311e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448227e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.426740e+05    2.427094e+05    0.000000e+00
   2.534465e-05    2.425310e+05    2.425310e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448225e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.426765e+05    2.427120e+05    0.000000e+00
   3.190702e-05    2.425308e+05    2.425307e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448221e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.426733e+05    2.427087e+05    0.000000e+00
   4.016856e-05    2.425304e+05    2.425303e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448215e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.427659e+05    2.428038e+05    0.000000e+00
   5.056922e-05    2.425298e+05    2.425296e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448205e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.424119e+05    2.424401e+05    0.000000e+00
   6.366287e-05    2.425289e+05    2.425285e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448189e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.426476e+05    2.426823e+05    0.000000e+00
   8.014681e-05    2.425274e+05    2.425268e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448163e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.426585e+05    2.426935e+05    0.000000e+00
   1.008989e-04    2.425250e+05    2.425242e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448124e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.426672e+05    2.427024e+05    0.000000e+00
   1.270241e-04    2.425213e+05    2.425199e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448060e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.426418e+05    2.426763e+05    0.000000e+00
   1.599139e-04    2.425153e+05    2.425132e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.447960e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.426300e+05    2.426641e+05    0.000000e+00
   2.013197e-04    2.425059e+05    2.425025e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.447801e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.426405e+05    2.426749e+05    0.000000e+00
   2.534465e-04    2.424909e+05    2.424856e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.447549e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.424475e+05    2.424765e+05    0.000000e+00
   3.190702e-04    2.424672e+05    2.424587e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.447151e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.422956e+05    2.423202e+05    0.000000e+00
   4.016856e-04    2.424297e+05    2.424163e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.446520e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.416866e+05    2.416942e+05    0.000000e+00
   5.056922e-04    2.423703e+05    2.423490e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.445522e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.416277e+05    2.416334e+05    0.000000e+00
   6.366287e-04    2.422762e+05    2.422425e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.443944e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.422221e+05    2.422437e+05    0.000000e+00
