# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513643506657e-10       4.793955017355e-15       3.799582511159e-13       0.000000000000e+00       8.308962221468e-09       5.059131876889e-10      -2.012665415717e-12 
    3       1.417612675068e-10       6.054194523128e-15       4.281363565324e-13       0.000000000000e+00       5.129822845816e-09       3.573076867291e-10      -1.512223089613e-12 
    4       1.331016815120e-10       5.148240130550e-15       3.998182365985e-13       0.000000000000e+00       3.573425524196e-09       2.695808051752e-10      -9.767952300894e-13 
    5       1.266641907290e-10       3.372217107406e-15       3.391765951395e-13       0.000000000000e+00       2.668753562826e-09       2.123140628164e-10      -5.310301638115e-13 
    6       1.222133604297e-10       1.854988045425e-15       2.715883008472e-13       0.000000000000e+00       2.084694968264e-09       1.723357257590e-10      -2.072592627112e-13 
    7       1.192623183274e-10       9.970966794943e-16       2.117233218663e-13       0.000000000000e+00       1.680644798938e-09       1.430926229296e-10      -5.088544673081e-15 
    8       1.174522794146e-10       6.484124547372e-16       1.659078153954e-13       0.000000000000e+00       1.387207219832e-09       1.209778194434e-10       9.390996000639e-14 
    9       1.164846916852e-10       5.208366043196e-16       1.354187107478e-13       0.000000000000e+00       1.166714727614e-09       1.038405912311e-10       1.170793067851e-13 
   10       1.161120979398e-10       4.388719625316e-16       1.186545198547e-13       0.000000000000e+00       9.966400075523e-10       9.028083013841e-11       9.395927771084e-14 
   11       1.162381617998e-10       3.648804882051e-16       1.125835250960e-13       0.000000000000e+00       8.432503505459e-10       7.968627979882e-11       5.145254826459e-14 
   12       1.167170203453e-10       3.171932566318e-16       1.137797655211e-13       0.000000000000e+00       7.367210846332e-10       7.043664807595e-11       8.506038321527e-15 
   13       1.174789514326e-10       3.043670977450e-16       1.192694735694e-13       0.000000000000e+00       6.492702496434e-10       6.289405102527e-11      -2.257342696354e-14 
   14       1.184510414971e-10       3.151762543683e-16       1.268690707609e-13       0.000000000000e+00       5.765107899727e-10       5.630770063663e-11      -3.807936021399e-14 
   15       1.196309129990e-10       3.376034700409e-16       1.351601768980e-13       0.000000000000e+00       5.152666051523e-10       5.077110526061e-11      -3.911738664566e-14 
   16       1.209589672005e-10       3.710530502549e-16       1.435388277900e-13       0.000000000000e+00       4.631956342727e-10       4.602135925062e-11      -3.059011023550e-14 
   17       1.224249193137e-10       4.221539129364e-16       1.519067039716e-13       0.000000000000e+00       4.185285865024e-10       4.189335000071e-11      -1.835714727094e-14 
