# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513648359376e-10       4.794180338630e-15       3.799582469358e-13       2.253212294204e-19       8.308962221468e-09       5.059131876889e-10      -2.012665415717e-12 
    3       1.417622357831e-10       6.054645265954e-15       4.281363379018e-13       4.507423793128e-19       5.129822845816e-09       3.573076867291e-10      -1.512223089613e-12 
    4       1.331032903269e-10       5.148991589988e-15       3.998181830596e-13       7.514572466323e-19       3.573425524196e-09       2.695808051752e-10      -9.767952300894e-13 
    5       1.266665947577e-10       3.373344708188e-15       3.391764731550e-13       1.127593283050e-18       2.668753562826e-09       2.123140628164e-10      -5.310301638115e-13 
    6       1.222167109106e-10       1.856567370840e-15       2.715880609454e-13       1.579304978273e-18       2.084694968264e-09       1.723357257590e-10      -2.072592627112e-13 
    7       1.192667625679e-10       9.992034978712e-16       2.117228960380e-13       2.106770866271e-18       1.680644798938e-09       1.430926229296e-10      -5.088544673081e-15 
    8       1.174579603915e-10       6.511227430011e-16       1.659071147769e-13       2.710190145034e-18       1.387207219832e-09       1.209778194434e-10       9.390996000639e-14 
    9       1.164917477457e-10       5.242265681101e-16       1.354176236158e-13       3.389779012705e-18       1.166714727614e-09       1.038405912311e-10       1.170793067851e-13 
   10       1.161206626076e-10       4.430180523531e-16       1.186529099464e-13       4.145766830014e-18       9.966400075523e-10       9.028083013841e-11       9.395927771084e-14 
   11       1.162483636850e-10       3.698594111155e-16       1.125812302626e-13       4.978392222121e-18       8.432503505459e-10       7.968627979882e-11       5.145254826459e-14 
   12       1.167289831554e-10       3.230819830016e-16       1.137765967101e-13       5.887899232074e-18       7.367210846332e-10       7.043664807595e-11       8.506038321527e-15 
   13       1.174927940777e-10       3.112428626737e-16       1.192652141278e-13       6.874533633343e-18       6.492702496434e-10       6.289405102527e-11      -2.257342696354e-14 
   14       1.184668782791e-10       3.231165534183e-16       1.268634760403e-13       7.938539500345e-18       5.765107899727e-10       5.630770063663e-11      -3.807936021399e-14 
   15       1.196488538729e-10       3.466860490381e-16       1.351529741407e-13       9.080156123986e-18       5.152666051523e-10       5.077110526061e-11      -3.911738664566e-14 
   16       1.209791180931e-10       3.813558890173e-16       1.435297162688e-13       1.029961534446e-17       4.631956342727e-10       4.602135925062e-11      -3.059011023550e-14 
   17       1.224473824842e-10       4.337552029151e-16       1.518953553565e-13       1.159713935642e-17       4.185285865024e-10       4.189335000071e-11      -1.835714727094e-14 
   18       1.240056200314e-10       5.088208802017e-16       1.604904188664e-13       1.297293881446e-17       3.797621318061e-10       3.827098475690e-11      -7.624556186368e-15 
   19       1.256653448126e-10       6.063065885363e-16       1.695556324570e-13       1.442721271447e-17       3.462778853824e-10       3.511457169960e-11      -8.584085949472e-16 
   20       1.274053331178e-10       7.236659689239e-16       1.792710934340e-13       1.596014544664e-17       3.167882177645e-10       3.233029883071e-11       6.145658992877e-16 
   21       1.292318308115e-10       8.602949395804e-16       1.895903198221e-13       1.757190986319e-17       2.908299331474e-10       2.986676780311e-11      -2.207651948701e-15 
   22       1.311264276683e-10       1.015845041728e-15       2.002915057212e-13       1.926266402847e-17       2.677811670152e-10       2.764746232162e-11      -7.115574470071e-15 
   23       1.330871379032e-10       1.190083351865e-15       2.109352153560e-13       2.103255581467e-17       2.473250617258e-10       2.564970442970e-11      -1.224092366057e-14 
   24       1.350968816309e-10       1.382732576941e-15       2.209784061367e-13       2.288171959829e-17       2.289890918114e-10       2.384582139460e-11      -1.575957263992e-14 
   25       1.371665357171e-10       1.594337428028e-15       2.301502229939e-13       2.481028263183e-17       2.125575325034e-10       2.222833748471e-11      -1.704054037686e-14 
   26       1.392967062222e-10       1.825907935395e-15       2.382750888784e-13       2.681836105861e-17       1.977328334893e-10       2.077763788773e-11      -1.603170431589e-14 
   27       1.414732081305e-10       2.079501212604e-15       2.452854540733e-13       2.890606595730e-17       1.843370430053e-10       1.946535746390e-11      -1.354548373301e-14 
   28       1.436692079157e-10       2.357489185289e-15       2.511759222042e-13       3.107350062953e-17       1.721391294932e-10       1.825345739058e-11      -1.074002581800e-14 
   29       1.458948735019e-10       2.661317853089e-15       2.560119432329e-13       3.332077008046e-17       1.610767296215e-10       1.714077431296e-11      -8.251109727404e-15 
   30       1.481612173336e-10       2.992130116194e-15       2.599167858319e-13       3.564797334195e-17       1.510310056872e-10       1.612911805045e-11      -6.645393458173e-15 
   31       1.504682363729e-10       3.350998646089e-15       2.630155355117e-13       3.805520343278e-17       1.417969947977e-10       1.521072581448e-11      -6.413638560716e-15 
   32       1.528183195747e-10       3.738842231354e-15       2.652525927672e-13       4.054255877416e-17       1.333269337653e-10       1.437518395272e-11      -7.275271016770e-15 
   33       1.552050157952e-10       4.156463571869e-15       2.665045972064e-13       4.311013604469e-17       1.255608442019e-10       1.360313338174e-11      -8.596745765221e-15 
   34       1.576150490349e-10       4.604618608715e-15       2.666303855751e-13       4.575802870922e-17       1.183899627448e-10       1.287158447182e-11      -9.698444759845e-15 
   35       1.600528630588e-10       5.084214038238e-15       2.654876753912e-13       4.848633188287e-17       1.117775269841e-10       1.218244333472e-11      -1.034723626092e-14 
   36       1.625228987184e-10       5.596170740882e-15       2.629195067553e-13       5.129513947110e-17       1.056704359677e-10       1.154313784364e-11      -1.042962085732e-14 
   37       1.650246050350e-10       6.141354873566e-15       2.587822864976e-13       5.418454197546e-17       9.998915157840e-11       1.095794658599e-11      -9.879866048039e-15 
   38       1.675604426791e-10       6.720531420472e-15       2.530621615272e-13       5.715462263268e-17       9.471894808178e-11       1.042498394198e-11      -8.879783288492e-15 
   39       1.701292948369e-10       7.334388350123e-15       2.457977882318e-13       6.020546025210e-17       8.984306024099e-11       9.937662739937e-12      -7.729797542817e-15 
   40       1.727234866458e-10       7.983543312415e-15       2.370509776952e-13       6.333713039670e-17       8.531492792511e-11       9.485049663369e-12      -6.801302060560e-15 
   41       1.753331186057e-10       8.668586548214e-15       2.268837371591e-13       6.654970162521e-17       8.107440359535e-11       9.055163334370e-12      -6.434282590698e-15 
   42       1.779623373004e-10       9.390237184660e-15       2.152770347820e-13       6.984322247406e-17       7.710896669156e-11       8.647007493187e-12      -6.579220515833e-15 
   43       1.806172593571e-10       1.014923028073e-14       2.021879503283e-13       7.321773042872e-17       7.340806303246e-11       8.261861507902e-12      -7.046240358173e-15 
   44       1.833011343593e-10       1.094627263148e-14       1.875714860495e-13       7.667325527951e-17       6.994473703006e-11       7.899867968622e-12      -7.599184444095e-15 
   45       1.860150428199e-10       1.178200462439e-14       1.713810954204e-13       8.020981458111e-17       6.668524984175e-11       7.560309402125e-12      -8.011641771234e-15 
   46       1.887609749556e-10       1.265687512364e-14       1.535711086495e-13       8.382739877876e-17       6.362443886588e-11       7.242776429154e-12      -8.261659569145e-15 
   47       1.915391410502e-10       1.357122707790e-14       1.340945625179e-13       8.752598137079e-17       6.075870885509e-11       6.946176056354e-12      -8.390442279592e-15 
