# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923246e-05       4.868383381406e-03 
       2.251775554681e-05       3.993255211842e-02 
       3.498636120247e-05       4.131499469392e-02 
       4.752690064658e-05       4.678331807279e-02 
       6.017107953230e-05       5.236032960026e-02 
       7.295134796122e-05       6.148055318967e-02 
       8.590117158737e-05       6.929630586607e-02 
       9.905531395762e-05       7.683723366314e-02 
       1.124501334903e-04       8.670045930027e-02 
       1.261238985241e-04       9.661898481026e-02 
       1.401171238832e-04       1.067414913320e-01 
       1.544729323814e-04       1.179914255505e-01 
       1.692374445844e-04       1.285081461691e-01 
       1.844601999316e-04       1.399757017695e-01 
       2.001946119095e-04       1.512313841750e-01 
       2.164984592990e-04       1.635554045015e-01 
       2.334344144703e-04       1.759462171618e-01 
       2.510706081373e-04       1.879868754202e-01 
       2.694812277303e-04       2.012327331399e-01 
       2.887471433953e-04       2.151230962064e-01 
       3.089565513139e-04       2.294856454749e-01 
       3.302056182976e-04       2.445088320013e-01 
       3.525991041420e-04       2.604193816230e-01 
       3.762509287930e-04       2.771434727168e-01 
       4.012846398372e-04       2.948553628815e-01 
       4.278337222871e-04       3.135466295802e-01 
       4.560416775835e-04       3.332983976761e-01 
       4.860617833145e-04       3.543235511519e-01 
       5.180564313506e-04       3.765800361019e-01 
       5.521959330390e-04       4.004365754464e-01 
       5.886566801031e-04       4.256886455954e-01 
       6.276185643138e-04       4.525983232034e-01 
       6.692615934693e-04       4.813050308501e-01 
       7.137617003222e-04       5.118032159002e-01 
       7.612858261435e-04       5.442798619529e-01 
       8.119864671933e-04       5.788174298892e-01 
       8.659959882004e-04       6.154302314854e-01 
       9.234211115549e-04       6.541733507882e-01 
       9.843380583383e-04       6.951367513109e-01 
       1.048788822492e-03       7.382641154184e-01 
       1.116778986862e-03       7.835201322314e-01 
       1.188277341593e-03       8.309083657730e-01 
       1.263217364035e-03       8.803031443849e-01 
       1.341500403710e-03       9.316131653002e-01 
       1.423000229794e-03       9.846876359777e-01 
       1.507568477172e-03       1.039495942143e+00 
       1.595040487038e-03       1.095781937184e+00 
       1.685241074673e-03       1.153422906306e+00 
       1.777989849548e-03       1.212282321612e+00 
       1.873105833077e-03       1.272198796548e+00 
       1.970411240942e-03       1.333012440342e+00 
       2.069734400901e-03       1.394570903055e+00 
       2.170911853969e-03       1.456751493293e+00 
       2.273789735124e-03       1.519422852419e+00 
       2.378224553043e-03       1.582440700140e+00 
       2.484083492891e-03       1.645715237519e+00 
       2.591244358339e-03       1.709120126982e+00 
       2.699595254278e-03       1.772564549749e+00 
       2.809034094327e-03       1.835956233658e+00 
       2.919467999818e-03       1.899214325717e+00 
       3.030812641171e-03       1.962266127383e+00 
       3.142991559080e-03       2.025029423759e+00 
       3.255935491967e-03       2.087448287138e+00 
       3.369581727509e-03       2.149466582072e+00 
       3.483873489548e-03       2.211027500735e+00 
       3.598759366763e-03       2.272081347838e+00 
       3.714192786088e-03       2.332587876410e+00 
       3.830131531369e-03       2.392507864632e+00 
       3.946537306183e-03       2.451799692503e+00 
       4.063375338686e-03       2.510438743265e+00 
       4.180614025754e-03       2.568389137804e+00 
       4.298224613405e-03       2.625630156469e+00 
       4.416180910359e-03       2.682136576546e+00 
       4.534459031676e-03       2.737886135526e+00 
       4.653037169509e-03       2.792863580446e+00 
       4.771895388214e-03       2.847052274022e+00 
       4.891015441268e-03       2.900438506617e+00 
       5.010380607654e-03       2.953009955035e+00 
       5.129975545600e-03       3.004756538515e+00 
       5.249786161774e-03       3.055671695808e+00 
       5.369799494223e-03       3.105747803137e+00 
       5.490003607537e-03       3.154980228924e+00 
       5.610387498875e-03       3.203363371895e+00 
       5.730941013670e-03       3.250898344165e+00 
       5.851654769906e-03       3.297583573045e+00 
       5.972520090068e-03       3.343416779440e+00 
       6.093528939880e-03       3.388400452637e+00 
       6.214673873133e-03       3.432536296979e+00 
       6.335947981903e-03       3.475829271841e+00 
       6.457344851613e-03       3.518280168756e+00 
       6.578858520406e-03       3.559893491801e+00 
       6.700483442374e-03       3.600673863769e+00 
       6.822214454238e-03       3.640629889241e+00 
       6.944046745134e-03       3.679763626070e+00 
       7.065975829162e-03       3.718086700847e+00 
       7.187997520434e-03       3.755606842990e+00 
       7.310107910369e-03       3.792327575756e+00 
       7.432303346994e-03       3.828253676782e+00 
       7.554580416073e-03       3.863399888232e+00 
       7.676935923868e-03       3.897776301662e+00 
       7.799366881390e-03       3.931384771760e+00 
       7.921870489981e-03       3.964231924440e+00 
       8.044444128110e-03       3.996339552737e+00 
       8.167085339271e-03       4.027705218936e+00 
       8.289791820870e-03       4.058343153737e+00 
       8.412561414027e-03       4.088265424287e+00 
       8.535392094189e-03       4.117470844663e+00 
       8.658281962499e-03       4.145977589616e+00 
       8.781229237845e-03       4.173791417521e+00 
       8.904232249532e-03       4.200923606438e+00 
       9.027289430517e-03       4.227381318539e+00 
       9.150399311170e-03       4.253171989994e+00 
       9.273560513504e-03       4.278312434393e+00 
       9.396771745844e-03       4.302801658924e+00 
       9.520031797891e-03       4.326648168654e+00 
       9.643339536152e-03       4.349874873491e+00 
       9.766693899711e-03       4.372471210297e+00 
       9.890093896300e-03       4.394456400244e+00 
       1.001353859866e-02       4.415838693898e+00 
       1.013702714118e-02       4.436627403467e+00 
