# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901462723e-06       3.058012974190e-09 
       8.891666132421e-06       3.029976942724e-09 
       1.119394444729e-05       3.002197947139e-09 
       1.409234112291e-05       2.974673630917e-09 
       1.774120635130e-05       2.947401659143e-09 
       2.233485551154e-05       2.920379718308e-09 
       2.811791717223e-05       2.893605516117e-09 
       3.539836045484e-05       2.867076781287e-09 
       4.456389551245e-05       2.840791263359e-09 
       5.610262050917e-05       2.814746732508e-09 
       7.062901462723e-05       2.788940979352e-09 
       8.891666132421e-05       2.763371814762e-09 
       1.119394444729e-04       2.738037069683e-09 
       1.409234112291e-04       2.712934594942e-09 
       1.774120635130e-04       2.688062261074e-09 
       2.233485551154e-04       2.663417958132e-09 
       2.811791717223e-04       2.638999595519e-09 
       3.539836045484e-04       2.614805101799e-09 
       4.456389551245e-04       2.590832424531e-09 
       5.610262050917e-04       2.567079530089e-09 
       7.062901462723e-04       2.543544403493e-09 
       8.891666132421e-04       2.520225048234e-09 
       1.119394444729e-03       2.497119486109e-09 
       1.409234112291e-03       2.474225757051e-09 
       1.774120635130e-03       2.451541918963e-09 
       2.233485551154e-03       2.429066047552e-09 
       2.811791717223e-03       2.406796236169e-09 
       3.539836045484e-03       2.384730595644e-09 
       4.456389551245e-03       2.362867254127e-09 
       5.610262050917e-03       2.341204356930e-09 
       7.062901462723e-03       2.319740066369e-09 
       8.891666132421e-03       2.298472561606e-09 
       1.119394444729e-02       2.277400038498e-09 
       1.409234112291e-02       2.256520709444e-09 
       1.774120635130e-02       2.235832803229e-09 
       2.233485551154e-02       2.215334564879e-09 
       2.811791717223e-02       2.195024255507e-09 
       3.539836045484e-02       2.174900152171e-09 
       4.456389551245e-02       2.154960547723e-09 
       5.610262050917e-02       2.135203750668e-09 
       7.062901462723e-02       2.115628085016e-09 
       8.891666132421e-02       2.096231890146e-09 
       1.119394444729e-01       2.077013520660e-09 
       1.409234112291e-01       2.057971346244e-09 
       1.774120635130e-01       2.039103751533e-09 
       2.233485551154e-01       2.020409135969e-09 
       2.811791717223e-01       2.001885913672e-09 
       3.539836045484e-01       1.983532513297e-09 
       4.456389551245e-01       1.965347377908e-09 
       5.610262050917e-01       1.947328964842e-09 
       7.062901462723e-01       1.929475745581e-09 
       8.891666132421e-01       1.911786205617e-09 
       1.119394444729e+00       1.894258844331e-09 
       1.409234112291e+00       1.876892174859e-09 
       1.774120635130e+00       1.859684723969e-09 
       2.233485551154e+00       1.842635031938e-09 
       2.811791717223e+00       1.825741652422e-09 
       3.539836045484e+00       1.809003152341e-09 
       4.456389551245e+00       1.792418111752e-09 
       5.610262050917e+00       1.775985123728e-09 
       7.062901462723e+00       1.759702794244e-09 
       8.891666132421e+00       1.743569742054e-09 
       1.119394444729e+01       1.727584598575e-09 
       1.409234112291e+01       1.711746007773e-09 
       1.774120635130e+01       1.696052626044e-09 
       2.233485551154e+01       1.680503122104e-09 
       2.811791717223e+01       1.665096176873e-09 
       3.539836045484e+01       1.649830483364e-09 
       4.456389551245e+01       1.634704746575e-09 
       5.610262050917e+01       1.619717683375e-09 
       7.062901462723e+01       1.604868022395e-09 
       8.891666132421e+01       1.590154503926e-09 
       1.119394444729e+02       1.575575879805e-09 
       1.409234112291e+02       1.561130913313e-09 
       1.774120635130e+02       1.546818379071e-09 
