# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       1.008985923246e-05      -1.550589542832e+00      -1.162942157009e+00      -1.162942157000e+00       0.000000000000e+00      -1.550589542848e+00      -1.174176494484e+00       6.123562058839e-01       5.967976598227e-01       1.526035965959e-08       1.526017918731e-08       1.526017686274e-08                      nan       1.526036674173e-08       1.526018433680e-08 
       2.251775554681e-05      -1.550694456529e+00      -1.163020844737e+00      -1.163020844795e+00       0.000000000000e+00      -1.550694456212e+00      -1.174255942312e+00       6.123442728394e-01       5.967869838445e-01       7.599733929598e-08       7.600330775072e-08       7.600332349907e-08                      nan       7.599701118925e-08       7.600308685379e-08 
       3.498636120247e-05      -1.550806610581e+00      -1.163104968202e+00      -1.163104968389e+00       0.000000000000e+00      -1.550806609100e+00      -1.174340878218e+00       6.123415258755e-01       5.967850695044e-01       1.834477781510e-07       1.834757468345e-07       1.834758006892e-07                      nan       1.834461230366e-07       1.834746938253e-07 
       4.752690064658e-05      -1.550965589256e+00      -1.163224222441e+00      -1.163224222889e+00       0.000000000000e+00      -1.550965584701e+00      -1.174461283879e+00       6.123382786561e-01       5.967829592612e-01       3.384920723209e-07       3.385782350225e-07       3.385783654910e-07                      nan       3.384867856559e-07       3.385749596123e-07 
       6.017107953230e-05      -1.551168095769e+00      -1.163376142952e+00      -1.163376143628e+00       0.000000000000e+00      -1.551168085171e+00      -1.174614670527e+00       6.123356783964e-01       5.967817160142e-01       5.424877091959e-07       5.426943161257e-07       5.426945038941e-07                      nan       5.424749345905e-07       5.426863600647e-07 
       7.295134796122e-05      -1.551431898582e+00      -1.163574073407e+00      -1.163574074982e+00       0.000000000000e+00      -1.551431875684e+00      -1.174814510600e+00       6.123297206452e-01       5.967776470966e-01       7.972692166751e-07       7.977082163347e-07       7.977086909491e-07                      nan       7.972415740495e-07       7.976913642340e-07 
       8.590117158737e-05      -1.551742128614e+00      -1.163806873947e+00      -1.163806876440e+00       0.000000000000e+00      -1.551742085790e+00      -1.175049555619e+00       6.123246905223e-01       5.967747359869e-01       1.105224461568e-06       1.106048844472e-06       1.106049612922e-06                      nan       1.105172177209e-06       1.106017093899e-06 
       9.905531395762e-05      -1.552104381300e+00      -1.164078760788e+00      -1.164078764627e+00       0.000000000000e+00      -1.552104307039e+00      -1.175324062056e+00       6.123198902809e-01       5.967723517135e-01       1.469296338353e-06       1.470723008218e-06       1.470724225647e-06                      nan       1.469204940658e-06       1.470667956274e-06 
       1.124501334903e-04      -1.552540116491e+00      -1.164405871972e+00      -1.164405879631e+00       0.000000000000e+00      -1.552539990730e+00      -1.175654323742e+00       6.123107950025e-01       5.967663359965e-01       1.892995886544e-06       1.895361240288e-06       1.895363743870e-06                      nan       1.892842270003e-06       1.895270323977e-06 
       1.261238985241e-04      -1.553040923112e+00      -1.164781935985e+00      -1.164781946344e+00       0.000000000000e+00      -1.553040727654e+00      -1.176034004263e+00       6.123005200201e-01       5.967596154701e-01       2.380571817590e-06       2.384313707262e-06       2.384317032731e-06                      nan       2.380331444331e-06       2.384169412411e-06 
       1.401171238832e-04      -1.553612672497e+00      -1.165211398238e+00      -1.165211413086e+00       0.000000000000e+00      -1.553612376733e+00      -1.176467592567e+00       6.122887898409e-01       5.967519405742e-01       2.937011489356e-06       2.942707491471e-06       2.942712217832e-06                      nan       2.936646906296e-06       2.942487592882e-06 
       1.544729323814e-04      -1.554270492726e+00      -1.165705673150e+00      -1.165705700297e+00       0.000000000000e+00      -1.554270046263e+00      -1.176966615350e+00       6.122732108418e-01       5.967411090481e-01       3.568102677086e-06       3.576540962308e-06       3.576550216348e-06                      nan       3.567556577594e-06       3.576216912090e-06 
       1.692374445844e-04      -1.555003248742e+00      -1.166256483269e+00      -1.166256515526e+00       0.000000000000e+00      -1.555002617843e+00      -1.177522700372e+00       6.122582030261e-01       5.967313170192e-01       4.280705223977e-06       4.292857817678e-06       4.292868031983e-06                      nan       4.279928775489e-06       4.292388784119e-06 
       1.844601999316e-04      -1.555836046878e+00      -1.166882755072e+00      -1.166882803966e+00       0.000000000000e+00      -1.555835150803e+00      -1.178154967836e+00       6.122393675322e-01       5.967184707737e-01       5.082611456047e-06       5.099784571392e-06       5.099800633363e-06                      nan       5.081511271819e-06       5.099123030967e-06 
       2.001946119095e-04      -1.556764715980e+00      -1.167581468396e+00      -1.167581533398e+00       0.000000000000e+00      -1.556763477635e+00      -1.178860354482e+00       6.122199491043e-01       5.967056588692e-01       5.983010644522e-06       6.006819713444e-06       6.006840397705e-06                      nan       5.981489256769e-06       6.005901331830e-06 
       2.164984592990e-04      -1.557816486540e+00      -1.168373250330e+00      -1.168373339263e+00       0.000000000000e+00      -1.557814792525e+00      -1.179659685119e+00       6.121956472789e-01       5.966889715108e-01       6.992274325958e-06       7.024903070193e-06       7.024931168603e-06                      nan       6.990194459855e-06       7.023644369705e-06 
       2.334344144703e-04      -1.558990177606e+00      -1.169257354990e+00      -1.169257475475e+00       0.000000000000e+00      -1.558987888012e+00      -1.180552200777e+00       6.121697116711e-01       5.966714623900e-01       8.122672143436e-06       8.166783859226e-06       8.166821875062e-06                      nan       8.119862613411e-06       8.165082245803e-06 
       2.510706081373e-04      -1.560291577968e+00      -1.170238310599e+00      -1.170238467926e+00       0.000000000000e+00      -1.560288524816e+00      -1.181542463987e+00       6.121441107126e-01       5.966550217690e-01       9.388357450055e-06       9.447234104709e-06       9.447283963060e-06                      nan       9.384607548932e-06       9.444962223974e-06 
       2.694812277303e-04      -1.561762111008e+00      -1.171347631363e+00      -1.171347840313e+00       0.000000000000e+00      -1.561758060607e+00      -1.182662283054e+00       6.121123421449e-01       5.966337705988e-01       1.080512445166e-05       1.088325070738e-05       1.088331696938e-05                      nan       1.080015216551e-05       1.088023617925e-05 
       2.887471433953e-04      -1.563412227175e+00      -1.172593514186e+00      -1.172593790707e+00       0.000000000000e+00      -1.563406888545e+00      -1.183919920459e+00       6.120763388315e-01       5.966095942231e-01       1.239166960234e-05       1.249464866465e-05       1.249473631963e-05                      nan       1.238512074973e-05       1.249067551603e-05 
       3.089565513139e-04      -1.565260317966e+00      -1.173990232568e+00      -1.173990594495e+00       0.000000000000e+00      -1.565253325936e+00      -1.185329769699e+00       6.120367507419e-01       5.965832153184e-01       1.416948700699e-05       1.430439431573e-05       1.430450906955e-05                      nan       1.416091443706e-05       1.429918935065e-05 
       3.302056182976e-04      -1.567334974168e+00      -1.175559902419e+00      -1.175560373477e+00       0.000000000000e+00      -1.567325859955e+00      -1.186914137881e+00       6.119924712130e-01       5.965537613002e-01       1.616318111968e-05       1.633909408312e-05       1.633924348050e-05                      nan       1.615201275900e-05       1.633230701118e-05 
       3.525991041420e-04      -1.569670386752e+00      -1.177329058905e+00      -1.177329671213e+00       0.000000000000e+00      -1.569658546140e+00      -1.188699787251e+00       6.119419199736e-01       5.965199479062e-01       1.840097525377e-05       1.862959677260e-05       1.862979087668e-05                      nan       1.838647727209e-05       1.862077631581e-05 
       3.762509287930e-04      -1.572298669791e+00      -1.179322849688e+00      -1.179323645262e+00       0.000000000000e+00      -1.572283328024e+00      -1.190712073374e+00       6.118851504110e-01       5.964820143128e-01       2.091547052268e-05       2.121172591564e-05       2.121197821230e-05                      nan       2.089670343339e-05       2.120029700330e-05 
       4.012846398372e-04      -1.575263021167e+00      -1.181575143681e+00      -1.181576172778e+00       0.000000000000e+00      -1.575243189742e+00      -1.192985139679e+00       6.118206468858e-01       5.964387959289e-01       2.374382751379e-05       2.412697414695e-05       2.412730035875e-05                      nan       2.371959237555e-05       2.411219365384e-05 
       4.278337222871e-04      -1.578608012798e+00      -1.184121178942e+00      -1.184122508373e+00       0.000000000000e+00      -1.578582417213e+00      -1.195554504772e+00       6.117479912660e-01       5.963901671297e-01       2.692869415347e-05       2.742343776689e-05       2.742385908537e-05                      nan       2.689744973369e-05       2.740435309181e-05 
       4.560416775835e-04      -1.582387202948e+00      -1.187003697687e+00      -1.187005337373e+00       0.000000000000e+00      -1.582354324333e+00      -1.198463175268e+00       6.116660602823e-01       5.963354467478e-01       3.051841828583e-05       3.115676463532e-05       3.115726947756e-05                      nan       3.047828829235e-05       3.113211221377e-05 
       4.860617833145e-04      -1.586665643566e+00      -1.190274252459e+00      -1.190276412721e+00       0.000000000000e+00      -1.586623204245e+00      -1.201763248560e+00       6.115727210576e-01       5.962728895088e-01       3.456797946717e-05       3.539098537309e-05       3.539166043977e-05                      nan       3.451627954167e-05       3.535922159195e-05 
       5.180564313506e-04      -1.591509444131e+00      -1.193987056427e+00      -1.193989706852e+00       0.000000000000e+00      -1.591454994807e+00      -1.205509085205e+00       6.114673933449e-01       5.962025254873e-01       3.913888775318e-05       4.020010039877e-05       4.020090555412e-05                      nan       3.907257513698e-05       4.015909607878e-05 
       5.521959330390e-04      -1.597007471756e+00      -1.198212647384e+00      -1.198216464003e+00       0.000000000000e+00      -1.596936651792e+00      -1.209772304797e+00       6.113462527077e-01       5.961209415001e-01       4.430049482206e-05       4.566822497245e-05       4.566945199531e-05                      nan       4.421467114612e-05       4.561552363801e-05 
