# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513657740117e-10       4.793963271712e-15       3.799578565184e-13       0.000000000000e+00       8.309220421857e-09       5.059266440092e-10      -2.012681271764e-12 
    3       1.417617426597e-10       6.054212580883e-15       4.281329427116e-13       0.000000000000e+00       5.130003912816e-09       3.573182076839e-10      -1.512238240263e-12 
    4       1.331021831609e-10       5.148276384716e-15       3.998175422258e-13       0.000000000000e+00       3.573562654746e-09       2.695890979286e-10      -9.768067743016e-13 
    5       1.266650773936e-10       3.372251414148e-15       3.391789487669e-13       0.000000000000e+00       2.668862427463e-09       2.123208601178e-10      -5.310363350470e-13 
    6       1.222145690923e-10       1.855012852417e-15       2.715916010716e-13       0.000000000000e+00       2.084784448217e-09       1.723415381701e-10      -2.072609357142e-13 
    7       1.192635287437e-10       9.971158373409e-16       2.117268218780e-13       0.000000000000e+00       1.680719877528e-09       1.430977396270e-10      -5.087597263697e-15 
    8       1.174534756054e-10       6.484291848168e-16       1.659113283525e-13       0.000000000000e+00       1.387271430116e-09       1.209823969051e-10       9.391182567786e-14 
    9       1.164859206038e-10       5.208519142736e-16       1.354220982368e-13       0.000000000000e+00       1.166770911630e-09       1.038447580874e-10       1.170809708000e-13 
   10       1.161132560429e-10       4.388861900565e-16       1.186581106832e-13       0.000000000000e+00       9.966898501084e-10       9.028469426754e-11       9.396021420009e-14 
   11       1.162393140733e-10       3.648942801300e-16       1.125875030621e-13       0.000000000000e+00       8.432950979509e-10       7.968992552105e-11       5.145270429170e-14 
   12       1.167181761216e-10       3.172079747377e-16       1.137842342814e-13       0.000000000000e+00       7.367613322894e-10       7.043995987495e-11       8.505587138351e-15 
   13       1.174801158507e-10       3.043842337197e-16       1.192745173411e-13       0.000000000000e+00       6.493067778548e-10       6.289703120015e-11      -2.257418243880e-14 
   14       1.184522814972e-10       3.151971285127e-16       1.268747585941e-13       0.000000000000e+00       5.765439857770e-10       5.631048984098e-11      -3.808018534189e-14 
   15       1.196322656999e-10       3.376289637232e-16       1.351665688244e-13       0.000000000000e+00       5.152969622205e-10       5.077373003984e-11      -3.911810921909e-14 
   16       1.209603457817e-10       3.710841306499e-16       1.435457836362e-13       0.000000000000e+00       4.632235344208e-10       4.602373935300e-11      -3.059068650198e-14 
   17       1.224263917970e-10       4.221923397255e-16       1.519142404311e-13       0.000000000000e+00       4.185542739517e-10       4.189547412468e-11      -1.835760216923e-14 
   18       1.239822557825e-10       4.958896694951e-16       1.605124005250e-13       0.000000000000e+00       3.797858388420e-10       3.827296483705e-11      -7.624984680143e-15 
   19       1.256394824102e-10       5.919300210816e-16       1.695810702798e-13       0.000000000000e+00       3.462998394603e-10       3.511645470049e-11      -8.588733953042e-16 
   20       1.273769556850e-10       7.077677144106e-16       1.793004996633e-13       0.000000000000e+00       3.168085909383e-10       3.233200773183e-11       6.140745590351e-16 
   21       1.292008727827e-10       8.427983057280e-16       1.896241501535e-13       0.000000000000e+00       2.908488744966e-10       2.986828051032e-11      -2.208161514816e-15 
   22       1.310927296787e-10       9.966726645939e-16       2.003300888884e-13       0.000000000000e+00       2.677987931202e-10       2.764886237782e-11      -7.116117024199e-15 
   23       1.330505716168e-10       1.169157975090e-15       2.109788831867e-13       0.000000000000e+00       2.473414853802e-10       2.565104816741e-11      -1.224150291056e-14 
   24       1.350573878273e-10       1.359977397469e-15       2.210275455265e-13       0.000000000000e+00       2.290044180186e-10       2.384709398771e-11      -1.576016632161e-14 
   25       1.371240582488e-10       1.569676217964e-15       2.302052936846e-13       0.000000000000e+00       2.125718610112e-10       2.222951218953e-11      -1.704109921843e-14 
   26       1.392511703598e-10       1.799265039173e-15       2.383366175577e-13       0.000000000000e+00       1.977462503519e-10       2.077869714548e-11      -1.603216218393e-14 
   27       1.414245330130e-10       2.050800977422e-15       2.453539367565e-13       0.000000000000e+00       1.843496256988e-10       1.946630126542e-11      -1.354582095204e-14 
   28       1.436173105984e-10       2.326655877227e-15       2.512518042809e-13       0.000000000000e+00       1.721509434119e-10       1.825430650759e-11      -1.074028751912e-14 
   29       1.458396740944e-10       2.628276300972e-15       2.560957183032e-13       0.000000000000e+00       1.610878386890e-10       1.714156124802e-11      -8.251355503321e-15 
   30       1.481026410829e-10       2.956806017325e-15       2.600090385125e-13       0.000000000000e+00       1.510414694438e-10       1.612988484549e-11      -6.645680242322e-15 
   31       1.504062139139e-10       3.313318556260e-15       2.631169277386e-13       0.000000000000e+00       1.418068629844e-10       1.521151676239e-11      -6.414012820751e-15 
   32       1.527527851210e-10       3.698732926049e-15       2.653637314920e-13       0.000000000000e+00       1.333362529573e-10       1.437601037689e-11      -7.275745559645e-15 
   33       1.551359066466e-10       4.113851791547e-15       2.666259736353e-13       0.000000000000e+00       1.255696557967e-10       1.360395462910e-11      -8.597284901564e-15 
   34       1.575423045913e-10       4.559431152081e-15       2.667623798276e-13       0.000000000000e+00       1.183982999483e-10       1.287231413862e-11      -9.698969861261e-15 
   35       1.599764202709e-10       5.036378533608e-15       2.656306901621e-13       0.000000000000e+00       1.117854211092e-10       1.218302128152e-11      -1.034769127049e-14 
   36       1.624426897294e-10       5.545615984816e-15       2.630740177898e-13       0.000000000000e+00       1.056779160610e-10       1.154356025122e-11      -1.042999956087e-14 
   37       1.649405578380e-10       6.088010895908e-15       2.589488315693e-13       0.000000000000e+00       9.999624281740e-11       1.095826494223e-11      -9.880211355084e-15 
   38       1.674724892367e-10       6.664329190231e-15       2.532412304084e-13       0.000000000000e+00       9.472567538435e-11       1.042525361027e-11      -8.880141678924e-15 
   39       1.700373742405e-10       7.275259728271e-15       2.459897784924e-13       0.000000000000e+00       8.984944802865e-11       9.937925510696e-12      -7.730203765804e-15 
   40       1.726275463873e-10       7.921421101721e-15       2.372561755677e-13       0.000000000000e+00       8.532099828046e-11       9.485329417103e-12      -6.801775517682e-15 
   41       1.752331140358e-10       8.603404355330e-15       2.271023249451e-13       0.000000000000e+00       8.108017537356e-11       9.055465300314e-12      -6.434826502237e-15 
   42       1.778582247348e-10       9.321928644022e-15       2.155091909588e-13       0.000000000000e+00       7.711445826339e-11       8.647330428447e-12      -6.579831125579e-15 
   43       1.805089936108e-10       1.007772870989e-14       2.024338852524e-13       0.000000000000e+00       7.341329230081e-11       8.262200653690e-12      -7.046908947885e-15 
   44       1.831886679556e-10       1.087151084471e-14       1.878314533761e-13       0.000000000000e+00       6.994972034367e-11       7.900214438377e-12      -7.599896557367e-15 
   45       1.858983267507e-10       1.170391509616e-14       1.716553796498e-13       0.000000000000e+00       6.669000150504e-11       7.560650870604e-12      -8.012378214861e-15 
   46       1.886399647525e-10       1.257539135537e-14       1.538599307044e-13       0.000000000000e+00       6.362897285650e-11       7.243102266808e-12      -8.262403474943e-15 
   47       1.914137990553e-10       1.348628410022e-14       1.343980441128e-13       0.000000000000e+00       6.076303884448e-11       6.946479290697e-12      -8.391181849549e-15 
   48       1.942170897235e-10       1.443686245798e-14       1.132203844847e-13       0.000000000000e+00       5.807950611041e-11       6.668584087193e-12      -8.449836306569e-15 
   49       1.970438856878e-10       1.542731685179e-14       9.027511300955e-14       0.000000000000e+00       5.555590716873e-11       6.406030536663e-12      -8.499970500933e-15 
   50       1.998877828940e-10       1.645778687907e-14       6.551401270689e-14       0.000000000000e+00       5.316675960906e-11       6.155228329583e-12      -8.600226437749e-15 
   51       2.027516708798e-10       1.752846164739e-14       3.891335891886e-14       0.000000000000e+00       5.090757571432e-11       5.915835104615e-12      -8.760339937816e-15 
   52       2.056401925623e-10       1.863950087708e-14       1.045831551818e-14       0.000000000000e+00       4.877620091804e-11       5.688103508929e-12      -8.975594541282e-15 
   53       2.085568535264e-10       1.979100421073e-14      -1.986285866213e-14       0.000000000000e+00       4.676562921178e-11       5.471870296673e-12      -9.239651231137e-15 
   54       2.115039096743e-10       2.098300932959e-14      -5.205874119346e-14       0.000000000000e+00       4.486367673021e-11       5.266526645331e-12      -9.544456390509e-15 
   55       2.144826727439e-10       2.221550440479e-14      -8.613527445962e-14       0.000000000000e+00       4.305669349604e-11       5.071279352160e-12      -9.879801751883e-15 
   56       2.174947731274e-10       2.348847338884e-14      -1.220976618364e-13       0.000000000000e+00       4.134252622247e-11       4.886078410406e-12      -1.023208709145e-14 
   57       2.205410139729e-10       2.480185867607e-14      -1.599488223436e-13       0.000000000000e+00       3.972020400770e-11       4.710867869717e-12      -1.058508894144e-14 
   58       2.236208868211e-10       2.615554645711e-14      -1.996887904864e-13       0.000000000000e+00       3.818601690872e-11       4.545297193701e-12      -1.092017836502e-14 
   59       2.267324755357e-10       2.754936539366e-14      -2.413146708818e-13       0.000000000000e+00       3.673334685729e-11       4.388702909282e-12      -1.121621535481e-14 
   60       2.298723602327e-10       2.898308529335e-14      -2.848205928842e-13       0.000000000000e+00       3.535249857581e-11       4.240090256061e-12      -1.144944323143e-14 
   61       2.330370751137e-10       3.045636510868e-14      -3.301985231947e-13       0.000000000000e+00       3.403338816468e-11       4.098405336565e-12      -1.159906773146e-14 
   62       2.362280816856e-10       3.196858629254e-14      -3.774410194787e-13       0.000000000000e+00       3.277469658536e-11       3.963464465270e-12      -1.166569654010e-14 
   63       2.394477464352e-10       3.351897951576e-14      -4.265390171236e-13       0.000000000000e+00       3.157648008256e-11       3.835201807744e-12      -1.165687015420e-14 
   64       2.426978395907e-10       3.510666916720e-14      -4.774810080053e-13       0.000000000000e+00       3.043741695531e-11       3.713388334853e-12      -1.158181571018e-14 
   65       2.459794883552e-10       3.673067042069e-14      -5.302530223379e-13       0.000000000000e+00       2.935472914460e-11       3.597622689490e-12      -1.145152175355e-14 
   66       2.492931301410e-10       3.838988630189e-14      -5.848386105226e-13       0.000000000000e+00       2.832410382111e-11       3.487322053307e-12      -1.127881300830e-14 
   67       2.526384658037e-10       4.008310475525e-14      -6.412188249972e-13       0.000000000000e+00       2.733961497286e-11       3.381713013444e-12      -1.107842514635e-14 
   68       2.560150018401e-10       4.180910716515e-14      -6.993721947395e-13       0.000000000000e+00       2.639530367552e-11       3.280034636241e-12      -1.086445958356e-14 
   69       2.594239090946e-10       4.356702601027e-14      -7.592746833490e-13       0.000000000000e+00       2.549046600606e-11       3.182215885961e-12      -1.064198186469e-14 
   70       2.628664583939e-10       4.535605474329e-14      -8.208996898257e-13       0.000000000000e+00       2.462530065936e-11       3.088319692206e-12      -1.041384738724e-14 
   71       2.663434337713e-10       4.717534266756e-14      -8.842180371548e-13       0.000000000000e+00       2.379930972336e-11       2.998339248355e-12      -1.018317837165e-14 
   72       2.698551007642e-10       4.902399485454e-14      -9.491979539686e-13       0.000000000000e+00       2.301126268824e-11       2.912194305587e-12      -9.953371623640e-15 
   73       2.734011747108e-10       5.090107206117e-14      -1.015805056207e-12       0.000000000000e+00       2.225916045574e-11       2.829727466893e-12      -9.728106296741e-15 
   74       2.769807890475e-10       5.280559064728e-14      -1.084002328781e-12       0.000000000000e+00       2.154019934832e-11       2.750700481105e-12      -9.511351654691e-15 
   75       2.805924636054e-10       5.473652249301e-14      -1.153750107231e-12       0.000000000000e+00       2.085073511844e-11       2.674790536904e-12      -9.307374833890e-15 
   76       2.842347596896e-10       5.669274954401e-14      -1.225007607901e-12       0.000000000000e+00       2.018718609351e-11       2.601674240882e-12      -9.119977682856e-15 
   77       2.879084533072e-10       5.867291806036e-14      -1.297737881133e-12       0.000000000000e+00       1.954901230502e-11       2.531305423459e-12      -8.950029456116e-15 
   78       2.916147024809e-10       6.067555751571e-14      -1.371903732192e-12       0.000000000000e+00       1.893621675401e-11       2.463681494554e-12      -8.797496207585e-15 
   79       2.953543782898e-10       6.269912261495e-14      -1.447466266077e-12       0.000000000000e+00       1.834843800762e-11       2.398758376654e-12      -8.662163883118e-15 
   80       2.991280472494e-10       6.474199228119e-14      -1.524384900944e-12       0.000000000000e+00       1.778493346610e-11       2.336448596864e-12      -8.543630274560e-15 
   81       3.029359536917e-10       6.680246864282e-14      -1.602617381516e-12       0.000000000000e+00       1.724456262977e-11       2.276619378958e-12      -8.441296973780e-15 
   82       3.067780021448e-10       6.887877602048e-14      -1.682119792499e-12       0.000000000000e+00       1.672577036595e-11       2.219090735431e-12      -8.354361326724e-15 
   83       3.106537397137e-10       7.096905991405e-14      -1.762846571996e-12       0.000000000000e+00       1.622657017604e-11       2.163633559549e-12      -8.281808387447e-15 
   84       3.145626526935e-10       7.307144701558e-14      -1.844749906561e-12       0.000000000000e+00       1.574502601481e-11       2.110024973239e-12      -8.222371955276e-15 
   85       3.185051515054e-10       7.518423889788e-14      -1.927777771733e-12       0.000000000000e+00       1.528082617707e-11       2.058229092514e-12      -8.174427889248e-15 
   86       3.224817174960e-10       7.730574872739e-14      -2.011875589749e-12       0.000000000000e+00       1.483394086204e-11       2.008242870331e-12      -8.136068273369e-15 
   87       3.264925910647e-10       7.943424310565e-14      -2.096986822002e-12       0.000000000000e+00       1.440413858864e-11       1.960040573437e-12      -8.105122321680e-15 
   88       3.305377593247e-10       8.156794208200e-14      -2.183052972064e-12       0.000000000000e+00       1.399097784143e-11       1.913572836710e-12      -8.079147812688e-15 
   89       3.346169437646e-10       8.370501916619e-14      -2.270013588709e-12       0.000000000000e+00       1.359379871666e-11       1.868765717489e-12      -8.055422523796e-15 
   90       3.387295879094e-10       8.584360134106e-14      -2.357806268935e-12       0.000000000000e+00       1.321171456825e-11       1.825519749909e-12      -8.030935665739e-15 
   91       3.428748449818e-10       8.798176907516e-14      -2.446366660983e-12       0.000000000000e+00       1.284360365385e-11       1.783708999238e-12      -8.002379317009e-15 
   92       3.470515655639e-10       9.011755633542e-14      -2.535628467367e-12       0.000000000000e+00       1.248810078077e-11       1.743180116208e-12      -7.966139858289e-15 
   93       3.512586433708e-10       9.224898353960e-14      -2.625524654146e-12       0.000000000000e+00       1.214392058494e-11       1.703790508286e-12      -7.919152235204e-15 
   94       3.554961388626e-10       9.437416205539e-14      -2.715991280266e-12       0.000000000000e+00       1.181090113077e-11       1.665531474611e-12      -7.861628321286e-15 
   95       3.597643025968e-10       9.649120551446e-14      -2.806964252420e-12       0.000000000000e+00       1.148910255338e-11       1.628421928291e-12      -7.794724973475e-15 
   96       3.640632248502e-10       9.859819873172e-14      -2.898378189426e-12       0.000000000000e+00       1.117848566018e-11       1.592470526356e-12      -7.719721000838e-15 
   97       3.683928281953e-10       1.006931981700e-13      -2.990166441809e-12       0.000000000000e+00       1.087890812913e-11       1.557675261041e-12      -7.638020442896e-15 
   98       3.727528600776e-10       1.027742324051e-13      -3.082261111376e-12       0.000000000000e+00       1.059012070704e-11       1.524023051077e-12      -7.551155847966e-15 
   99       3.771428853925e-10       1.048393025903e-13      -3.174593070800e-12       0.000000000000e+00       1.031176340782e-11       1.491489332972e-12      -7.460791551489e-15 
  100       3.815622790626e-10       1.068863829213e-13      -3.267091983202e-12       0.000000000000e+00       1.004336171077e-11       1.460037652300e-12      -7.368726954366e-15 
  101       3.860102186147e-10       1.089134211011e-13      -3.359686321726e-12       0.000000000000e+00       9.784322758892e-12       1.429619254988e-12      -7.276899801293e-15 
  102       3.904856767565e-10       1.109183388049e-13      -3.452303389124e-12       0.000000000000e+00       9.533931557094e-12       1.400172678597e-12      -7.187389459093e-15 
  103       3.949874139541e-10       1.128990321444e-13      -3.544869337336e-12       0.000000000000e+00       9.291347170534e-12       1.371623343614e-12      -7.102420195051e-15 
  104       3.995142352263e-10       1.148534232313e-13      -3.637309753975e-12       0.000000000000e+00       9.055792984520e-12       1.343900586084e-12      -7.023877351589e-15 
  105       4.040658160228e-10       1.167796217971e-13      -3.729551469852e-12       0.000000000000e+00       8.827164943382e-12       1.316992256223e-12      -6.951774374605e-15 
  106       4.086419745911e-10       1.186757863735e-13      -3.821521033262e-12       0.000000000000e+00       8.605498770814e-12       1.290896767659e-12      -6.885583850731e-15 
  107       4.132424132562e-10       1.205400761583e-13      -3.913144190379e-12       0.000000000000e+00       8.390781596326e-12       1.265606100267e-12      -6.824704069420e-15 
  108       4.178667139018e-10       1.223706520416e-13      -4.004345911070e-12       0.000000000000e+00       8.182950286072e-12       1.241105583122e-12      -6.768456948495e-15 
  109       4.225143334504e-10       1.241656776319e-13      -4.095050414700e-12       0.000000000000e+00       7.981889773673e-12       1.217373677446e-12      -6.716085959694e-15 
  110       4.271845993438e-10       1.259233202827e-13      -4.185181195943e-12       0.000000000000e+00       7.787431391036e-12       1.194381759558e-12      -6.666754054216e-15 
  111       4.318767050240e-10       1.276417521189e-13      -4.274661050596e-12       0.000000000000e+00       7.599351199186e-12       1.172093903824e-12      -6.619541588268e-15 
  112       4.365897054134e-10       1.293191510627e-13      -4.363412101385e-12       0.000000000000e+00       7.417368319082e-12       1.150466665604e-12      -6.573444248613e-15 
  113       4.413225123955e-10       1.309537018604e-13      -4.451355823776e-12       0.000000000000e+00       7.241143262446e-12       1.129448864203e-12      -6.527370978115e-15 
  114       4.460738902955e-10       1.325435971084e-13      -4.538413071788e-12       0.000000000000e+00       7.070276262584e-12       1.108981365820e-12      -6.480141901282e-15 
  115       4.508424513605e-10       1.340870382797e-13      -4.624504103799e-12       0.000000000000e+00       6.904305605211e-12       1.088996866497e-12      -6.430486249822e-15 
  116       4.556268441610e-10       1.355822860041e-13      -4.709549515224e-12       0.000000000000e+00       6.742808635228e-12       1.069434935885e-12      -6.377315142835e-15 
  117       4.604263544417e-10       1.370278156495e-13      -4.793473110016e-12       0.000000000000e+00       6.585722277616e-12       1.050289687583e-12      -6.320581987324e-15 
  118       4.652403691761e-10       1.384221826719e-13      -4.876199428376e-12       0.000000000000e+00       6.433058532766e-12       1.031567524004e-12      -6.260523277582e-15 
  119       4.700681873989e-10       1.397639764996e-13      -4.957652904587e-12       0.000000000000e+00       6.284804534342e-12       1.013272312926e-12      -6.197393452512e-15 
  120       4.749090173926e-10       1.410518219951e-13      -5.037757900846e-12       0.000000000000e+00       6.140921787936e-12       9.954053053733e-13      -6.131465251364e-15 
  121       4.797619738739e-10       1.422843809172e-13      -5.116438741085e-12       0.000000000000e+00       6.001345409729e-12       9.779650534986e-13      -6.063030069474e-15 
  122       4.846260751799e-10       1.434603533825e-13      -5.193619744805e-12       0.000000000000e+00       5.865983365146e-12       9.609473284643e-13      -5.992398313998e-15 
  123       4.895002404542e-10       1.445784793272e-13      -5.269225260904e-12       0.000000000000e+00       5.734715707511e-12       9.443450383236e-13      -5.919899759659e-15 
  124       4.943832868334e-10       1.456375399692e-13      -5.343179701504e-12       0.000000000000e+00       5.607393816707e-12       9.281481459015e-13      -5.845883904473e-15 
  125       4.992739266334e-10       1.466363592696e-13      -5.415407575779e-12       0.000000000000e+00       5.483839637833e-12       9.123435866765e-13      -5.770720325498e-15 
  126       5.041707645356e-10       1.475738053950e-13      -5.485833523783e-12       0.000000000000e+00       5.363844919860e-12       8.969151866616e-13      -5.694799034565e-15 
  127       5.090722947731e-10       1.484487921785e-13      -5.554382350282e-12       0.000000000000e+00       5.247170454288e-12       8.818435802860e-13      -5.618530834017e-15 
