# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513662593150e-10       4.794188594946e-15       3.799578523377e-13       2.253231888792e-19       8.309220421857e-09       5.059266440092e-10      -2.012681271764e-12 
    3       1.417627109988e-10       6.054663327645e-15       4.281329240786e-13       4.507463157429e-19       5.130003912816e-09       3.573182076839e-10      -1.512238240263e-12 
    4       1.331037920803e-10       5.149027850752e-15       3.998174886798e-13       7.514638455052e-19       3.573562654746e-09       2.695890979286e-10      -9.768067743016e-13 
    5       1.266674815786e-10       3.373379024897e-15       3.391788267664e-13       1.127603251104e-18       2.668862427463e-09       2.123208601178e-10      -5.310363350470e-13 
    6       1.222179197914e-10       1.856592191898e-15       2.715913611384e-13       1.579319047112e-18       2.084784448217e-09       1.723415381701e-10      -2.072609357142e-13 
    7       1.192679732740e-10       9.992226746379e-16       2.117263959942e-13       2.106789794942e-18       1.680719877528e-09       1.430977396270e-10      -5.087597263697e-15 
    8       1.174591569533e-10       6.511394976391e-16       1.659106276436e-13       2.710214721467e-18       1.387271430116e-09       1.209823969051e-10       9.391182567786e-14 
    9       1.164929771259e-10       5.242419090702e-16       1.354210109656e-13       3.389810053977e-18       1.166770911630e-09       1.038447580874e-10       1.170809708000e-13 
   10       1.161218212718e-10       4.430323181657e-16       1.186565005705e-13       4.145805181447e-18       9.966898501084e-10       9.028469426754e-11       9.396021420009e-14 
   11       1.162495166278e-10       3.698732494643e-16       1.125852079398e-13       4.978438755253e-18       8.432950979509e-10       7.968992552105e-11       5.145270429170e-14 
   12       1.167301397175e-10       3.230967565384e-16       1.137810650753e-13       5.887954841624e-18       7.367613322894e-10       7.043995987495e-11       8.505587138351e-15 
   13       1.174939594060e-10       3.112600639676e-16       1.192702573736e-13       6.874599233314e-18       6.493067778548e-10       6.289703120015e-11      -2.257418243880e-14 
   14       1.184681193211e-10       3.231375036557e-16       1.268691631898e-13       7.938616019459e-18       5.765439857770e-10       5.631048984098e-11      -3.808018534189e-14 
