# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923385e-05       8.602999896387e-03 
       2.251775554930e-05       1.859274192862e-02 
       3.498636120606e-05       2.838314402661e-02 
       4.752690065129e-05       3.808703551380e-02 
       6.017107953816e-05       4.776660452573e-02 
       7.295134796828e-05       5.746720920537e-02 
       8.590117159567e-05       6.722680167096e-02 
       9.905531396721e-05       7.707975517621e-02 
       1.124501335013e-04       8.705879133209e-02 
       1.261238985365e-04       9.719612385643e-02 
       1.401171238971e-04       1.075242304173e-01 
       1.544729323969e-04       1.180764313636e-01 
       1.692374446017e-04       1.288873786541e-01 
       1.844601999509e-04       1.399934822643e-01 
       2.001946119308e-04       1.514333189315e-01 
       2.164984593225e-04       1.632480291105e-01 
       2.334344144963e-04       1.754817149940e-01 
       2.510706081659e-04       1.881818465135e-01 
       2.694812277618e-04       2.013996660242e-01 
       2.887471434300e-04       2.151906097164e-01 
       3.089565513521e-04       2.296147159908e-01 
       3.302056183397e-04       2.447370206979e-01 
       3.525991041884e-04       2.606279310451e-01 
       3.762509288441e-04       2.773635317081e-01 
       4.012846398935e-04       2.950258174403e-01 
       4.278337223492e-04       3.137027944060e-01 
       4.560416776520e-04       3.334883997849e-01 
       4.860617833901e-04       3.544821925042e-01 
       5.180564314341e-04       3.767887253522e-01 
       5.521959331310e-04       4.005165427561e-01 
       5.886566802046e-04       4.257767306142e-01 
       6.276185644258e-04       4.526809367324e-01 
       6.692615935926e-04       4.813388642713e-01 
       7.137617004578e-04       5.118552273398e-01 
       7.612858262925e-04       5.443262387072e-01 
       8.119864673565e-04       5.788357812951e-01 
       8.659959883789e-04       6.154515056704e-01 
       9.234211117495e-04       6.542211055792e-01 
       9.843380585498e-04       6.951691493315e-01 
       1.048788822721e-03       7.382947493539e-01 
       1.116778987109e-03       7.835703940886e-01 
       1.188277341859e-03       8.309420438287e-01 
       1.263217364320e-03       8.803307481430e-01 
       1.341500404014e-03       9.316436145237e-01 
       1.423000230117e-03       9.847537758841e-01 
       1.507568477514e-03       1.039525743921e+00 
       1.595040487398e-03       1.095813341849e+00 
       1.685241075052e-03       1.153463899252e+00 
       1.777989849946e-03       1.212322035831e+00 
       1.873105833493e-03       1.272232938843e+00 
       1.970411241375e-03       1.333045058685e+00 
       2.069734401352e-03       1.394612074261e+00 
       2.170911854437e-03       1.456794419192e+00 
       2.273789735608e-03       1.519460263239e+00 
       2.378224553543e-03       1.582485923192e+00 
       2.484083493407e-03       1.645756227548e+00 
       2.591244358870e-03       1.709164200557e+00 
       2.699595254824e-03       1.772611336645e+00 
       2.809034094888e-03       1.836006678751e+00 
       2.919468000394e-03       1.899266881834e+00 
       3.030812641761e-03       1.962315389719e+00 
       3.142991559685e-03       2.025082542584e+00 
       3.255935492585e-03       2.087504194161e+00 
       3.369581728141e-03       2.149522213064e+00 
       3.483873490193e-03       2.211083431415e+00 
       3.598759367421e-03       2.272140095470e+00 
       3.714192786759e-03       2.332647835699e+00 
       3.830131532053e-03       2.392567429099e+00 
       3.946537306880e-03       2.451862532150e+00 
       4.063375339396e-03       2.510501516483e+00 
       4.180614026477e-03       2.568454535394e+00 
       4.298224614140e-03       2.625696440998e+00 
       4.416180911106e-03       2.682203774078e+00 
       4.534459032436e-03       2.737955586740e+00 
       4.653037170281e-03       2.792934297460e+00 
       4.771895388998e-03       2.847123534991e+00 
       4.891015442065e-03       2.900510475469e+00 
       5.010380608463e-03       2.953083007238e+00 
       5.129975546421e-03       3.004830471958e+00 
       5.249786162607e-03       3.055745932567e+00 
       5.369799495068e-03       3.105822017180e+00 
       5.490003608392e-03       3.155054917310e+00 
       5.610387499743e-03       3.203440316205e+00 
       5.730941014549e-03       3.250975487890e+00 
       5.851654770797e-03       3.297659729315e+00 
       5.972520090970e-03       3.343493727135e+00 
       6.093528940795e-03       3.388477732215e+00 
       6.214673874059e-03       3.432613924155e+00 
       6.335947982840e-03       3.475905655033e+00 
       6.457344852562e-03       3.518355345911e+00 
       6.578858521367e-03       3.559969171156e+00 
       6.700483443346e-03       3.600751694102e+00 
       6.822214455222e-03       3.640707378704e+00 
       6.944046746129e-03       3.679843627271e+00 
       7.065975830168e-03       3.718167476981e+00 
       7.187997521452e-03       3.755684041201e+00 
       7.310107911398e-03       3.792403792673e+00 
       7.432303348035e-03       3.828333867087e+00 
       7.554580417124e-03       3.863482133122e+00 
       7.676935924931e-03       3.897855213760e+00 
       7.799366882465e-03       3.931463742194e+00 
       7.921870491067e-03       3.964316496503e+00 
       8.044444129208e-03       3.996421990696e+00 
       8.167085340379e-03       4.027789637197e+00 
       8.289791821990e-03       4.058427504575e+00 
       8.412561415158e-03       4.088346429607e+00 
       8.535392095331e-03       4.117554775224e+00 
       8.658281963652e-03       4.146061542822e+00 
       8.781229239010e-03       4.173875218395e+00 
       8.904232250708e-03       4.201007639559e+00 
       9.027289431704e-03       4.227465447271e+00 
       9.150399312368e-03       4.253257858564e+00 
       9.273560514714e-03       4.278394659186e+00 
       9.396771747065e-03       4.302884215388e+00 
       9.520031799123e-03       4.326734805879e+00 
       9.643339537395e-03       4.349956325528e+00 
       9.766693900965e-03       4.372554890110e+00 
       9.890093897566e-03       4.394541328708e+00 
       1.001353859994e-02       4.415923702594e+00 
       1.013702714247e-02       4.436707758313e+00 
       1.026055871802e-02       4.456902887543e+00 
       1.038413257505e-02       4.476516387699e+00 
       1.050774801489e-02       4.495559111828e+00 
       1.063140438921e-02       4.514031718968e+00 
       1.075510109773e-02       4.531949454200e+00 
       1.087883758598e-02       4.549314439086e+00 
       1.100261334330e-02       4.566133418809e+00 
       1.112642790095e-02       4.582415088359e+00 
       1.125028083038e-02       4.598166764231e+00 
       1.137417174154e-02       4.613393887374e+00 
       1.149810028141e-02       4.628104824404e+00 
       1.162206613256e-02       4.642302617053e+00 
       1.174606901183e-02       4.655997080079e+00 
       1.187010866910e-02       4.669192929262e+00 
       1.199418488617e-02       4.681896999276e+00 
       1.211829747567e-02       4.694113749004e+00 
       1.224244628010e-02       4.705851468548e+00 
       1.236663117090e-02       4.717115246814e+00 
       1.249085204757e-02       4.727908403830e+00 
       1.261510883696e-02       4.738240458640e+00 
       1.273940149246e-02       4.748113499488e+00 
