# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513635740834e-10       4.793930431522e-15       3.799563025739e-13       0.000000000000e+00       8.308919702347e-09       5.059105900984e-10      -2.012655092559e-12 
    3       1.417605407711e-10       6.054163472506e-15       4.281341610021e-13       0.000000000000e+00       5.129796662431e-09       3.573058586264e-10      -1.512215334783e-12 
    4       1.331009986374e-10       5.148213724310e-15       3.998161860301e-13       0.000000000000e+00       3.573407329450e-09       2.695794251038e-10      -9.767902213049e-13 
    5       1.266635401563e-10       3.372199810758e-15       3.391748551503e-13       0.000000000000e+00       2.668740009929e-09       2.123129667777e-10      -5.310274400266e-13 
    6       1.222127321053e-10       1.854978531692e-15       2.715869075809e-13       0.000000000000e+00       2.084684382016e-09       1.723348363309e-10      -2.072581990114e-13 
    7       1.192617072326e-10       9.970915660571e-16       2.117222360455e-13       0.000000000000e+00       1.680636242361e-09       1.430918953445e-10      -5.088518305857e-15 
    8       1.174516761862e-10       6.484091294869e-16       1.659069646426e-13       0.000000000000e+00       1.387200131678e-09       1.209772043064e-10       9.390947863445e-14 
    9       1.164840921888e-10       5.208339331531e-16       1.354180164059e-13       0.000000000000e+00       1.166708749453e-09       1.038400503845e-10       1.170787075017e-13 
   10       1.161114989315e-10       4.388697119662e-16       1.186539111834e-13       0.000000000000e+00       9.966348977035e-10       9.028035864263e-11       9.395879794665e-14 
   11       1.162375655647e-10       3.648786180550e-16       1.125829478956e-13       0.000000000000e+00       8.432460204589e-10       7.968587763375e-11       5.145228650398e-14 
   12       1.167164208234e-10       3.171916306091e-16       1.137791829632e-13       0.000000000000e+00       7.367173013389e-10       7.043629616195e-11       8.505995862580e-15 
   13       1.174783448793e-10       3.043655366600e-16       1.192688625786e-13       0.000000000000e+00       6.492669152370e-10       6.289372162973e-11      -2.257331111365e-14 
   14       1.184504287730e-10       3.151746391624e-16       1.268684206380e-13       0.000000000000e+00       5.765078290610e-10       5.630739907360e-11      -3.807916534773e-14 
   15       1.196302958259e-10       3.376017388101e-16       1.351594857183e-13       0.000000000000e+00       5.152639586400e-10       5.077084867740e-11      -3.911718663924e-14 
   16       1.209583475824e-10       3.710511458350e-16       1.435380923802e-13       0.000000000000e+00       4.631932550809e-10       4.602113703680e-11      -3.058995449233e-14 
   17       1.224242835485e-10       4.221517526469e-16       1.519059266018e-13       0.000000000000e+00       4.185264366329e-10       4.189313323034e-11      -1.835705475546e-14 
   18       1.239800972806e-10       4.958402206744e-16       1.605035387754e-13       0.000000000000e+00       3.797601809212e-10       3.827077928743e-11      -7.624517185870e-15 
   19       1.256373077833e-10       5.918700770035e-16       1.695716801120e-13       0.000000000000e+00       3.462761063599e-10       3.511438857369e-11      -8.584011733304e-16 
   20       1.273746870972e-10       7.076948835249e-16       1.792904746714e-13       0.000000000000e+00       3.167865901536e-10       3.233013859264e-11       6.145686576356e-16 
   21       1.291984815081e-10       8.427104906646e-16       1.896134633897e-13       0.000000000000e+00       2.908284388540e-10       2.986662155741e-11      -2.207634529372e-15 
   22       1.310902833214e-10       9.965684101862e-16       2.003188618697e-13       0.000000000000e+00       2.677797910901e-10       2.764731557196e-11      -7.115536296060e-15 
   23       1.330481120975e-10       1.169035745091e-15       2.109672597833e-13       0.000000000000e+00       2.473237908486e-10       2.564955974824e-11      -1.224086445494e-14 
   24       1.350548929780e-10       1.359835290102e-15       2.210156403873e-13       0.000000000000e+00       2.289879151046e-10       2.384570088393e-11      -1.575949625746e-14 
   25       1.371214989484e-10       1.569511914736e-15       2.301931698688e-13       0.000000000000e+00       2.125564401973e-10       2.222824086945e-11      -1.704045489439e-14 
   26       1.392485302287e-10       1.799075867391e-15       2.383242893642e-13       0.000000000000e+00       1.977318173363e-10       2.077753455349e-11      -1.603162114795e-14 
   27       1.414218057956e-10       2.050584492786e-15       2.453414637323e-13       0.000000000000e+00       1.843360956696e-10       1.946523548335e-11      -1.354541139476e-14 
   28       1.436144989265e-10       2.326409994871e-15       2.512393088338e-13       0.000000000000e+00       1.721382448244e-10       1.825333656063e-11      -1.073996747073e-14 
   29       1.458367793378e-10       2.627998722424e-15       2.560832875531e-13       0.000000000000e+00       1.610759017890e-10       1.714067356859e-11      -8.251064812563e-15 
   30       1.480996595272e-10       2.956493994283e-15       2.599966802950e-13       0.000000000000e+00       1.510302294704e-10       1.612904300938e-11      -6.645357541216e-15 
   31       1.504031365321e-10       3.312968959461e-15       2.631045813525e-13       0.000000000000e+00       1.417962660286e-10       1.521066807283e-11      -6.413603749347e-15 
   32       1.527496008387e-10       3.698342903738e-15       2.653513937483e-13       0.000000000000e+00       1.333262485209e-10       1.437513268446e-11      -7.275231089937e-15 
   33       1.551326034328e-10       4.113419072253e-15       2.666137550726e-13       0.000000000000e+00       1.255601988668e-10       1.360307921097e-11      -8.596698451263e-15 
   34       1.575388706703e-10       4.558954005769e-15       2.667504968565e-13       0.000000000000e+00       1.183893542619e-10       1.287152042011e-11      -9.698391930021e-15 
   35       1.599728487759e-10       5.035855034657e-15       2.656193307427e-13       0.000000000000e+00       1.117769524852e-10       1.218236641590e-11      -1.034718080129e-14 
   36       1.624389812945e-10       5.545043723415e-15       2.630632883472e-13       0.000000000000e+00       1.056698928581e-10       1.154305037195e-11      -1.042956572887e-14 
   37       1.649367203630e-10       6.087386961617e-15       2.589387633930e-13       0.000000000000e+00       9.998863767210e-11       1.095785593763e-11      -9.879814034728e-15 
   38       1.674685306267e-10       6.663650486824e-15       2.532318809824e-13       0.000000000000e+00       9.471846126813e-11       1.042489730818e-11      -8.879736127856e-15 
   39       1.700332998738e-10       7.274523061932e-15       2.459812693492e-13       0.000000000000e+00       8.984259849471e-11       9.937585237748e-12      -7.729755441524e-15 
   40       1.726233584039e-10       7.920623180558e-15       2.372487058409e-13       0.000000000000e+00       8.531448945925e-11       9.484983735233e-12      -6.801263346972e-15 
   41       1.752288117000e-10       8.602541984197e-15       2.270961582427e-13       0.000000000000e+00       8.107398693119e-11       9.055108679735e-12      -6.434243934153e-15 
   42       1.778538085483e-10       9.320999581459e-15       2.155045496929e-13       0.000000000000e+00       7.710857041474e-11       8.646962902105e-12      -6.579179120495e-15 
   43       1.805044668185e-10       1.007673207868e-14       2.024309088328e-13       0.000000000000e+00       7.340768578318e-11       8.261825343424e-12      -7.046194788294e-15 
   44       1.831840370672e-10       1.087044737915e-14       1.878301803268e-13       0.000000000000e+00       6.994437758746e-11       7.899838128759e-12      -7.599134934426e-15 
   45       1.858936008855e-10       1.170278705637e-14       1.716557536507e-13       0.000000000000e+00       6.668490715876e-11       7.560283440517e-12      -8.011590099748e-15 
   46       1.886351509618e-10       1.257420129234e-14       1.538618893688e-13       0.000000000000e+00       6.362411192194e-11       7.242752211098e-12      -8.261607416919e-15 
   47       1.914089005165e-10       1.348503444954e-14       1.344015480092e-13       0.000000000000e+00       6.075839664799e-11       6.946152037594e-12      -8.390390682824e-15 
   48       1.942121049995e-10       1.443555544372e-14       1.132254237437e-13       0.000000000000e+00       5.807506900278e-11       6.668281354198e-12      -8.449055863873e-15 
