# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923246e-05       4.868198757507e-03 
       2.251775554681e-05       3.993260527078e-02 
       3.498636120247e-05       4.131497464918e-02 
       4.752690064658e-05       4.678325957410e-02 
       6.017107953230e-05       5.236024155334e-02 
       7.295134796122e-05       6.148044000664e-02 
       8.590117158737e-05       6.929617025743e-02 
       9.905531395762e-05       7.683707705118e-02 
       1.124501334903e-04       8.670028544661e-02 
       1.261238985241e-04       9.661878032990e-02 
       1.401171238832e-04       1.067412634678e-01 
       1.544729323814e-04       1.179909639800e-01 
       1.692374445844e-04       1.285073178638e-01 
       1.844601999316e-04       1.399754374698e-01 
       2.001946119095e-04       1.512310395098e-01 
       2.164984592990e-04       1.635550330026e-01 
       2.334344144703e-04       1.759458156737e-01 
       2.510706081373e-04       1.879864455792e-01 
       2.694812277303e-04       2.012322717909e-01 
       2.887471433953e-04       2.151226018499e-01 
       3.089565513139e-04       2.294851171048e-01 
       3.302056182976e-04       2.445082681319e-01 
       3.525991041420e-04       2.604187802443e-01 
       3.762509287930e-04       2.771428319804e-01 
       4.012846398372e-04       2.948546805269e-01 
       4.278337222871e-04       3.135459034192e-01 
       4.560416775835e-04       3.332976209770e-01 
       4.860617833145e-04       3.543227300132e-01 
       5.180564313506e-04       3.765791434659e-01 
       5.521959330390e-04       4.004356515235e-01 
       5.886566801031e-04       4.256876570150e-01 
       6.276185643138e-04       4.525972729003e-01 
       6.692615934693e-04       4.813039255651e-01 
       7.137617003222e-04       5.118020346364e-01 
       7.612858261435e-04       5.442785892440e-01 
       8.119864671933e-04       5.788161167447e-01 
       8.659959882004e-04       6.154287885660e-01 
       9.234211115549e-04       6.541718265025e-01 
       9.843380583383e-04       6.951351353836e-01 
       1.048788822492e-03       7.382623975023e-01 
       1.116778986862e-03       7.835183072700e-01 
       1.188277341593e-03       8.309064304614e-01 
       1.263217364035e-03       8.803010939313e-01 
       1.341500403710e-03       9.316109954360e-01 
       1.423000229794e-03       9.846853435980e-01 
       1.507568477172e-03       1.039493520740e+00 
       1.595040487038e-03       1.095779384389e+00 
       1.685241074673e-03       1.153420218893e+00 
       1.777989849548e-03       1.212279498118e+00 
       1.873105833077e-03       1.272195833427e+00 
       1.970411240942e-03       1.333009335365e+00 
       2.069734400901e-03       1.394567654744e+00 
       2.170911853969e-03       1.456748099877e+00 
       2.273789735124e-03       1.519419313607e+00 
       2.378224553043e-03       1.582437014351e+00 
       2.484083492891e-03       1.645711404315e+00 
       2.591244358339e-03       1.709116146054e+00 
       2.699595254278e-03       1.772560420998e+00 
       2.809034094327e-03       1.835951957228e+00 
       2.919467999818e-03       1.899209901848e+00 
       3.030812641171e-03       1.962261556610e+00 
       3.142991559080e-03       2.025024706693e+00 
       3.255935491967e-03       2.087443424573e+00 
       3.369581727509e-03       2.149461574912e+00 
       3.483873489548e-03       2.211022350075e+00 
       3.598759366763e-03       2.272076054844e+00 
       3.714192786088e-03       2.332582442323e+00 
       3.830131531369e-03       2.392502290822e+00 
       3.946537306183e-03       2.451793980397e+00 
       4.063375338686e-03       2.510432894363e+00 
       4.180614025754e-03       2.568383153711e+00 
       4.298224613405e-03       2.625624038825e+00 
       4.416180910359e-03       2.682130327028e+00 
       4.534459031676e-03       2.737879755893e+00 
       4.653037169509e-03       2.792857072473e+00 
       4.771895388214e-03       2.847045639585e+00 
       4.891015441268e-03       2.900431747654e+00 
       5.010380607654e-03       2.953003073101e+00 
       5.129975545600e-03       3.004749535704e+00 
       5.249786161774e-03       3.055664574027e+00 
       5.369799494223e-03       3.105740564336e+00 
       5.490003607537e-03       3.154972875048e+00 
       5.610387498875e-03       3.203355904659e+00 
       5.730941013670e-03       3.250890766304e+00 
       5.851654769906e-03       3.297575885699e+00 
       5.972520090068e-03       3.343408983782e+00 
       6.093528939880e-03       3.388392552799e+00 
       6.214673873133e-03       3.432528293799e+00 
       6.335947981903e-03       3.475821167326e+00 
       6.457344851613e-03       3.518271964861e+00 
       6.578858520406e-03       3.559885190379e+00 
       6.700483442374e-03       3.600665466787e+00 
       6.822214454238e-03       3.640621398607e+00 
       6.944046745134e-03       3.679755043684e+00 
       7.065975829162e-03       3.718078028544e+00 
       7.187997520434e-03       3.755598082402e+00 
       7.310107910369e-03       3.792318729226e+00 
       7.432303346994e-03       3.828244745913e+00 
       7.554580416073e-03       3.863390874759e+00 
       7.676935923868e-03       3.897767207437e+00 
       7.799366881390e-03       3.931375599338e+00 
       7.921870489981e-03       3.964222673572e+00 
       8.044444128110e-03       3.996330227120e+00 
       8.167085339271e-03       4.027695819555e+00 
       8.289791820870e-03       4.058333681699e+00 
       8.412561414027e-03       4.088255881717e+00 
       8.535392094189e-03       4.117461233239e+00 
