# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513663386369e-10       4.793981150446e-15       3.799592735211e-13       0.000000000000e+00       8.309250889770e-09       5.059285378922e-10      -2.012688777931e-12 
    3       1.417622717064e-10       6.054235159623e-15       4.281345393718e-13       0.000000000000e+00       5.130022741035e-09       3.573195444904e-10      -1.512243880198e-12 
    4       1.331026784581e-10       5.148295584830e-15       3.998190332863e-13       0.000000000000e+00       3.573575739105e-09       2.695900811579e-10      -9.768104172476e-13 
    5       1.266655490042e-10       3.372263990699e-15       3.391802137794e-13       0.000000000000e+00       2.668872175268e-09       2.123216273569e-10      -5.310383149927e-13 
    6       1.222150244929e-10       1.855019770536e-15       2.715926139322e-13       0.000000000000e+00       2.084792186736e-09       1.723421826288e-10      -2.072617082091e-13 
    7       1.192639742179e-10       9.971195559829e-16       2.117276115360e-13       0.000000000000e+00       1.680726166073e-09       1.430982771780e-10      -5.087616899098e-15 
    8       1.174539101517e-10       6.484316030127e-16       1.659119467774e-13       0.000000000000e+00       1.387276509495e-09       1.209828174932e-10       9.391217446933e-14 
    9       1.164863523775e-10       5.208538567762e-16       1.354226031537e-13       0.000000000000e+00       1.166775098256e-09       1.038451116711e-10       1.170814070507e-13 
   10       1.161136875839e-10       4.388878265966e-16       1.186585533948e-13       0.000000000000e+00       9.966933548188e-10       9.028502394659e-11       9.396056605431e-14 
   11       1.162397476140e-10       3.648956410663e-16       1.125879226443e-13       0.000000000000e+00       8.432981319425e-10       7.969022865353e-11       5.145289775362e-14 
   12       1.167186059317e-10       3.172091573951e-16       1.137846587680e-13       0.000000000000e+00       7.367639740885e-10       7.044019766340e-11       8.505618241583e-15 
   13       1.174805479362e-10       3.043853680124e-16       1.192749608441e-13       0.000000000000e+00       6.493090979212e-10       6.289723234603e-11      -2.257426959538e-14 
   14       1.184527201305e-10       3.151983052213e-16       1.268752306069e-13       0.000000000000e+00       5.765460387336e-10       5.631069742790e-11      -3.808032988857e-14 
   15       1.196327115115e-10       3.376302207330e-16       1.351670733920e-13       0.000000000000e+00       5.152987900202e-10       5.077392683339e-11      -3.911825351942e-14 
   16       1.209607885486e-10       3.710855152880e-16       1.435463161551e-13       0.000000000000e+00       4.632251725418e-10       4.602388418300e-11      -3.059079476225e-14 
   17       1.224268395309e-10       4.221939212216e-16       1.519148072975e-13       0.000000000000e+00       4.185557506180e-10       4.189558725140e-11      -1.835766559711e-14 
   18       1.239827152335e-10       4.958915269156e-16       1.605129979179e-13       0.000000000000e+00       3.797871753083e-10       3.827309334805e-11      -7.625014250928e-15 
   19       1.256399522702e-10       5.919322321492e-16       1.695816974103e-13       0.000000000000e+00       3.463010551316e-10       3.511660140805e-11      -8.588835501020e-16 
   20       1.273774280783e-10       7.077703515000e-16       1.793011651018e-13       0.000000000000e+00       3.168097016379e-10       3.233211906204e-11       6.140712779039e-16 
   21       1.292013476075e-10       8.428014494220e-16       1.896248587454e-13       0.000000000000e+00       2.908498936991e-10       2.986834632250e-11      -2.208170084136e-15 
   22       1.310932175497e-10       9.966764019451e-16       2.003308375770e-13       0.000000000000e+00       2.677997307936e-10       2.764894014937e-11      -7.116141298918e-15 
   23       1.330510750896e-10       1.169162367783e-15       2.109796695254e-13       0.000000000000e+00       2.473423501691e-10       2.565115429993e-11      -1.224154539852e-14 
   24       1.350578969220e-10       1.359982477929e-15       2.210283699173e-13       0.000000000000e+00       2.290052171169e-10       2.384717770948e-11      -1.576021980482e-14 
   25       1.371245694267e-10       1.569682049925e-15       2.302061543603e-13       0.000000000000e+00       2.125726012293e-10       2.222955807899e-11      -1.704115583428e-14 
   26       1.392516910839e-10       1.799271732240e-15       2.383375090007e-13       0.000000000000e+00       1.977469378231e-10       2.077874975904e-11      -1.603221659530e-14 
   27       1.414250664811e-10       2.050808632383e-15       2.453548521493e-13       0.000000000000e+00       1.843502657335e-10       1.946638133736e-11      -1.354586940408e-14 
   28       1.436178513808e-10       2.326664570870e-15       2.512527368427e-13       0.000000000000e+00       1.721515401574e-10       1.825438818747e-11      -1.074032789752e-14 
   29       1.458402159073e-10       2.628286114312e-15       2.560966638182e-13       0.000000000000e+00       1.610883960927e-10       1.714161976039e-11      -8.251387558459e-15 
   30       1.481031795375e-10       2.956817046081e-15       2.600099968569e-13       0.000000000000e+00       1.510419911924e-10       1.612991459348e-11      -6.645706053299e-15 
   31       1.504067473837e-10       3.313330910822e-15       2.631179024658e-13       0.000000000000e+00       1.418073521890e-10       1.521153179650e-11      -6.414036697388e-15 
   32       1.527533162682e-10       3.698746720084e-15       2.653647239508e-13       0.000000000000e+00       1.333367125025e-10       1.437602547602e-11      -7.275771569166e-15 
   33       1.551364436598e-10       4.113867137635e-15       2.666269804108e-13       0.000000000000e+00       1.255700882110e-10       1.360397846746e-11      -8.597315848011e-15 
   34       1.575428599565e-10       4.559448161410e-15       2.667633927173e-13       0.000000000000e+00       1.183987072344e-10       1.287234865882e-11      -9.699006888081e-15 
   35       1.599770013022e-10       5.036397320039e-15       2.656317003764e-13       0.000000000000e+00       1.117858051461e-10       1.218306577560e-11      -1.034773362137e-14 
   36       1.624432942894e-10       5.545636666061e-15       2.630750174004e-13       0.000000000000e+00       1.056782786002e-10       1.154361228709e-11      -1.043004418353e-14 
   37       1.649411749622e-10       6.088033593572e-15       2.589498136179e-13       0.000000000000e+00       9.999658539093e-11       1.095832054712e-11      -9.880253238946e-15 
   38       1.674731096848e-10       6.664354029931e-15       2.532421881445e-13       0.000000000000e+00       9.472599948160e-11       1.042530923247e-11      -8.880176959967e-15 
