# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923246e-05       4.868384893248e-03 
       2.251775554681e-05       3.993224240272e-02 
       3.498636120247e-05       4.131468994440e-02 
       4.752690064658e-05       4.678298004370e-02 
       6.017107953230e-05       5.235996343991e-02 
       7.295134796122e-05       6.148011675769e-02 
       8.590117158737e-05       6.929581631017e-02 
       9.905531395762e-05       7.683669411100e-02 
       1.124501334903e-04       8.669985706402e-02 
       1.261238985241e-04       9.661830477124e-02 
       1.401171238832e-04       1.067407444247e-01 
       1.544729323814e-04       1.179906323626e-01 
       1.692374445844e-04       1.285070597826e-01 
       1.844601999316e-04       1.399746334153e-01 
       2.001946119095e-04       1.512303263114e-01 
       2.164984592990e-04       1.635542587503e-01 
       2.334344144703e-04       1.759449850209e-01 
       2.510706081373e-04       1.879855592694e-01 
       2.694812277303e-04       2.012313244626e-01 
       2.887471433953e-04       2.151215904609e-01 
       3.089565513139e-04       2.294840393588e-01 
       3.302056182976e-04       2.445071208998e-01 
       3.525991041420e-04       2.604175593937e-01 
       3.762509287930e-04       2.771415335499e-01 
       4.012846398372e-04       2.948533000392e-01 
       4.278337222871e-04       3.135444359481e-01 
       4.560416775835e-04       3.332960594262e-01 
       4.860617833145e-04       3.543210699625e-01 
       5.180564313506e-04       3.765773919082e-01 
       5.521959330390e-04       4.004337723802e-01 
       5.886566801031e-04       4.256856716060e-01 
       6.276185643138e-04       4.525951595177e-01 
       6.692615934693e-04       4.813016535103e-01 
       7.137617003222e-04       5.117996372519e-01 
       7.612858261435e-04       5.442760437415e-01 
       8.119864671933e-04       5.788133938478e-01 
       8.659959882004e-04       6.154259185867e-01 
       9.234211115549e-04       6.541687724193e-01 
       9.843380583383e-04       6.951318908388e-01 
       1.048788822492e-03       7.382589532712e-01 
       1.116778986862e-03       7.835146509629e-01 
       1.188277341593e-03       8.309025552247e-01 
       1.263217364035e-03       8.802969882150e-01 
       1.341500403710e-03       9.316066504352e-01 
       1.423000229794e-03       9.846807525385e-01 
       1.507568477172e-03       1.039488672730e+00 
       1.595040487038e-03       1.095774273513e+00 
       1.685241074673e-03       1.153414840221e+00 
       1.777989849548e-03       1.212273843947e+00 
       1.873105833077e-03       1.272189899897e+00 
       1.970411240942e-03       1.333003118457e+00 
       2.069734400901e-03       1.394561150594e+00 
       2.170911853969e-03       1.456741305888e+00 
       2.273789735124e-03       1.519412226986e+00 
       2.378224553043e-03       1.582429633798e+00 
       2.484083492891e-03       1.645703728763e+00 
       2.591244358339e-03       1.709108174819e+00 
       2.699595254278e-03       1.772552153851e+00 
       2.809034094327e-03       1.835943394553e+00 
       2.919467999818e-03       1.899201044234e+00 
       3.030812641171e-03       1.962252405006e+00 
       3.142991559080e-03       2.025015262458e+00 
       3.255935491967e-03       2.087433689363e+00 
       3.369581727509e-03       2.149451550613e+00 
       3.483873489548e-03       2.211012038799e+00 
       3.598759366763e-03       2.272065458982e+00 
       3.714192786088e-03       2.332571564452e+00 
       3.830131531369e-03       2.392491133686e+00 
       3.946537306183e-03       2.451782546957e+00 
       4.063375338686e-03       2.510421187689e+00 
       4.180614025754e-03       2.568371177021e+00 
       4.298224613405e-03       2.625611795450e+00 
       4.416180910359e-03       2.682117820430e+00 
       4.534459031676e-03       2.737866989586e+00 
       4.653037169509e-03       2.792844050103e+00 
       4.771895388214e-03       2.847032364846e+00 
       4.891015441268e-03       2.900418224119e+00 
       5.010380607654e-03       2.952989304969e+00 
       5.129975545600e-03       3.004735526661e+00 
       5.249786161774e-03       3.055650327969e+00 
       5.369799494223e-03       3.105726085194e+00 
       5.490003607537e-03       3.154958166772e+00 
       5.610387498875e-03       3.203340971490e+00 
       5.730941013670e-03       3.250875611442e+00 
       5.851654769906e-03       3.297560513935e+00 
