# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513652709875e-10       4.794157304524e-15       3.799553725437e-13       2.253205624792e-19       8.309166138339e-09       5.059233322962e-10      -2.012668136011e-12 
    3       1.417617848597e-10       6.054623809581e-15       4.281301298645e-13       4.507410604618e-19       5.129970535426e-09       3.573158610092e-10      -1.512228370779e-12 
    4       1.331029231900e-10       5.148994241773e-15       3.998148792613e-13       7.514550812868e-19       3.573539420327e-09       2.695873374623e-10      -9.768003992401e-13 
    5       1.266666542119e-10       3.373357002746e-15       3.391766132074e-13       1.127590094849e-18       2.668845049509e-09       2.123194783811e-10      -5.310328688213e-13 
    6       1.222171210562e-10       1.856580066723e-15       2.715895886173e-13       1.579300612138e-18       2.084770867893e-09       1.723404015775e-10      -2.072595824522e-13 
    7       1.192671918581e-10       9.992161423412e-16       2.117250142479e-13       2.106765190569e-18       1.680708915835e-09       1.430967866228e-10      -5.087564443888e-15 
    8       1.174583900521e-10       6.511352339335e-16       1.659095445079e-13       2.710183052754e-18       1.387262318765e-09       1.209816062795e-10       9.391121121646e-14 
    9       1.164922155425e-10       5.242384701308e-16       1.354201269704e-13       3.389770421603e-18       1.166763173772e-09       1.038440894678e-10       1.170802057486e-13 
   10       1.161210625903e-10       4.430294050266e-16       1.186557263959e-13       4.145756681744e-18       9.966832130375e-10       9.028409515609e-11       9.395960243198e-14 
   11       1.162487520867e-10       3.698708098161e-16       1.125844729463e-13       4.978380480381e-18       8.432895480726e-10       7.968938407927e-11       5.145237089216e-14 
   12       1.167293772593e-10       3.230946169897e-16       1.137803227681e-13       5.887885879875e-18       7.367564821343e-10       7.043949867684e-11       8.505531189384e-15 
   13       1.174931899132e-10       3.112579959664e-16       1.192694773846e-13       6.874518669523e-18       6.493025019351e-10       6.289663508634e-11      -2.257403917367e-14 
   14       1.184673453787e-10       3.231353545976e-16       1.268683341706e-13       7.938522935506e-18       5.765401871806e-10       5.631011835953e-11      -3.807993968516e-14 
   15       1.196494182017e-10       3.467093183182e-16       1.351584836078e-13       9.080137976034e-18       5.152935660134e-10       5.077337697968e-11      -3.911785099486e-14 
   16       1.209797065007e-10       3.813845277234e-16       1.435357319844e-13       1.029959563396e-17       4.632204803980e-10       4.602343408783e-11      -3.059048055827e-14 
   17       1.224480539264e-10       4.337908584712e-16       1.519018986696e-13       1.159711810199e-17       4.185515134955e-10       4.189521451644e-11      -1.835747925596e-14 
   18       1.240063146086e-10       5.088645327208e-16       1.604974083635e-13       1.297291602831e-17       3.797833330412e-10       3.827271463549e-11      -7.624936413300e-15 
   19       1.256660369998e-10       6.063596013101e-16       1.695630413322e-13       1.442718839893e-17       3.462975536297e-10       3.511620407710e-11      -8.588724599300e-16 
   20       1.274061047798e-10       7.237305141369e-16       1.792790276368e-13       1.596011959018e-17       3.168064992977e-10       3.233178859652e-11       6.140655094266e-16 
   21       1.292327076915e-10       8.603729080715e-16       1.895988015835e-13       1.757188243873e-17       2.908469539962e-10       2.986809929611e-11      -2.208149721043e-15 
   22       1.311273334237e-10       1.015937680795e-15       2.003004027801e-13       1.926263499106e-17       2.677970242924e-10       2.764868343329e-11      -7.116068929892e-15 
   23       1.330880304660e-10       1.190191959953e-15       2.109443814093e-13       2.103252510176e-17       2.473398511074e-10       2.565086122469e-11      -1.224141762031e-14 
   24       1.350977942521e-10       1.382858790372e-15       2.209877369983e-13       2.288168712927e-17       2.290029047326e-10       2.384693022019e-11      -1.576005734487e-14 
   25       1.371674988295e-10       1.594483341925e-15       2.301596680731e-13       2.481024831041e-17       2.125704562430e-10       2.222937964070e-11      -1.704098297941e-14 
   26       1.392977230125e-10       1.826076051637e-15       2.382846446708e-13       2.681832477431e-17       1.977449431001e-10       2.077856552634e-11      -1.603205330807e-14 
   27       1.414742765404e-10       2.079693750502e-15       2.452950708942e-13       2.890602758925e-17       1.843484063547e-10       1.946615637352e-11      -1.354572957675e-14 
   28       1.436703275710e-10       2.357707920646e-15       2.511854871381e-13       3.107346004974e-17       1.721498043024e-10       1.825416509005e-11      -1.074021760942e-14 
   29       1.458960461992e-10       2.661564756406e-15       2.560213810500e-13       3.332072715888e-17       1.610867725474e-10       1.714143976468e-11      -8.251305677793e-15 
   30       1.481624476357e-10       2.992407612400e-15       2.599261042827e-13       3.564792795082e-17       1.510404696237e-10       1.612978771534e-11      -6.645643025867e-15 
   31       1.504695319532e-10       3.351309546580e-15       2.630248138876e-13       3.805515545070e-17       1.418059240314e-10       1.521143583527e-11      -6.413975422184e-15 
   32       1.528196904673e-10       3.739189057135e-15       2.652618502432e-13       4.054250808993e-17       1.333353697701e-10       1.437593576446e-11      -7.275698427556e-15 
   33       1.552064743614e-10       4.156848244544e-15       2.665137339652e-13       4.311008256199e-17       1.255688237854e-10       1.360387842073e-11      -8.597225584324e-15 
   34       1.576166085717e-10       4.605042490922e-15       2.666391911158e-13       4.575797235072e-17       1.183975153465e-10       1.287223109668e-11      -9.698903076925e-15 
   35       1.600545306792e-10       5.084678682453e-15       2.654959700827e-13       4.848627259018e-17       1.117846803516e-10       1.218292898493e-11      -1.034762226082e-14 
   36       1.625246717671e-10       5.596678183401e-15       2.629271978076e-13       5.129507720802e-17       1.056772158321e-10       1.154345969872e-11      -1.042993182578e-14 
   37       1.650264717852e-10       6.141907650797e-15       2.587893614679e-13       5.418447672973e-17       9.999558022735e-11       1.095816042080e-11      -9.880146486765e-15 
   38       1.675623930614e-10       6.721132243461e-15       2.530685824984e-13       5.715455440806e-17       9.472504763211e-11       1.042514935315e-11      -8.880080468860e-15 
   39       1.701313244683e-10       7.335040012809e-15       2.458034524340e-13       6.020538906717e-17       8.984885244609e-11       9.937824510708e-12      -7.730146427124e-15 
   40       1.727255982975e-10       7.984248691300e-15       2.370557035778e-13       6.333705628643e-17       8.532043253609e-11       9.485233068576e-12      -6.801721556442e-15 
   41       1.753353212469e-10       8.669348408798e-15       2.268872776007e-13       6.654962463869e-17       8.107963756334e-11       9.055373379105e-12      -6.434774743852e-15 
   42       1.779646366930e-10       9.391057332937e-15       2.152791844634e-13       6.984314265953e-17       7.711394657615e-11       8.647242276940e-12      -6.579780286753e-15 
   43       1.806196545114e-10       1.015010915612e-14       2.021885881091e-13       7.321764782730e-17       7.341280500027e-11       8.262115512358e-12      -7.046857827145e-15 
   44       1.833036161949e-10       1.094720906125e-14       1.875705929942e-13       7.667316992219e-17       6.994925587761e-11       7.900131449572e-12      -7.599844080911e-15 
   45       1.860175951944e-10       1.178299590842e-14       1.713787488159e-13       8.020972648345e-17       6.668955854957e-11       7.560569136521e-12      -8.012323471020e-15 
   46       1.887635838189e-10       1.265791825973e-14       1.535673929882e-13       8.382730792844e-17       6.362855012198e-11       7.243021087401e-12      -8.262345702820e-15 
   47       1.915417977709e-10       1.357231916470e-14       1.340895404627e-13       8.752588771983e-17       6.076263506325e-11       6.946398276771e-12      -8.391120465292e-15 
   48       1.943494960205e-10       1.452646623756e-14       1.128959404214e-13       9.130542596861e-17       5.807912009628e-11       6.668503228535e-12      -8.449770945411e-15 
   49       1.971807267181e-10       1.552054830158e-14       8.993484605709e-14       9.516586902565e-17       5.555553788084e-11       6.405950274032e-12      -8.499901061630e-15 
   50       2.000290853676e-10       1.655470324907e-14       6.515813779964e-14       9.910714907549e-17       5.316640617133e-11       6.155149568178e-12      -8.600153091493e-15 
   51       2.028974614425e-10       1.762911832131e-14       3.854218653647e-14       1.031291837351e-16       5.090723727694e-11       5.915759024317e-12      -8.760263013678e-15 
   52       2.057904981736e-10       1.874395124811e-14       1.007225552893e-14       1.072318756400e-16       4.877587664168e-11       5.688031529279e-12      -8.975514505754e-15 
   53       2.087117018494e-10       1.989929956951e-14      -2.026329094095e-14       1.114151120346e-16       4.676531829903e-11       5.471804100288e-12      -9.239568703263e-15 
   54       2.116633294819e-10       2.109519874909e-14      -5.247291880422e-14       1.156787643630e-16       4.486337845918e-11       5.266468202252e-12      -9.544372157625e-15 
   55       2.146466933932e-10       2.233163463919e-14      -8.656245351798e-14       1.200226975658e-16       4.305640723063e-11       5.071230736928e-12      -9.879716733390e-15 
   56       2.176634209264e-10       2.360858882448e-14      -1.225369795232e-13       1.244468016070e-16       4.134225134113e-11       4.886040934938e-12      -1.023200213016e-14 
   57       2.207143109128e-10       2.492600123812e-14      -1.603992922038e-13       1.289509670636e-16       3.971993989722e-11       4.710841732024e-12      -1.058500472561e-14 
   58       2.237988501721e-10       2.628375549837e-14      -2.001492966742e-13       1.335350760781e-16       3.818576298273e-11       4.545281312871e-12      -1.092009539774e-14 
   59       2.269151174223e-10       2.768167758112e-14      -2.417839623156e-13       1.381990023281e-16       3.673310257594e-11       4.388694753267e-12      -1.121613392206e-14 
   60       2.300596871899e-10       2.911953449244e-14      -2.852972773109e-13       1.429426109963e-16       3.535226346655e-11       4.240085662278e-12      -1.144936336863e-14 
