# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923385e-05       8.602943748911e-03 
       2.251775554930e-05       1.859262058309e-02 
       3.498636120606e-05       2.838295878403e-02 
       4.752690065129e-05       3.808678693878e-02 
       6.017107953816e-05       4.776629277700e-02 
       7.295134796828e-05       5.746683414565e-02 
       8.590117159567e-05       6.722636291526e-02 
       9.905531396721e-05       7.707925211522e-02 
       1.124501335013e-04       8.705822314292e-02 
       1.261238985365e-04       9.719548950596e-02 
       1.401171238971e-04       1.075235286605e-01 
       1.544729323969e-04       1.180756607378e-01 
       1.692374446017e-04       1.288865374707e-01 
       1.844601999509e-04       1.399925685969e-01 
       2.001946119308e-04       1.514323306020e-01 
       2.164984593225e-04       1.632469636723e-01 
       2.334344144963e-04       1.754805697127e-01 
       2.510706081659e-04       1.881806183447e-01 
       2.694812277618e-04       2.013983515893e-01 
       2.887471434300e-04       2.151892052750e-01 
       3.089565513521e-04       2.296132174105e-01 
       3.302056183397e-04       2.447354234218e-01 
       3.525991041884e-04       2.606262300570e-01 
       3.762509288441e-04       2.773617214951e-01 
       4.012846398935e-04       2.950238919544e-01 
       4.278337223492e-04       3.137007470249e-01 
       4.560416776520e-04       3.334862232730e-01 
       4.860617833901e-04       3.544798789763e-01 
       5.180564314341e-04       3.767862662407e-01 
       5.521959331310e-04       4.005139287851e-01 
       5.886566802046e-04       4.257739517826e-01 
       6.276185644258e-04       4.526779823105e-01 
       6.692615935926e-04       4.813357228134e-01 
       7.137617004578e-04       5.118518867169e-01 
       7.612858262925e-04       5.443226861623e-01 
       8.119864673565e-04       5.788320035236e-01 
       8.659959883789e-04       6.154474889264e-01 
       9.234211117495e-04       6.542168358054e-01 
       9.843380585498e-04       6.951646123104e-01 
       1.048788822721e-03       7.382899308736e-01 
       1.116778987109e-03       7.835652801168e-01 
       1.188277341859e-03       8.309366206859e-01 
       1.263217364320e-03       8.803250026649e-01 
       1.341500404014e-03       9.316375341522e-01 
       1.423000230117e-03       9.847473488893e-01 
       1.507568477514e-03       1.039518959457e+00 
       1.595040487398e-03       1.095806190024e+00 
       1.685241075052e-03       1.153456371171e+00 
       1.777989849946e-03       1.212314123612e+00 
       1.873105833493e-03       1.272224635616e+00 
       1.970411241375e-03       1.333036358568e+00 
       2.069734401352e-03       1.394602972327e+00 
       2.170911854437e-03       1.456784911425e+00 
       2.273789735608e-03       1.519450346483e+00 
       2.378224553543e-03       1.582475595100e+00 
       2.484083493407e-03       1.645745486523e+00 
       2.591244358870e-03       1.709153045701e+00 
       2.699595254824e-03       1.772599767701e+00 
       2.809034094888e-03       1.835994696058e+00 
       2.919468000394e-03       1.899254486274e+00 
       3.030812641761e-03       1.962302582673e+00 
       3.142991559685e-03       2.025069325889e+00 
       3.255935492585e-03       2.087490570072e+00 
       3.369581728141e-03       2.149508184215e+00 
       3.483873490193e-03       2.211069000787e+00 
       3.598759367421e-03       2.272125266358e+00 
       3.714192786759e-03       2.332632611684e+00 
       3.830131532053e-03       2.392551814020e+00 
       3.946537306880e-03       2.451846530086e+00 
       4.063375339396e-03       2.510485131711e+00 
       4.180614026477e-03       2.568437772397e+00 
       4.298224614140e-03       2.625679304404e+00 
       4.416180911106e-03       2.682186268698e+00 
       4.534459032436e-03       2.737937717495e+00 
       4.653037170281e-03       2.792916069401e+00 
       4.771895388998e-03       2.847104953269e+00 
       4.891015442065e-03       2.900491545330e+00 
       5.010380608463e-03       2.953063733978e+00 
       5.129975546421e-03       3.004810860972e+00 
       5.249786162607e-03       3.055725989278e+00 
       5.369799495068e-03       3.105801747089e+00 
       5.490003608392e-03       3.155034325896e+00 
       5.610387499743e-03       3.203419409082e+00 
       5.730941014549e-03       3.250954270460e+00 
       5.851654770797e-03       3.297638207206e+00 
       5.972520090970e-03       3.343471905896e+00 
       6.093528940795e-03       3.388455617394e+00 
       6.214673874059e-03       3.432591521285e+00 
       6.335947982840e-03       3.475882969627e+00 
       6.457344852562e-03       3.518332383464e+00 
       6.578858521367e-03       3.559945937124e+00 
       6.700483443346e-03       3.600728193940e+00 
       6.822214455222e-03       3.640683617711e+00 
       6.944046746129e-03       3.679819610904e+00 
       7.065975830168e-03       3.718143210503e+00 
       7.187997521452e-03       3.755659529910e+00 
       7.310107911398e-03       3.792379041712e+00 
       7.432303348035e-03       3.828308881629e+00 
       7.554580417124e-03       3.863456918292e+00 
       7.676935924931e-03       3.897829774605e+00 
       7.799366882465e-03       3.931438083706e+00 
       7.921870491067e-03       3.964290623615e+00 
       8.044444129208e-03       3.996395908277e+00 
       8.167085340379e-03       4.027763350234e+00 
       8.289791821990e-03       4.058401017517e+00 
       8.412561415158e-03       4.088319747299e+00 
       8.535392095331e-03       4.117527902305e+00 
       8.658281963652e-03       4.146034483869e+00 
       8.781229239010e-03       4.173847977934e+00 
       8.904232250708e-03       4.200980222039e+00 
       9.027289431704e-03       4.227437857092e+00 
       9.150399312368e-03       4.253230099855e+00 
       9.273560514714e-03       4.278366736660e+00 
       9.396771747065e-03       4.302856133749e+00 
       9.520031799123e-03       4.326706567907e+00 
       9.643339537395e-03       4.349927936024e+00 
       9.766693900965e-03       4.372526353147e+00 
       9.890093897566e-03       4.394512644483e+00 
       1.001353859994e-02       4.415894882630e+00 
       1.013702714247e-02       4.436678802732e+00 
       1.026055871802e-02       4.456873801058e+00 
       1.038413257505e-02       4.476487172362e+00 
       1.050774801489e-02       4.495529772237e+00 
       1.063140438921e-02       4.514002246997e+00 
       1.075510109773e-02       4.531919877173e+00 
       1.087883758598e-02       4.549284748754e+00 
       1.100261334330e-02       4.566103619187e+00 
       1.112642790095e-02       4.582385188869e+00 
       1.125028083038e-02       4.598136755180e+00 
       1.137417174154e-02       4.613363782613e+00 
       1.149810028141e-02       4.628074620049e+00 
       1.162206613256e-02       4.642272419966e+00 
       1.174606901183e-02       4.655966693737e+00 
       1.187010866910e-02       4.669162456859e+00 
       1.199418488617e-02       4.681866444010e+00 
       1.211829747567e-02       4.694083114043e+00 
       1.224244628010e-02       4.705820757033e+00 
       1.236663117090e-02       4.717083659879e+00 
       1.249085204757e-02       4.727877548447e+00 
       1.261510883696e-02       4.738209535883e+00 
       1.273940149246e-02       4.748082512337e+00 
       1.286372999336e-02       4.757506461317e+00 
       1.298809434421e-02       4.766483300299e+00 
       1.311249457428e-02       4.775018655581e+00 
       1.323693073698e-02       4.783118645622e+00 
       1.336140290942e-02       4.790789474547e+00 
       1.348591119193e-02       4.798036897566e+00 
       1.361045570765e-02       4.804864469767e+00 
       1.373503660222e-02       4.811278075197e+00 
       1.385965404336e-02       4.817283564702e+00 
       1.398430822064e-02       4.822884992663e+00 
       1.410899934517e-02       4.828088872704e+00 
       1.423372764937e-02       4.832897368510e+00 
       1.435849338678e-02       4.837320221312e+00 
       1.448329683185e-02       4.841357967111e+00 
       1.460813827981e-02       4.845017144932e+00 
       1.473301804651e-02       4.848305287345e+00 
       1.485793646835e-02       4.851224092017e+00 
       1.498289390217e-02       4.853777253246e+00 
       1.510789072521e-02       4.855975340599e+00 
       1.523292733507e-02       4.857816958943e+00 
       1.535800414968e-02       4.859310560268e+00 
       1.548312160735e-02       4.860462264060e+00 
       1.560828016672e-02       4.861270393664e+00 
       1.573348030688e-02       4.861746562157e+00 
       1.585872252741e-02       4.861893693963e+00 
       1.598400734844e-02       4.861714894360e+00 
       1.610933531079e-02       4.861212976814e+00 
       1.623470697605e-02       4.860398363338e+00 
       1.636012292677e-02       4.859272747468e+00 
       1.648558376655e-02       4.857835661855e+00 
       1.661109012028e-02       4.856101190819e+00 
       1.673664263428e-02       4.854065701749e+00 
       1.686224197652e-02       4.851739046039e+00 
       1.698788883685e-02       4.849123542763e+00 
       1.711358392725e-02       4.846219686112e+00 
       1.723932798205e-02       4.843038658570e+00 
       1.736512175823e-02       4.839579683420e+00 
       1.749096603570e-02       4.835849067720e+00 
       1.761686161762e-02       4.831848273858e+00 
       1.774280933070e-02       4.827592124623e+00 
       1.786881002554e-02       4.823067877806e+00 
       1.799486457700e-02       4.818294108043e+00 
       1.812097388457e-02       4.813268005059e+00 
       1.824713887274e-02       4.807991620545e+00 
       1.837336049141e-02       4.802474459416e+00 
       1.849963971633e-02       4.796719361079e+00 
       1.862597754953e-02       4.790724475767e+00 
       1.875237501977e-02       4.784500715869e+00 
       1.887883318301e-02       4.778048264618e+00 
       1.900535312294e-02       4.771375828587e+00 
       1.913193595143e-02       4.764479580389e+00 
       1.925858280911e-02       4.757369447390e+00 
       1.938529486592e-02       4.750042563958e+00 
       1.951207332163e-02       4.742510059608e+00 
       1.963891940648e-02       4.734769238992e+00 
       1.976583438176e-02       4.726835389661e+00 
       1.989281954046e-02       4.718691932226e+00 
       2.001987620788e-02       4.710358111496e+00 
       2.014700574237e-02       4.701836815984e+00 
       2.027420953594e-02       4.693123220169e+00 
       2.040148901504e-02       4.684226893367e+00 
       2.052884564128e-02       4.675149025021e+00 
       2.065628091220e-02       4.665895667588e+00 
       2.078379636203e-02       4.656469085782e+00 
       2.091139356253e-02       4.646871363010e+00 
       2.103907412384e-02       4.637103288578e+00 
       2.116683969530e-02       4.627172352235e+00 
       2.129469196640e-02       4.617074504922e+00 
       2.142263266765e-02       4.606818525769e+00 
       2.155066357157e-02       4.596419385697e+00 
       2.167878649364e-02       4.585870400751e+00 
       2.180700329333e-02       4.575157937026e+00 
       2.193531587513e-02       4.564309579565e+00 
       2.206372618964e-02       4.553314244507e+00 
       2.219223623466e-02       4.542182064684e+00 
       2.232084805636e-02       4.530918628147e+00 
       2.244956375042e-02       4.519517024920e+00 
       2.257838546331e-02       4.507981335967e+00 
       2.270731539347e-02       4.496326159176e+00 
       2.283635579267e-02       4.484542145402e+00 
       2.296550896730e-02       4.472626714316e+00 
       2.309477727980e-02       4.460612498329e+00 
       2.322416315002e-02       4.448473077484e+00 
       2.335366905675e-02       4.436220371091e+00 
       2.348329753921e-02       4.423856722579e+00 
       2.361305119861e-02       4.411381580519e+00 
       2.374293269977e-02       4.398803257698e+00 
       2.387294477280e-02       4.386127670768e+00 
       2.400309021484e-02       4.373345225876e+00 
       2.413337189178e-02       4.360474611996e+00 
       2.426379274017e-02       4.347506778741e+00 
       2.439435576908e-02       4.334436959026e+00 
       2.452506406208e-02       4.321287368173e+00 
       2.465592077927e-02       4.308044610947e+00 
       2.478692915937e-02       4.294728826594e+00 
       2.491809252189e-02       4.281320016541e+00 
       2.504941426942e-02       4.267824374280e+00 
       2.518089788986e-02       4.254278523029e+00 
       2.531254695892e-02       4.240628125791e+00 
       2.544436514254e-02       4.226918155659e+00 
       2.557635619949e-02       4.213143084299e+00 
       2.570852398403e-02       4.199285438720e+00 
       2.584087244865e-02       4.185373930126e+00 
       2.597340564696e-02       4.171383022431e+00 
       2.610612773662e-02       4.157346188265e+00 
       2.623904298241e-02       4.143244911113e+00 
       2.637215575941e-02       4.129082543586e+00 
       2.650547055630e-02       4.114869678039e+00 
       2.663899197875e-02       4.100595828893e+00 
       2.677272475300e-02       4.086281186473e+00 
       2.690667372948e-02       4.071913425533e+00 
       2.704084388668e-02       4.057487339899e+00 
       2.717524033506e-02       4.043028460023e+00 
       2.730986832117e-02       4.028529084963e+00 
       2.744473323193e-02       4.013981659249e+00 
       2.757984059904e-02       3.999381383969e+00 
       2.771519610360e-02       3.984757729825e+00 
       2.785080558089e-02       3.970099987962e+00 
       2.798667502534e-02       3.955394168418e+00 
       2.812281059571e-02       3.940665513765e+00 
       2.825921862046e-02       3.925899996238e+00 
       2.839590560337e-02       3.911112326353e+00 
       2.853287822937e-02       3.896288951505e+00 
       2.867014337060e-02       3.881442212715e+00 
       2.880770809274e-02       3.866561861404e+00 
       2.894557966159e-02       3.851661670528e+00 
       2.908376554997e-02       3.836751208225e+00 
       2.922227344485e-02       3.821809822963e+00 
       2.936111125486e-02       3.806849998663e+00 
       2.950028711803e-02       3.791875528129e+00 
       2.963980940998e-02       3.776876907669e+00 
       2.977968675242e-02       3.761863224841e+00 
       2.991992802197e-02       3.746839888728e+00 
       3.006054235952e-02       3.731807253965e+00 
       3.020153917986e-02       3.716756535075e+00 
       3.034292818185e-02       3.701699472915e+00 
       3.048471935906e-02       3.686628451594e+00 
       3.062692301082e-02       3.671552916246e+00 
       3.076954975391e-02       3.656478345527e+00 
       3.091261053472e-02       3.641393606447e+00 
       3.105611664203e-02       3.626300947851e+00 
       3.120007972039e-02       3.611206879327e+00 
       3.134451178417e-02       3.596094994409e+00 
       3.148942523232e-02       3.580998587086e+00 
       3.163483286384e-02       3.565900438190e+00 
       3.178074789403e-02       3.550803666164e+00 
       3.192718397158e-02       3.535703164964e+00 
       3.207415519655e-02       3.520602227104e+00 
       3.222167613928e-02       3.505509331638e+00 
       3.236976186026e-02       3.490411948189e+00 
       3.251842793110e-02       3.475341030515e+00 
       3.266769045662e-02       3.460235206597e+00 
       3.281756609808e-02       3.445181857781e+00 
       3.296807209781e-02       3.430104575628e+00 
       3.311922630503e-02       3.415028547020e+00 
       3.327104720329e-02       3.399981032485e+00 
       3.342355393934e-02       3.384933921156e+00 
       3.357676635374e-02       3.369895440510e+00 
       3.373070501315e-02       3.354865932427e+00 
       3.388539124463e-02       3.339846422529e+00 
       3.404084717188e-02       3.324834884504e+00 
       3.419709575366e-02       3.309831558910e+00 
       3.435416082463e-02       3.294850563650e+00 
