# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901462723e-06       3.057995866919e-09 
       8.891666132421e-06       3.029959992294e-09 
       1.119394444729e-05       3.002181152112e-09 
       1.409234112291e-05       2.974656989867e-09 
       1.774120635130e-05       2.947385170659e-09 
       2.233485551154e-05       2.920363380992e-09 
       2.811791717223e-05       2.893589328582e-09 
       3.539836045484e-05       2.867060742160e-09 
       4.456389551245e-05       2.840775371280e-09 
       5.610262050917e-05       2.814730986129e-09 
       7.062901462723e-05       2.788925377336e-09 
       8.891666132421e-05       2.763356355786e-09 
       1.119394444729e-04       2.738021752436e-09 
       1.409234112291e-04       2.712919418125e-09 
       1.774120635130e-04       2.688047223398e-09 
       2.233485551154e-04       2.663403058323e-09 
       2.811791717223e-04       2.638984832311e-09 
       3.539836045484e-04       2.614790473942e-09 
       4.456389551245e-04       2.590817930783e-09 
       5.610262050917e-04       2.567065169220e-09 
       7.062901462723e-04       2.543530174285e-09 
       8.891666132421e-04       2.520210949480e-09 
       1.119394444729e-03       2.497105516614e-09 
       1.409234112291e-03       2.474211915629e-09 
       1.774120635130e-03       2.451528204439e-09 
       2.233485551154e-03       2.429052458764e-09 
       2.811791717223e-03       2.406782771964e-09 
       3.539836045484e-03       2.384717254879e-09 
       4.456389551245e-03       2.362854035671e-09 
       5.610262050917e-03       2.341191259662e-09 
       7.062901462723e-03       2.319727089177e-09 
       8.891666132421e-03       2.298459703389e-09 
       1.119394444729e-02       2.277387298167e-09 
       1.409234112291e-02       2.256508085917e-09 
       1.774120635130e-02       2.235820295435e-09 
       2.233485551154e-02       2.215322171757e-09 
       2.811791717223e-02       2.195011976006e-09 
       3.539836045484e-02       2.174887985249e-09 
       4.456389551245e-02       2.154948492348e-09 
       5.610262050917e-02       2.135191805817e-09 
       7.062901462723e-02       2.115616249677e-09 
       8.891666132421e-02       2.096220163314e-09 
       1.119394444729e-01       2.077001901340e-09 
       1.409234112291e-01       2.057959833451e-09 
       1.774120635130e-01       2.039092344289e-09 
       2.233485551154e-01       2.020397833308e-09 
       2.811791717223e-01       2.001874714634e-09 
       3.539836045484e-01       1.983521416932e-09 
       4.456389551245e-01       1.965336383275e-09 
       5.610262050917e-01       1.947318071009e-09 
       7.062901462723e-01       1.929464951623e-09 
       8.891666132421e-01       1.911775510619e-09 
       1.119394444729e+00       1.894248247385e-09 
       1.409234112291e+00       1.876881675066e-09 
       1.774120635130e+00       1.859674320439e-09 
       2.233485551154e+00       1.842624723788e-09 
       2.811791717223e+00       1.825731438778e-09 
       3.539836045484e+00       1.808993032337e-09 
       4.456389551245e+00       1.792408084527e-09 
       5.610262050917e+00       1.775975188434e-09 
       7.062901462723e+00       1.759692950037e-09 
       8.891666132421e+00       1.743559988100e-09 
       1.119394444729e+01       1.727574934046e-09 
       1.409234112291e+01       1.711736431849e-09 
       1.774120635130e+01       1.696043137912e-09 
       2.233485551154e+01       1.680493720960e-09 
       2.811791717223e+01       1.665086861919e-09 
       3.539836045484e+01       1.649821253810e-09 
       4.456389551245e+01       1.634695601638e-09 
       5.610262050917e+01       1.619708622279e-09 
       7.062901462723e+01       1.604859044372e-09 
       8.891666132421e+01       1.590145608214e-09 
       1.119394444729e+02       1.575567065649e-09 
       1.409234112291e+02       1.561122179966e-09 
       1.774120635130e+02       1.546809725791e-09 
