# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       1.008985923246e-05      -1.550589542804e+00      -1.162942156989e+00      -1.162942156979e+00       0.000000000000e+00      -1.550589542821e+00      -1.174176494463e+00       6.123562058908e-01       5.967976598291e-01       1.526035966025e-08       1.526017918745e-08       1.526017686289e-08                      nan       1.526036674238e-08       1.526018433698e-08 
       2.251775554681e-05      -1.550694456501e+00      -1.163020844716e+00      -1.163020844774e+00       0.000000000000e+00      -1.550694456184e+00      -1.174255942291e+00       6.123442728463e-01       5.967869838510e-01       7.599733929923e-08       7.600330775148e-08       7.600332349985e-08                      nan       7.599701119258e-08       7.600308685467e-08 
       3.498636120247e-05      -1.550806610553e+00      -1.163104968181e+00      -1.163104968368e+00       0.000000000000e+00      -1.550806609072e+00      -1.174340878197e+00       6.123415258825e-01       5.967850695109e-01       1.834477781588e-07       1.834757468363e-07       1.834758006912e-07                      nan       1.834461230447e-07       1.834746938275e-07 
       4.752690064658e-05      -1.550965589227e+00      -1.163224222419e+00      -1.163224222867e+00       0.000000000000e+00      -1.550965584672e+00      -1.174461283857e+00       6.123382786633e-01       5.967829592679e-01       3.384920723349e-07       3.385782350263e-07       3.385783654947e-07                      nan       3.384867856712e-07       3.385749596164e-07 
       6.017107953230e-05      -1.551168095867e+00      -1.163376143026e+00      -1.163376143702e+00       0.000000000000e+00      -1.551168085269e+00      -1.174614670601e+00       6.123356783718e-01       5.967817159861e-01       5.424877093158e-07       5.426943160503e-07       5.426945038696e-07                      nan       5.424749345143e-07       5.426863600347e-07 
       7.295134796122e-05      -1.551431898552e+00      -1.163574073385e+00      -1.163574074960e+00       0.000000000000e+00      -1.551431875655e+00      -1.174814510578e+00       6.123297206526e-01       5.967776471035e-01       7.972692167077e-07       7.977082163442e-07       7.977086909578e-07                      nan       7.972415740860e-07       7.976913642438e-07 
       8.590117158737e-05      -1.551742128576e+00      -1.163806873919e+00      -1.163806876412e+00       0.000000000000e+00      -1.551742085753e+00      -1.175049555591e+00       6.123246905316e-01       5.967747359959e-01       1.105224461600e-06       1.106048844496e-06       1.106049612938e-06                      nan       1.105172177272e-06       1.106017093917e-06 
       9.905531395762e-05      -1.552104381276e+00      -1.164078760770e+00      -1.164078764609e+00       0.000000000000e+00      -1.552104307016e+00      -1.175324062038e+00       6.123198902868e-01       5.967723517188e-01       1.469296338425e-06       1.470723008226e-06       1.470724225660e-06                      nan       1.469204940713e-06       1.470667956288e-06 
       1.124501334903e-04      -1.552540116516e+00      -1.164405871991e+00      -1.164405879650e+00       0.000000000000e+00      -1.552539990755e+00      -1.175654323761e+00       6.123107949963e-01       5.967663359888e-01       1.892995886751e-06       1.895361240195e-06       1.895363743846e-06                      nan       1.892842269940e-06       1.895270323947e-06 
       1.261238985241e-04      -1.553040923098e+00      -1.164781935974e+00      -1.164781946333e+00       0.000000000000e+00      -1.553040727639e+00      -1.176034004252e+00       6.123005200237e-01       5.967596154728e-01       2.380571817741e-06       2.384313707246e-06       2.384317032741e-06                      nan       2.380331444389e-06       2.384169412421e-06 
