# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513660443571e-10       4.794008656161e-15       3.799625029634e-13       0.000000000000e+00       8.309054646919e-09       5.059188470306e-10      -2.012687933956e-12 
    3       1.417628537094e-10       6.054262259905e-15       4.281411468045e-13       0.000000000000e+00       5.129879742665e-09       3.573116892099e-10      -1.512240009832e-12 
    4       1.331031711666e-10       5.148297730648e-15       3.998227098370e-13       0.000000000000e+00       3.573465076886e-09       2.695838250388e-10      -9.768061598134e-13 
    5       1.266656065583e-10       3.372254837487e-15       3.391803897104e-13       0.000000000000e+00       2.668783040099e-09       2.123164349748e-10      -5.310361050214e-13 
    6       1.222147276672e-10       1.855008800549e-15       2.715913392854e-13       0.000000000000e+00       2.084717970903e-09       1.723376510785e-10      -2.072615810300e-13 
    7       1.192636521610e-10       9.971078357909e-16       2.117256908811e-13       0.000000000000e+00       1.680663385872e-09       1.430942292016e-10      -5.088601440320e-15 
    8       1.174535948155e-10       6.484197094387e-16       1.659096717543e-13       0.000000000000e+00       1.387222627499e-09       1.209791785208e-10       9.391101089986e-14 
    9       1.164859917580e-10       5.208424315786e-16       1.354202260368e-13       0.000000000000e+00       1.166727731179e-09       1.038417490692e-10       1.170806177415e-13 
   10       1.161133964162e-10       4.388768730198e-16       1.186558473997e-13       0.000000000000e+00       9.966511323602e-10       9.028183420731e-11       9.396033095081e-14 
   11       1.162394604141e-10       3.648845719865e-16       1.125847848166e-13       0.000000000000e+00       8.432597755647e-10       7.968717588572e-11       5.145312628700e-14 
