# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513665296393e-10       4.794233981346e-15       3.799624987832e-13       2.253251390028e-19       8.309054646919e-09       5.059188470306e-10      -2.012687933956e-12 
    3       1.417638220062e-10       6.054713010552e-15       4.281411281736e-13       4.507502011528e-19       5.129879742665e-09       3.573116892099e-10      -1.512240009832e-12 
    4       1.331047800156e-10       5.149049203128e-15       3.998226562971e-13       7.514702889007e-19       3.573465076886e-09       2.695838250388e-10      -9.768061598134e-13 
    5       1.266680106381e-10       3.373382457843e-15       3.391802677236e-13       1.127612857275e-18       2.668783040099e-09       2.123164349748e-10      -5.310361050214e-13 
    6       1.222180782193e-10       1.856588153386e-15       2.715910993791e-13       1.579332400004e-18       2.084717970903e-09       1.723376510785e-10      -2.072615810300e-13 
    7       1.192680964959e-10       9.992146907561e-16       2.117252650448e-13       2.106807455640e-18       1.680663385872e-09       1.430942292016e-10      -5.088601440320e-15 
    8       1.174592759132e-10       6.511300447826e-16       1.659089711226e-13       2.710237227199e-18       1.387222627499e-09       1.209791785208e-10       9.391101089986e-14 
    9       1.164930479687e-10       5.242324542704e-16       1.354191388841e-13       3.389837918164e-18       1.166727731179e-09       1.038417490692e-10       1.170806177415e-13 
   10       1.161219612665e-10       4.430230348988e-16       1.186542374605e-13       4.145838894801e-18       9.966511323602e-10       9.028183420731e-11       9.396033095081e-14 
   11       1.162496625169e-10       3.698635814508e-16       1.125824899385e-13       4.978478787870e-18       8.432597755647e-10       7.968717588572e-11       5.145312628700e-14 
   12       1.167302912513e-10       3.230856350838e-16       1.137778711392e-13       5.888001645972e-18       7.367293184604e-10       7.043744485521e-11       8.506135200499e-15 
