# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923246e-05       4.868469004153e-03 
       2.251775554681e-05       3.993297228975e-02 
       3.498636120247e-05       4.131544311170e-02 
       4.752690064658e-05       4.678383169324e-02 
       6.017107953230e-05       5.236091370679e-02 
       7.295134796122e-05       6.148123538159e-02 
       8.590117158737e-05       6.929707423491e-02 
       9.905531395762e-05       7.683809169681e-02 
       1.124501334903e-04       8.670143369973e-02 
       1.261238985241e-04       9.662006225788e-02 
       1.401171238832e-04       1.067426839515e-01 
       1.544729323814e-04       1.179927874625e-01 
       1.692374445844e-04       1.285084297002e-01 
       1.844601999316e-04       1.399771988178e-01 
       2.001946119095e-04       1.512330787939e-01 
       2.164984592990e-04       1.635572330152e-01 
       2.334344144703e-04       1.759481839379e-01 
       2.510706081373e-04       1.879889775357e-01 
       2.694812277303e-04       2.012349835906e-01 
       2.887471433953e-04       2.151255018753e-01 
       3.089565513139e-04       2.294882119026e-01 
       3.302056182976e-04       2.445115665614e-01 
       3.525991041420e-04       2.604222943291e-01 
       3.762509287930e-04       2.771465725461e-01 
       4.012846398372e-04       2.948586609238e-01 
       4.278337222871e-04       3.135501368463e-01 
       4.560416775835e-04       3.333021244931e-01 
       4.860617833145e-04       3.543275120635e-01 
       5.180564313506e-04       3.765842416211e-01 
       5.521959330390e-04       4.004410593518e-01 
       5.886566801031e-04       4.256934121720e-01 
       6.276185643138e-04       4.526033868859e-01 
       6.692615934693e-04       4.813104251235e-01 
       7.137617003222e-04       5.118089428082e-01 
       7.612858261435e-04       5.442859408455e-01 
       8.119864671933e-04       5.788239172487e-01 
       8.659959882004e-04       6.154371206617e-01 
       9.234211115549e-04       6.541806627148e-01 
       9.843380583383e-04       6.951445288816e-01 
       1.048788822492e-03       7.382723756927e-01 
       1.116778986862e-03       7.835288980749e-01 
       1.188277341593e-03       8.309176622828e-01 
       1.263217364035e-03       8.803129931117e-01 
       1.341500403710e-03       9.316235886818e-01 
       1.423000229794e-03       9.846986529920e-01 
       1.507568477172e-03       1.039507572031e+00 
       1.595040487038e-03       1.095794196261e+00 
       1.685241074673e-03       1.153435810278e+00 
       1.777989849548e-03       1.212295884683e+00 
       1.873105833077e-03       1.272213030171e+00 
       1.970411240942e-03       1.333027353516e+00 
       2.069734400901e-03       1.394586505583e+00 
       2.170911853969e-03       1.456767791633e+00 
       2.273789735124e-03       1.519439851982e+00 
       2.378224553043e-03       1.582458404722e+00 
       2.484083492891e-03       1.645733650050e+00 
       2.591244358339e-03       1.709139248910e+00 
       2.699595254278e-03       1.772584381457e+00 
       2.809034094327e-03       1.835976774683e+00 
       2.919467999818e-03       1.899235574480e+00 
       3.030812641171e-03       1.962288081579e+00 
       3.142991559080e-03       2.025052080195e+00 
       3.255935491967e-03       2.087471641937e+00 
       3.369581727509e-03       2.149490630761e+00 
       3.483873489548e-03       2.211052238201e+00 
       3.598759366763e-03       2.272106768409e+00 
       3.714192786088e-03       2.332613973962e+00 
       3.830131531369e-03       2.392534632600e+00 
       3.946537306183e-03       2.451827123863e+00 
       4.063375338686e-03       2.510466830731e+00 
       4.180614025754e-03       2.568417873707e+00 
       4.298224613405e-03       2.625659532791e+00 
       4.416180910359e-03       2.682166585103e+00 
       4.534459031676e-03       2.737916767859e+00 
       4.653037169509e-03       2.792894827903e+00 
