# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901462723e-06       3.058047188730e-09 
       8.891666132421e-06       3.030010843584e-09 
       1.119394444729e-05       3.002231537194e-09 
       1.409234112291e-05       2.974706913016e-09 
       1.774120635130e-05       2.947434636110e-09 
       2.233485551154e-05       2.920412392941e-09 
       2.811791717223e-05       2.893637891187e-09 
       3.539836045484e-05       2.867108859540e-09 
       4.456389551245e-05       2.840823047517e-09 
       5.610262050917e-05       2.814778225268e-09 
       7.062901462723e-05       2.788972183384e-09 
       8.891666132421e-05       2.763402732714e-09 
       1.119394444729e-04       2.738067704177e-09 
       1.409234112291e-04       2.712964948578e-09 
       1.774120635130e-04       2.688092336425e-09 
       2.233485551154e-04       2.663447757752e-09 
       2.811791717223e-04       2.639029121933e-09 
       3.539836045484e-04       2.614834357514e-09 
       4.456389551245e-04       2.590861412028e-09 
       5.610262050917e-04       2.567108251827e-09 
       7.062901462723e-04       2.543572861908e-09 
       8.891666132421e-04       2.520253245741e-09 
       1.119394444729e-03       2.497147425100e-09 
       1.409234112291e-03       2.474253439896e-09 
       1.774120635130e-03       2.451569348010e-09 
       2.233485551154e-03       2.429093225128e-09 
       2.811791717223e-03       2.406823164579e-09 
       3.539836045484e-03       2.384757277173e-09 
       4.456389551245e-03       2.362893691038e-09 
       5.610262050917e-03       2.341230551467e-09 
       7.062901462723e-03       2.319766020752e-09 
       8.891666132421e-03       2.298498278038e-09 
       1.119394444729e-02       2.277425519161e-09 
       1.409234112291e-02       2.256545956499e-09 
       1.774120635130e-02       2.235857818817e-09 
       2.233485551154e-02       2.215359351123e-09 
       2.811791717223e-02       2.195048814509e-09 
       3.539836045484e-02       2.174924486015e-09 
       4.456389551245e-02       2.154984658473e-09 
       5.610262050917e-02       2.135227640369e-09 
       7.062901462723e-02       2.115651755695e-09 
       8.891666132421e-02       2.096255343811e-09 
       1.119394444729e-01       2.077036759300e-09 
       1.409234112291e-01       2.057994371831e-09 
       1.774120635130e-01       2.039126566020e-09 
       2.233485551154e-01       2.020431741292e-09 
       2.811791717223e-01       2.001908311748e-09 
       3.539836045484e-01       1.983554706026e-09 
       4.456389551245e-01       1.965369367173e-09 
       5.610262050917e-01       1.947350752509e-09 
       7.062901462723e-01       1.929497333496e-09 
       8.891666132421e-01       1.911807595614e-09 
       1.119394444729e+00       1.894280038223e-09 
       1.409234112291e+00       1.876913174444e-09 
       1.774120635130e+00       1.859705531029e-09 
       2.233485551154e+00       1.842655648237e-09 
       2.811791717223e+00       1.825762079711e-09 
       3.539836045484e+00       1.809023392351e-09 
       4.456389551245e+00       1.792438166200e-09 
       5.610262050917e+00       1.776004994316e-09 
       7.062901462723e+00       1.759722482657e-09 
       8.891666132421e+00       1.743589249963e-09 
       1.119394444729e+01       1.727603927635e-09 
       1.409234112291e+01       1.711765159623e-09 
       1.774120635130e+01       1.696071602309e-09 
       2.233485551154e+01       1.680521924393e-09 
       2.811791717223e+01       1.665114806781e-09 
       3.539836045484e+01       1.649848942473e-09 
       4.456389551245e+01       1.634723036449e-09 
       5.610262050917e+01       1.619735805566e-09 
       7.062901462723e+01       1.604885978442e-09 
       8.891666132421e+01       1.590172295350e-09 
       1.119394444729e+02       1.575593508117e-09 
       1.409234112291e+02       1.561148380008e-09 
       1.774120635130e+02       1.546835685629e-09 
