# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       1.008985923246e-05      -1.550589542807e+00      -1.162942156991e+00      -1.162942156981e+00       0.000000000000e+00      -1.550589542823e+00      -1.174176494465e+00       6.123562058901e-01       5.967976598284e-01       1.526035966018e-08       1.526017918744e-08       1.526017686288e-08                      nan       1.526036674232e-08       1.526018433696e-08 
       2.251775554681e-05      -1.550694456504e+00      -1.163020844719e+00      -1.163020844776e+00       0.000000000000e+00      -1.550694456187e+00      -1.174255942293e+00       6.123442728456e-01       5.967869838503e-01       7.599733929889e-08       7.600330775140e-08       7.600332349977e-08                      nan       7.599701119223e-08       7.600308685458e-08 
       3.498636120247e-05      -1.550806610556e+00      -1.163104968183e+00      -1.163104968370e+00       0.000000000000e+00      -1.550806609075e+00      -1.174340878199e+00       6.123415258817e-01       5.967850695101e-01       1.834477781580e-07       1.834757468361e-07       1.834758006909e-07                      nan       1.834461230438e-07       1.834746938272e-07 
       4.752690064658e-05      -1.550965589230e+00      -1.163224222421e+00      -1.163224222869e+00       0.000000000000e+00      -1.550965584675e+00      -1.174461283859e+00       6.123382786627e-01       5.967829592673e-01       3.384920723332e-07       3.385782350261e-07       3.385783654943e-07                      nan       3.384867856698e-07       3.385749596160e-07 
       6.017107953230e-05      -1.551168095759e+00      -1.163376142945e+00      -1.163376143621e+00       0.000000000000e+00      -1.551168085161e+00      -1.174614670520e+00       6.123356783988e-01       5.967817160157e-01       5.424877092292e-07       5.426943161203e-07       5.426945038953e-07                      nan       5.424749345994e-07       5.426863600658e-07 
       7.295134796122e-05      -1.551431898556e+00      -1.163574073388e+00      -1.163574074963e+00       0.000000000000e+00      -1.551431875659e+00      -1.174814510581e+00       6.123297206516e-01       5.967776471025e-01       7.972692167046e-07       7.977082163426e-07       7.977086909566e-07                      nan       7.972415740813e-07       7.976913642425e-07 
       8.590117158737e-05      -1.551742128578e+00      -1.163806873920e+00      -1.163806876413e+00       0.000000000000e+00      -1.551742085755e+00      -1.175049555592e+00       6.123246905313e-01       5.967747359956e-01       1.105224461592e-06       1.106048844497e-06       1.106049612937e-06                      nan       1.105172177269e-06       1.106017093917e-06 
       9.905531395762e-05      -1.552104381287e+00      -1.164078760778e+00      -1.164078764618e+00       0.000000000000e+00      -1.552104307027e+00      -1.175324062046e+00       6.123198902841e-01       5.967723517160e-01       1.469296338435e-06       1.470723008210e-06       1.470724225653e-06                      nan       1.469204940690e-06       1.470667956280e-06 
       1.124501334903e-04      -1.552540116516e+00      -1.164405871991e+00      -1.164405879650e+00       0.000000000000e+00      -1.552539990755e+00      -1.175654323761e+00       6.123107949963e-01       5.967663359893e-01       1.892995886687e-06       1.895361240216e-06       1.895363743847e-06                      nan       1.892842269935e-06       1.895270323949e-06 
       1.261238985241e-04      -1.553040923083e+00      -1.164781935963e+00      -1.164781946322e+00       0.000000000000e+00      -1.553040727625e+00      -1.176034004241e+00       6.123005200273e-01       5.967596154769e-01       2.380571817668e-06       2.384313707294e-06       2.384317032757e-06                      nan       2.380331444438e-06       2.384169412440e-06 
