# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513676083232e-10       4.794021377623e-15       3.799624618514e-13       0.000000000000e+00       8.309320314363e-09       5.059327699852e-10      -2.012705666758e-12 
    3       1.417634607231e-10       6.054285961827e-15       4.281381319527e-13       0.000000000000e+00       5.130065472614e-09       3.573225282760e-10      -1.512256569715e-12 
    4       1.331037957406e-10       5.148338785131e-15       3.998223882531e-13       0.000000000000e+00       3.573605421377e-09       2.695923599721e-10      -9.768186139068e-13 
    5       1.266666128581e-10       3.372292287995e-15       3.391830599314e-13       0.000000000000e+00       2.668894224001e-09       2.123234319948e-10      -5.310427710701e-13 
    6       1.222160496601e-10       1.855035336361e-15       2.715948929219e-13       0.000000000000e+00       2.084809248152e-09       1.723436205956e-10      -2.072634472243e-13 
    7       1.192649740749e-10       9.971279230128e-16       2.117293882304e-13       0.000000000000e+00       1.680739946166e-09       1.430994619043e-10      -5.087659453214e-15 
    8       1.174548981152e-10       6.484370441399e-16       1.659133388679e-13       0.000000000000e+00       1.387288042427e-09       1.209838563213e-10       9.391296223475e-14 
    9       1.164873332498e-10       5.208582273865e-16       1.354237395243e-13       0.000000000000e+00       1.166784867588e-09       1.038460177943e-10       1.170823891648e-13 
   10       1.161146639653e-10       4.388915094066e-16       1.186595489310e-13       0.000000000000e+00       9.967017619299e-10       9.028578474107e-11       9.396135487378e-14 
   11       1.162407220375e-10       3.648987030242e-16       1.125888675658e-13       0.000000000000e+00       8.433052581672e-10       7.969088030589e-11       5.145333019099e-14 
   12       1.167195910243e-10       3.172118192276e-16       1.137856131851e-13       0.000000000000e+00       7.367702069421e-10       7.044080721348e-11       8.505689259059e-15 
   13       1.174815393043e-10       3.043879221925e-16       1.192759616047e-13       0.000000000000e+00       6.493145970513e-10       6.289779692985e-11      -2.257446014200e-14 
   14       1.184537205559e-10       3.152009502020e-16       1.268762946517e-13       0.000000000000e+00       5.765509264193e-10       5.631117301434e-11      -3.808064920848e-14 
   15       1.196337131614e-10       3.376330540777e-16       1.351682079093e-13       0.000000000000e+00       5.153031639198e-10       5.077433701766e-11      -3.911858029147e-14 
   16       1.209618149021e-10       3.710886292638e-16       1.435475201472e-13       0.000000000000e+00       4.632291080084e-10       4.602429012000e-11      -3.059105149824e-14 
   17       1.224278742477e-10       4.221974642297e-16       1.519160811987e-13       0.000000000000e+00       4.185593087895e-10       4.189598209221e-11      -1.835782166613e-14 
   18       1.239837548230e-10       4.958956885138e-16       1.605143443113e-13       0.000000000000e+00       3.797904059197e-10       3.827342767489e-11      -7.625078241281e-15 
