# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513680936381e-10       4.794246704899e-15       3.799624576705e-13       2.253272313317e-19       8.309320314363e-09       5.059327699852e-10      -2.012705666758e-12 
    3       1.417644290854e-10       6.054736716674e-15       4.281381133192e-13       4.507544018111e-19       5.130065472614e-09       3.573225282760e-10      -1.512256569715e-12 
    4       1.331054046985e-10       5.149090264646e-15       3.998223347057e-13       7.514773248954e-19       3.573605421377e-09       2.695923599721e-10      -9.768186139068e-13 
    5       1.266690171008e-10       3.373419918968e-15       3.391829379277e-13       1.127623475140e-18       2.668894224001e-09       2.123234319948e-10      -5.310427710701e-13 
    6       1.222194004395e-10       1.856614704166e-15       2.715946529827e-13       1.579347369192e-18       2.084809248152e-09       1.723436205956e-10      -2.072634472243e-13 
    7       1.192694187119e-10       9.992347980889e-16       2.117289623361e-13       2.106827571023e-18       1.680739946166e-09       1.430994619043e-10      -5.087659453214e-15 
    8       1.174605795996e-10       6.511474055577e-16       1.659126381416e-13       2.710263310574e-18       1.387288042427e-09       1.209838563213e-10       9.391296223475e-14 
    9       1.164943899415e-10       5.242482829599e-16       1.354226522262e-13       3.389870818737e-18       1.166784867588e-09       1.038460177943e-10       1.170823891648e-13 
   10       1.161232294003e-10       4.430377118442e-16       1.186579387786e-13       4.145879488633e-18       9.967017619299e-10       9.028578474107e-11       9.396135487378e-14 
   11       1.162509248376e-10       3.698777616148e-16       1.125865723872e-13       4.978527976335e-18       8.433052581672e-10       7.969088030589e-11       5.145333019099e-14 
   12       1.167315549085e-10       3.231007065954e-16       1.137824439015e-13       5.888060353311e-18       7.367702069421e-10       7.044080721348e-11       8.505689259059e-15 
   13       1.174953831933e-10       3.112638757088e-16       1.192717015336e-13       6.874722418072e-18       6.493145970513e-10       6.289779692985e-11      -2.257446014200e-14 
   14       1.184695587618e-10       3.231414677125e-16       1.268706991120e-13       7.938758265986e-18       5.765509264193e-10       5.631117301434e-11      -3.808064920848e-14 
   15       1.196516556490e-10       3.467158836965e-16       1.351610041073e-13       9.080407204315e-18       5.153031639198e-10       5.077433701766e-11      -3.911858029147e-14 
   16       1.209819676071e-10       3.813917530942e-16       1.435384073171e-13       1.029990108472e-17       4.632291080084e-10       4.602429012000e-11      -3.059105149824e-14 
   17       1.224503394378e-10       4.337990759967e-16       1.519047309688e-13       1.159746210840e-17       4.185593087895e-10       4.189598209221e-11      -1.835782166613e-14 
   18       1.240086314900e-10       5.088741653331e-16       1.605004012802e-13       1.297330093162e-17       3.797904059197e-10       3.827342767489e-11      -7.625078241281e-15 
   19       1.256683889836e-10       6.063710676941e-16       1.695662024610e-13       1.442761654804e-17       3.463040024786e-10       3.511687415613e-11      -8.588881198241e-16 
   20       1.274084884550e-10       7.237441865184e-16       1.792823692908e-13       1.596059334111e-17       3.168123985707e-10       3.233239496607e-11       6.140768575245e-16 
