# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923385e-05       8.603104170274e-03 
       2.251775554930e-05       1.859296728460e-02 
       3.498636120606e-05       2.838348804855e-02 
       4.752690065129e-05       3.808749715315e-02 
       6.017107953816e-05       4.776718348767e-02 
       7.295134796828e-05       5.746790574487e-02 
       8.590117159567e-05       6.722761650299e-02 
       9.905531396721e-05       7.708068943237e-02 
       1.124501335013e-04       8.705984654058e-02 
       1.261238985365e-04       9.719730193590e-02 
       1.401171238971e-04       1.075255336801e-01 
       1.544729323969e-04       1.180778625258e-01 
       1.692374446017e-04       1.288889408520e-01 
       1.844601999509e-04       1.399951790753e-01 
       2.001946119308e-04       1.514351544006e-01 
       2.164984593225e-04       1.632500077816e-01 
       2.334344144963e-04       1.754838419452e-01 
       2.510706081659e-04       1.881841273984e-01 
       2.694812277618e-04       2.014021071175e-01 
       2.887471434300e-04       2.151932179649e-01 
       3.089565513521e-04       2.296174990687e-01 
       3.302056183397e-04       2.447399870678e-01 
       3.525991041884e-04       2.606310900230e-01 
       3.762509288441e-04       2.773668935323e-01 
       4.012846398935e-04       2.950293933427e-01 
       4.278337223492e-04       3.137065966855e-01 
       4.560416776520e-04       3.334924418785e-01 
       4.860617833901e-04       3.544864890561e-01 
       5.180564314341e-04       3.767932922736e-01 
       5.521959331310e-04       4.005213972739e-01 
       5.886566802046e-04       4.257818913017e-01 
       6.276185644258e-04       4.526864235162e-01 
       6.692615935926e-04       4.813446984075e-01 
       7.137617004578e-04       5.118614313540e-01 
       7.612858262925e-04       5.443328362909e-01 
       8.119864673565e-04       5.788427971565e-01 
       8.659959883789e-04       6.154589653380e-01 
       9.234211117495e-04       6.542290351592e-01 
       9.843380585498e-04       6.951775752280e-01 
       1.048788822721e-03       7.383036979604e-01 
       1.116778987109e-03       7.835798914649e-01 
       1.188277341859e-03       8.309521153798e-01 
       1.263217364320e-03       8.803414183169e-01 
       1.341500404014e-03       9.316549066424e-01 
       1.423000230117e-03       9.847657117320e-01 
       1.507568477514e-03       1.039538343640e+00 
       1.595040487398e-03       1.095826623810e+00 
       1.685241075052e-03       1.153477879975e+00 
       1.777989849946e-03       1.212336729951e+00 
       1.873105833493e-03       1.272248359122e+00 
       1.970411241375e-03       1.333061216046e+00 
       2.069734401352e-03       1.394628977852e+00 
       2.170911854437e-03       1.456812076473e+00 
       2.273789735608e-03       1.519478680069e+00 
       2.378224553543e-03       1.582505103933e+00 
       2.484083493407e-03       1.645776175165e+00 
       2.591244358870e-03       1.709184916719e+00 
       2.699595254824e-03       1.772632821825e+00 
       2.809034094888e-03       1.836028932321e+00 
       2.919468000394e-03       1.899289902157e+00 
       3.030812641761e-03       1.962339174228e+00 
       3.142991559685e-03       2.025107087869e+00 
       3.255935492585e-03       2.087529496034e+00 
       3.369581728141e-03       2.149548266633e+00 
       3.483873490193e-03       2.211110231140e+00 
       3.598759367421e-03       2.272167635239e+00 
       3.714192786759e-03       2.332676108856e+00 
       3.830131532053e-03       2.392596428516e+00 
       3.946537306880e-03       2.451892250259e+00 
       4.063375339396e-03       2.510531945326e+00 
       4.180614026477e-03       2.568485666660e+00 
       4.298224614140e-03       2.625728266065e+00 
       4.416180911106e-03       2.682236284043e+00 
       4.534459032436e-03       2.737988772445e+00 
       4.653037170281e-03       2.792968149533e+00 
       4.771895388998e-03       2.847158043863e+00 
       4.891015442065e-03       2.900545631415e+00 
       5.010380608463e-03       2.953118800386e+00 
       5.129975546421e-03       3.004866892308e+00 
       5.249786162607e-03       3.055782970030e+00 
       5.369799495068e-03       3.105859661592e+00 
       5.490003608392e-03       3.155093158433e+00 
       5.610387499743e-03       3.203479143847e+00 
       5.730941014549e-03       3.251014891597e+00 
       5.851654770797e-03       3.297699698848e+00 
       5.972520090970e-03       3.343534252184e+00 
       6.093528940795e-03       3.388518802478e+00 
       6.214673874059e-03       3.432655529354e+00 
       6.335947982840e-03       3.475947784932e+00 
       6.457344852562e-03       3.518397990302e+00 
       6.578858521367e-03       3.560012319880e+00 
       6.700483443346e-03       3.600795337132e+00 
       6.822214455222e-03       3.640751505992e+00 
       6.944046746129e-03       3.679888228884e+00 
       7.065975830168e-03       3.718212543070e+00 
       7.187997521452e-03       3.755729561977e+00 
       7.310107911398e-03       3.792449758429e+00 
       7.432303348035e-03       3.828380268347e+00 
       7.554580417124e-03       3.863528960359e+00 
       7.676935924931e-03       3.897902457578e+00 
       7.799366882465e-03       3.931511393324e+00 
       7.921870491067e-03       3.964364545782e+00 
       8.044444129208e-03       3.996470429051e+00 
       8.167085340379e-03       4.027838455704e+00 
       8.289791821990e-03       4.058476694375e+00 
       8.412561415158e-03       4.088395981982e+00 
       8.535392095331e-03       4.117604681763e+00 
       8.658281963652e-03       4.146111794621e+00 
       8.781229239010e-03       4.173925807247e+00 
       8.904232250708e-03       4.201058557065e+00 
       9.027289431704e-03       4.227516685525e+00 
       9.150399312368e-03       4.253309409364e+00 
       9.273560514714e-03       4.278446514582e+00 
       9.396771747065e-03       4.302936367531e+00 
       9.520031799123e-03       4.326787247081e+00 
       9.643339537395e-03       4.350009047943e+00 
       9.766693900965e-03       4.372607891949e+00 
       9.890093897566e-03       4.394594587644e+00 
       1.001353859994e-02       4.415977223802e+00 
       1.013702714247e-02       4.436761531922e+00 
       1.026055871802e-02       4.456956906695e+00 
       1.038413257505e-02       4.476570643595e+00 
       1.050774801489e-02       4.495613578478e+00 
       1.063140438921e-02       4.514086432357e+00 
       1.075510109773e-02       4.532004377385e+00 
       1.087883758598e-02       4.549368284969e+00 
       1.100261334330e-02       4.566188760755e+00 
       1.112642790095e-02       4.582470633899e+00 
       1.125028083038e-02       4.598222493739e+00 
       1.137417174154e-02       4.613449801328e+00 
       1.149810028141e-02       4.628160914927e+00 
       1.162206613256e-02       4.642358980977e+00 
       1.174606901183e-02       4.656053509935e+00 
       1.187010866910e-02       4.669249518906e+00 
       1.199418488617e-02       4.681953742745e+00 
       1.211829747567e-02       4.694170640390e+00 
       1.224244628010e-02       4.705907293790e+00 
       1.236663117090e-02       4.717172416610e+00 
       1.249085204757e-02       4.727965704288e+00 
       1.261510883696e-02       4.738297571034e+00 
       1.273940149246e-02       4.748171044467e+00 
       1.286372999336e-02       4.757595168964e+00 
       1.298809434421e-02       4.766572175018e+00 
       1.311249457428e-02       4.775107689594e+00 
       1.323693073698e-02       4.783207829908e+00 
       1.336140290942e-02       4.790879212488e+00 
       1.348591119193e-02       4.798126359624e+00 
       1.361045570765e-02       4.804954058775e+00 
       1.373503660222e-02       4.811366858400e+00 
       1.385965404336e-02       4.817373365940e+00 
       1.398430822064e-02       4.822974880342e+00 
       1.410899934517e-02       4.828178814044e+00 
       1.423372764937e-02       4.832987478776e+00 
       1.435849338678e-02       4.837410413795e+00 
       1.448329683185e-02       4.841449487143e+00 
       1.460813827981e-02       4.845107479861e+00 
       1.473301804651e-02       4.848394904827e+00 
       1.485793646835e-02       4.851313125107e+00 
       1.498289390217e-02       4.853867705924e+00 
       1.510789072521e-02       4.856065878724e+00 
       1.523292733507e-02       4.857908264781e+00 
       1.535800414968e-02       4.859401099623e+00 
       1.548312160735e-02       4.860552772685e+00 
       1.560828016672e-02       4.861365581103e+00 
