# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901463696e-06       3.058105638554e-09 
       8.891666133645e-06       3.030068757536e-09 
       1.119394444884e-05       3.002288920188e-09 
       1.409234112485e-05       2.974763769920e-09 
       1.774120635375e-05       2.947490971747e-09 
       2.233485551462e-05       2.920468212090e-09 
       2.811791717610e-05       2.893693198582e-09 
       3.539836045972e-05       2.867163659874e-09 
       4.456389551859e-05       2.840877345439e-09 
       5.610262051689e-05       2.814832025383e-09 
       7.062901463696e-05       2.789025490257e-09 
       8.891666133645e-05       2.763455550867e-09 
       1.119394444884e-04       2.738120038090e-09 
       1.409234112485e-04       2.713016802690e-09 
       1.774120635375e-04       2.688143715137e-09 
       2.233485551462e-04       2.663498665420e-09 
       2.811791717610e-04       2.639079562877e-09 
       3.539836045972e-04       2.614884336013e-09 
       4.456389551859e-04       2.590910932321e-09 
       5.610262051689e-04       2.567157318116e-09 
       7.062901463696e-04       2.543621478354e-09 
       8.891666133645e-04       2.520301416469e-09 
       1.119394444884e-03       2.497195154196e-09 
       1.409234112485e-03       2.474300731408e-09 
       1.774120635375e-03       2.451616205951e-09 
       2.233485551462e-03       2.429139653473e-09 
       2.811791717610e-03       2.406869167267e-09 
       3.539836045972e-03       2.384802858105e-09 
       4.456389551859e-03       2.362938854082e-09 
       5.610262051689e-03       2.341275300453e-09 
       7.062901463696e-03       2.319810359477e-09 
       8.891666133645e-03       2.298542210263e-09 
       1.119394444884e-02       2.277469048613e-09 
       1.409234112485e-02       2.256589086871e-09 
       1.774120635375e-02       2.235900553768e-09 
       2.233485551462e-02       2.215401694277e-09 
       2.811791717610e-02       2.195090769459e-09 
       3.539836045972e-02       2.174966056319e-09 
       4.456389551859e-02       2.155025847658e-09 
       5.610262051689e-02       2.135268451930e-09 
       7.062901463696e-02       2.115692193094e-09 
       8.891666133645e-02       2.096295410477e-09 
       1.119394444884e-01       2.077076458633e-09 
       1.409234112485e-01       2.058033707198e-09 
       1.774120635375e-01       2.039165540758e-09 
       2.233485551462e-01       2.020470358708e-09 
       2.811791717610e-01       2.001946575117e-09 
       3.539836045972e-01       1.983592618594e-09 
       4.456389551859e-01       1.965406932157e-09 
       5.610262051689e-01       1.947387973095e-09 
       7.062901463696e-01       1.929534212842e-09 
       8.891666133645e-01       1.911844136847e-09 
       1.119394444884e+00       1.894316244444e-09 
       1.409234112485e+00       1.876949048725e-09 
       1.774120635375e+00       1.859741076413e-09 
       2.233485551462e+00       1.842690867739e-09 
       2.811791717610e+00       1.825796976318e-09 
       3.539836045972e+00       1.809057969024e-09 
       4.456389551859e+00       1.792472425872e-09 
       5.610262051689e+00       1.776038939894e-09 
       7.062901463696e+00       1.759756117020e-09 
       8.891666133645e+00       1.743622575964e-09 
       1.119394444884e+01       1.727636948101e-09 
       1.409234112485e+01       1.711797877356e-09 
       1.774120635375e+01       1.696104020084e-09 
       2.233485551462e+01       1.680554044960e-09 
       2.811791717610e+01       1.665146632865e-09 
       3.539836045972e+01       1.649880476773e-09 
       4.456389551859e+01       1.634754281642e-09 
       5.610262051689e+01       1.619766764301e-09 
       7.062901463696e+01       1.604916653345e-09 
       8.891666133645e+01       1.590202689025e-09 
       1.119394444884e+02       1.575623623140e-09 
       1.409234112485e+02       1.561178218935e-09 
       1.774120635375e+02       1.546865250991e-09 
