# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901462723e-06       3.058014399795e-09 
       8.891666132421e-06       3.029978355259e-09 
       1.119394444729e-05       3.002199346725e-09 
       1.409234112291e-05       2.974675017671e-09 
       1.774120635130e-05       2.947403033183e-09 
       2.233485551154e-05       2.920381079751e-09 
       2.811791717223e-05       2.893606865078e-09 
       3.539836045484e-05       2.867078117880e-09 
       4.456389551245e-05       2.840792587699e-09 
       5.610262050917e-05       2.814748044707e-09 
       7.062901462723e-05       2.788942279520e-09 
       8.891666132421e-05       2.763373103010e-09 
       1.119394444729e-04       2.738038346120e-09 
       1.409234112291e-04       2.712935859677e-09 
       1.774120635130e-04       2.688063514213e-09 
       2.233485551154e-04       2.663419199783e-09 
       2.811791717223e-04       2.639000825786e-09 
       3.539836045484e-04       2.614806320787e-09 
       4.456389551245e-04       2.590833632343e-09 
       5.610262050917e-04       2.567080726828e-09 
       7.062901462723e-04       2.543545589260e-09 
       8.891666132421e-04       2.520226223130e-09 
       1.119394444729e-03       2.497120650234e-09 
       1.409234112291e-03       2.474226910503e-09 
       1.774120635130e-03       2.451543061840e-09 
       2.233485551154e-03       2.429067179951e-09 
       2.811791717223e-03       2.406797358186e-09 
       3.539836045484e-03       2.384731707374e-09 
       4.456389551245e-03       2.362868355665e-09 
       5.610262050917e-03       2.341205448369e-09 
       7.062901462723e-03       2.319741147801e-09 
       8.891666132421e-03       2.298473633124e-09 
       1.119394444729e-02       2.277401100193e-09 
       1.409234112291e-02       2.256521761405e-09 
       1.774120635130e-02       2.235833845546e-09 
       2.233485551154e-02       2.215335597639e-09 
       2.811791717223e-02       2.195025278799e-09 
       3.539836045484e-02       2.174901166081e-09 
       4.456389551245e-02       2.154961552338e-09 
       5.610262050917e-02       2.135204746072e-09 
       7.062901462723e-02       2.115629071295e-09 
       8.891666132421e-02       2.096232867382e-09 
       1.119394444729e-01       2.077014488937e-09 
       1.409234112291e-01       2.057972305644e-09 
       1.774120635130e-01       2.039104702136e-09 
       2.233485551154e-01       2.020410077858e-09 
       2.811791717223e-01       2.001886846925e-09 
       3.539836045484e-01       1.983533437994e-09 
       4.456389551245e-01       1.965348294127e-09 
       5.610262050917e-01       1.947329872662e-09 
       7.062901462723e-01       1.929476645077e-09 
       8.891666132421e-01       1.911787096867e-09 
       1.119394444729e+00       1.894259727410e-09 
       1.409234112291e+00       1.876893049841e-09 
       1.774120635130e+00       1.859685590930e-09 
       2.233485551154e+00       1.842635890950e-09 
       2.811791717223e+00       1.825742503559e-09 
       3.539836045484e+00       1.809003995675e-09 
       4.456389551245e+00       1.792418947354e-09 
       5.610262050917e+00       1.775985951669e-09 
       7.062901462723e+00       1.759703614594e-09 
       8.891666132421e+00       1.743570554883e-09 
       1.119394444729e+01       1.727585403953e-09 
       1.409234112291e+01       1.711746805767e-09 
       1.774120635130e+01       1.696053416722e-09 
       2.233485551154e+01       1.680503905533e-09 
       2.811791717223e+01       1.665096953119e-09 
       3.539836045484e+01       1.649831252494e-09 
       4.456389551245e+01       1.634705508653e-09 
       5.610262050917e+01       1.619718438466e-09 
       7.062901462723e+01       1.604868770564e-09 
       8.891666132421e+01       1.590155245235e-09 
       1.119394444729e+02       1.575576614318e-09 
       1.409234112291e+02       1.561131641092e-09 
       1.774120635130e+02       1.546819100177e-09 
