# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923385e-05       8.603096149270e-03 
       2.251775554930e-05       1.859294994966e-02 
       3.498636120606e-05       2.838346158554e-02 
       4.752690065129e-05       3.808746164271e-02 
       6.017107953816e-05       4.776713895249e-02 
       7.295134796828e-05       5.746785216534e-02 
       8.590117159567e-05       6.722755382411e-02 
       9.905531396721e-05       7.708061756709e-02 
       1.124501335013e-04       8.705976537135e-02 
       1.261238985365e-04       9.719721131513e-02 
       1.401171238971e-04       1.075254334299e-01 
       1.544729323969e-04       1.180777524373e-01 
       1.692374446017e-04       1.288888206839e-01 
       1.844601999509e-04       1.399950485524e-01 
       2.001946119308e-04       1.514350132118e-01 
       2.164984593225e-04       1.632498555773e-01 
       2.334344144963e-04       1.754836783348e-01 
       2.510706081659e-04       1.881839519471e-01 
       2.694812277618e-04       2.014019193426e-01 
       2.887471434300e-04       2.151930173319e-01 
       3.089565513521e-04       2.296172849874e-01 
       3.302056183397e-04       2.447397588873e-01 
       3.525991041884e-04       2.606308470266e-01 
       3.762509288441e-04       2.773666349324e-01 
       4.012846398935e-04       2.950291182754e-01 
       4.278337223492e-04       3.137063042046e-01 
       4.560416776520e-04       3.334921309505e-01 
       4.860617833901e-04       3.544861585545e-01 
       5.180564314341e-04       3.767929409744e-01 
       5.521959331310e-04       4.005210238520e-01 
       5.886566802046e-04       4.257814943284e-01 
       6.276185644258e-04       4.526860014586e-01 
       6.692615935926e-04       4.813442496306e-01 
       7.137617004578e-04       5.118609541250e-01 
       7.612858262925e-04       5.443323287874e-01 
       8.119864673565e-04       5.788422574779e-01 
       8.659959883789e-04       6.154583915203e-01 
       9.234211117495e-04       6.542284251944e-01 
       9.843380585498e-04       6.951769270849e-01 
       1.048788822721e-03       7.383030096086e-01 
       1.116778987109e-03       7.835791608999e-01 
       1.188277341859e-03       8.309513406471e-01 
       1.263217364320e-03       8.803405975358e-01 
       1.341500404014e-03       9.316540380185e-01 
       1.423000230117e-03       9.847647935895e-01 
       1.507568477514e-03       1.039537374429e+00 
       1.595040487398e-03       1.095825602117e+00 
       1.685241075052e-03       1.153476804530e+00 
       1.777989849946e-03       1.212335599627e+00 
       1.873105833493e-03       1.272247172937e+00 
       1.970411241375e-03       1.333059973160e+00 
       2.069734401352e-03       1.394627677561e+00 
       2.170911854437e-03       1.456810718202e+00 
       2.273789735608e-03       1.519477263367e+00 
       2.378224553543e-03       1.582503628464e+00 
       2.484083493407e-03       1.645774640700e+00 
       2.591244358870e-03       1.709183323129e+00 
       2.699595254824e-03       1.772631169074e+00 
       2.809034094888e-03       1.836027220457e+00 
       2.919468000394e-03       1.899288131305e+00 
       3.030812641761e-03       1.962337344584e+00 
       3.142991559685e-03       2.025105199696e+00 
       3.255935492585e-03       2.087527549653e+00 
       3.369581728141e-03       2.149546262419e+00 
       3.483873490193e-03       2.211108169521e+00 
       3.598759367421e-03       2.272165516681e+00 
       3.714192786759e-03       2.332673933873e+00 
       3.830131532053e-03       2.392594197655e+00 
       3.946537306880e-03       2.451889964100e+00 
       4.063375339396e-03       2.510529604484e+00 
       4.180614026477e-03       2.568483271771e+00 
       4.298224614140e-03       2.625725817793e+00 
       4.416180911106e-03       2.682233783074e+00 
       4.534459032436e-03       2.737986219477e+00 
       4.653037170281e-03       2.792965545293e+00 
       4.771895388998e-03       2.847155389084e+00 
       4.891015442065e-03       2.900542926845e+00 
       5.010380608463e-03       2.953116046783e+00 
       5.129975546421e-03       3.004864090441e+00 
       5.249786162607e-03       3.055780120677e+00 
       5.369799495068e-03       3.105856765534e+00 
       5.490003608392e-03       3.155090216455e+00 
       5.610387499743e-03       3.203476156741e+00 
       5.730941014549e-03       3.251011860155e+00 
       5.851654770797e-03       3.297696623862e+00 
       5.972520090970e-03       3.343531133967e+00 
       6.093528940795e-03       3.388515642785e+00 
       6.214673874059e-03       3.432652328494e+00 
       6.335947982840e-03       3.475944543693e+00 
       6.457344852562e-03       3.518394709468e+00 
       6.578858521367e-03       3.560009000259e+00 
       6.700483443346e-03       3.600791979446e+00 
       6.822214455222e-03       3.640748111040e+00 
       6.944046746129e-03       3.679884797428e+00 
       7.065975830168e-03       3.718209075869e+00 
       7.187997521452e-03       3.755726059815e+00 
       7.310107911398e-03       3.792446222039e+00 
       7.432303348035e-03       3.828376698398e+00 
       7.554580417124e-03       3.863525357630e+00 
       7.676935924931e-03       3.897898822789e+00 
       7.799366882465e-03       3.931507727190e+00 
       7.921870491067e-03       3.964360849010e+00 
       8.044444129208e-03       3.996466702352e+00 
       8.167085340379e-03       4.027834699744e+00 
       8.289791821990e-03       4.058472909849e+00 
       8.412561415158e-03       4.088392169463e+00 
       8.535392095331e-03       4.117600842108e+00 
       8.658281963652e-03       4.146107928387e+00 
       8.781229239010e-03       4.173921915083e+00 
       8.904232250708e-03       4.201054639748e+00 
       9.027289431704e-03       4.227512743005e+00 
       9.150399312368e-03       4.253305443212e+00 
       9.273560514714e-03       4.278442525004e+00 
       9.396771747065e-03       4.302932355128e+00 
       9.520031799123e-03       4.326783212401e+00 
       9.643339537395e-03       4.350004991687e+00 
       9.766693900965e-03       4.372603814649e+00 
       9.890093897566e-03       4.394590493659e+00 
       1.001353859994e-02       4.415973106106e+00 
       1.013702714247e-02       4.436757392681e+00 
       1.026055871802e-02       4.456952750854e+00 
       1.038413257505e-02       4.476566469503e+00 
       1.050774801489e-02       4.495609406609e+00 
       1.063140438921e-02       4.514082208500e+00 
       1.075510109773e-02       4.532000155962e+00 
       1.087883758598e-02       4.549365335055e+00 
