# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513673874656e-10       4.794224356035e-15       3.799606862817e-13       2.253268259067e-19       8.309280660255e-09       5.059303862637e-10      -2.012696284054e-12 
    3       1.417637670909e-10       6.054708492367e-15       4.281361173376e-13       4.507535893854e-19       5.130040733519e-09       3.573208252600e-10      -1.512249519907e-12 
    4       1.331047828577e-10       5.149066263060e-15       3.998204707278e-13       7.514759674087e-19       3.573587979897e-09       2.695910442282e-10      -9.768140602377e-13 
    5       1.266684246325e-10       3.373404196136e-15       3.391813566207e-13       1.127621432589e-18       2.668881236201e-09       2.123223835353e-10      -5.310402956455e-13 
    6       1.222188289995e-10       1.856606053544e-15       2.715933868042e-13       1.579344499278e-18       2.084799264534e-09       1.723427757446e-10      -2.072624811262e-13 
    7       1.192688611105e-10       9.992301458273e-16       2.117279752404e-13       2.106823728870e-18       1.680731848803e-09       1.430987583965e-10      -5.087635563661e-15 
    8       1.174600299043e-10       6.511443776769e-16       1.659118647283e-13       2.710258348546e-18       1.387281175298e-09       1.209832365646e-10       9.391252464186e-14 
    9       1.164938432781e-10       5.242458485531e-16       1.354220207882e-13       3.389864586332e-18       1.166779013946e-09       1.038454735614e-10       1.170818432018e-13 
   10       1.161226844117e-10       4.430356581056e-16       1.186573857958e-13       4.145871832479e-18       9.966967053101e-10       9.028531798957e-11       9.396091652903e-14 
   11       1.162503816030e-10       3.698760511957e-16       1.125860473790e-13       4.978518740270e-18       8.433009730545e-10       7.969048073512e-11       5.145309033669e-14 
