# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901463696e-06       3.058091382495e-09 
       8.891666133645e-06       3.030054632178e-09 
       1.119394444884e-05       3.002274924332e-09 
       1.409234112485e-05       2.974749902379e-09 
       1.774120635375e-05       2.947477231343e-09 
       2.233485551462e-05       2.920454597659e-09 
       2.811791717610e-05       2.893679708970e-09 
       3.539836045972e-05       2.867150293935e-09 
       4.456389551859e-05       2.840864102040e-09 
       5.610262051689e-05       2.814818903400e-09 
       7.062901463696e-05       2.789012488577e-09 
       8.891666133645e-05       2.763442668387e-09 
       1.119394444884e-04       2.738107273717e-09 
       1.409234112485e-04       2.713004155342e-09 
       1.774120635375e-04       2.688131183740e-09 
       2.233485551462e-04       2.663486248912e-09 
       2.811791717610e-04       2.639067260205e-09 
       3.539836045972e-04       2.614872146131e-09 
       4.456389551859e-04       2.590898854197e-09 
       5.610262051689e-04       2.567145350725e-09 
       7.062901463696e-04       2.543609620681e-09 
       8.891666133645e-04       2.520289667507e-09 
       1.119394444884e-03       2.497183512949e-09 
       1.409234112485e-03       2.474289196890e-09 
       1.774120635375e-03       2.451604777182e-09 
       2.233485551462e-03       2.429128329483e-09 
       2.811791717610e-03       2.406857947096e-09 
       3.539836045972e-03       2.384791740802e-09 
       4.456389551859e-03       2.362927838703e-09 
       5.610262051689e-03       2.341264386063e-09 
       7.062901463696e-03       2.319799545151e-09 
       8.891666133645e-03       2.298531495083e-09 
       1.119394444884e-02       2.277458431671e-09 
       1.409234112485e-02       2.256578567265e-09 
       1.774120635375e-02       2.235890130606e-09 
       2.233485551462e-02       2.215391366675e-09 
       2.811791717610e-02       2.195080536541e-09 
       3.539836045972e-02       2.174955917218e-09 
       4.456389551859e-02       2.155015801513e-09 
       5.610262051689e-02       2.135258497887e-09 
       7.062901463696e-02       2.115682330311e-09 
       8.891666133645e-02       2.096285638117e-09 
       1.119394444884e-01       2.077066775866e-09 
       1.409234112485e-01       2.058024113204e-09 
       1.774120635375e-01       2.039156034722e-09 
       2.233485551462e-01       2.020460939823e-09 
       2.811791717610e-01       2.001937242585e-09 
       3.539836045972e-01       1.983583371624e-09 
       4.456389551859e-01       1.965397769963e-09 
       5.610262051689e-01       1.947378894900e-09 
       7.062901463696e-01       1.929525217877e-09 
       8.891666133645e-01       1.911835224349e-09 
       1.119394444884e+00       1.894307413656e-09 
       1.409234112485e+00       1.876940298898e-09 
       1.774120635375e+00       1.859732406804e-09 
       2.233485551462e+00       1.842682277614e-09 
       2.811791717610e+00       1.825788464948e-09 
       3.539836045972e+00       1.809049535687e-09 
       4.456389551859e+00       1.792464069852e-09 
       5.610262051689e+00       1.776030660482e-09 
       7.062901463696e+00       1.759747913514e-09 
       8.891666133645e+00       1.743614447669e-09 
       1.119394444884e+01       1.727628894327e-09 
       1.409234112485e+01       1.711789897419e-09 
       1.774120635375e+01       1.696096113307e-09 
       2.233485551462e+01       1.680546210673e-09 
       2.811791717610e+01       1.665138870403e-09 
       3.539836045972e+01       1.649872785478e-09 
       4.456389551859e+01       1.634746660861e-09 
       5.610262051689e+01       1.619759213388e-09 
       7.062901463696e+01       1.604909171659e-09 
       8.891666133645e+01       1.590195275931e-09 
       1.119394444884e+02       1.575616278010e-09 
       1.409234112485e+02       1.561170941146e-09 
       1.774120635375e+02       1.546858039925e-09 
