# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513665282473e-10       4.794233951118e-15       3.799624957931e-13       2.253244780554e-19       8.309053674224e-09       5.059188334117e-10      -2.012687926375e-12 
    3       1.417638209410e-10       6.054712971644e-15       4.281411252625e-13       4.507488785714e-19       5.129879258318e-09       3.573116802119e-10      -1.512240004148e-12 
    4       1.331047781984e-10       5.149049167789e-15       3.998226536678e-13       7.514680831125e-19       3.573464795667e-09       2.695838156123e-10      -9.768061557148e-13 
    5       1.266680094703e-10       3.373382432114e-15       3.391802655727e-13       1.127609545900e-18       2.668782864644e-09       2.123164186058e-10      -5.310361021834e-13 
    6       1.222180753621e-10       1.856588136150e-15       2.715910977719e-13       1.579327759742e-18       2.084717840776e-09       1.723376356344e-10      -2.072615799519e-13 
    7       1.192680960559e-10       9.992146778831e-16       2.117252636408e-13       2.106801262212e-18       1.680663239566e-09       1.430942223148e-10      -5.088602313467e-15 
    8       1.174592722842e-10       6.511300325832e-16       1.659089701864e-13       2.710229255338e-18       1.387222442483e-09       1.209791713842e-10       9.391100952650e-14 
    9       1.164930474597e-10       5.242324406550e-16       1.354191380985e-13       3.389827941675e-18       1.166727522384e-09       1.038417328238e-10       1.170806176178e-13 
   10       1.161219555653e-10       4.430230192941e-16       1.186542370802e-13       4.145826686668e-18       9.966509226178e-10       9.028181868059e-11       9.396033173958e-14 
   11       1.162496633142e-10       3.698635633653e-16       1.125824892767e-13       4.978464120420e-18       8.432596295300e-10       7.968717270571e-11       5.145312596941e-14 
   12       1.167302850215e-10       3.230856146900e-16       1.137778697199e-13       5.887984291079e-18       7.367291844218e-10       7.043744220550e-11       8.506133071086e-15 
   13       1.174941041944e-10       3.112463637586e-16       1.192665477572e-13       6.874632977302e-18       6.492773818591e-10       6.289473911807e-11      -2.257368108192e-14 
   14       1.184681927550e-10       3.231201918302e-16       1.268648944356e-13       7.938654258708e-18       5.765171175266e-10       5.630830723676e-11      -3.807978602302e-14 
   15       1.196501893726e-10       3.466899532136e-16       1.351544869073e-13       9.080287431367e-18       5.152722557005e-10       5.077167250444e-11      -3.911782148060e-14 
   16       1.209804662937e-10       3.813601814790e-16       1.435313205166e-13       1.029976434053e-17       4.632007094760e-10       4.602188611984e-11      -3.059045016485e-14 
   17       1.224487450674e-10       4.337600925840e-16       1.518970527769e-13       1.159730718575e-17       4.185331683910e-10       4.189380938241e-11      -1.835735415432e-14 
   18       1.240069980866e-10       5.088266071581e-16       1.604922118002e-13       1.297312662634e-17       3.797662857052e-10       3.827139575545e-11      -7.624643825640e-15 
   19       1.256667389834e-10       6.063133985779e-16       1.695575263274e-13       1.442742166268e-17       3.462816697210e-10       3.511495700235e-11      -8.584177125622e-16 
   20       1.274067452553e-10       7.236741012612e-16       1.792730976357e-13       1.596037668919e-17       3.167916768316e-10       3.233066202419e-11       6.145772267590e-16 
   21       1.292332609731e-10       8.603046189875e-16       1.895924411875e-13       1.757216456206e-17       2.908331060666e-10       2.986710309066e-11      -2.207671267393e-15 
   22       1.311278735990e-10       1.015856470905e-15       2.002937456970e-13       1.926294334935e-17       2.677840859576e-10       2.764776053407e-11      -7.115654106844e-15 
   23       1.330886016797e-10       1.190096725562e-15       2.109375726522e-13       2.103286092666e-17       2.473277553482e-10       2.564997308766e-11      -1.224106518079e-14 
   24       1.350983704971e-10       1.382748089490e-15       2.209808766016e-13       2.288205167365e-17       2.289915835651e-10       2.384608585954e-11      -1.575974845921e-14 
   25       1.371680525466e-10       1.594355300218e-15       2.301527968010e-13       2.481064284575e-17       2.125598434458e-10       2.222859983440e-11      -1.704072393089e-14 
   26       1.392982468070e-10       1.825928419148e-15       2.382777504371e-13       2.681875058893e-17       1.977349813786e-10       2.077786906302e-11      -1.603188017503e-14 
   27       1.414747689529e-10       2.079524556702e-15       2.452881895625e-13       2.890648598431e-17       1.843390436263e-10       1.946554732521e-11      -1.354564001419e-14 
   28       1.436707886023e-10       2.357515629030e-15       2.511787220250e-13       3.107395233579e-17       1.721409960768e-10       1.825362791241e-11      -1.074015337369e-14 
   29       1.458964754943e-10       2.661347662275e-15       2.560147989171e-13       3.332125465068e-17       1.610784747028e-10       1.714094663972e-11      -8.251206630258e-15 
   30       1.481628435974e-10       2.992163599315e-15       2.599196892717e-13       3.564849196283e-17       1.510326404859e-10       1.612929973628e-11      -6.645468136043e-15 
   31       1.504698910283e-10       3.351036151294e-15       2.630184785736e-13       3.805575729276e-17       1.417985282719e-10       1.521090998586e-11      -6.413709027044e-15 
   32       1.528200057335e-10       3.738884104123e-15       2.652555648523e-13       4.054314906348e-17       1.333283743417e-10       1.437536133561e-11      -7.275352117410e-15 
   33       1.552067344386e-10       4.156510136561e-15       2.665075840220e-13       4.311076395527e-17       1.255621996426e-10       1.360329622394e-11      -8.596843724036e-15 
   34       1.576167987259e-10       4.604670170008e-15       2.666333694532e-13       4.575869543449e-17       1.183912396122e-10       1.287172738562e-11      -9.698556598787e-15 
   35       1.600546411585e-10       5.084270918797e-15       2.654906393334e-13       4.848703861781e-17       1.117787314323e-10       1.218256479424e-11      -1.034735608687e-14 
   36       1.625247015776e-10       5.596233295622e-15       2.629224360942e-13       5.129588741211e-17       1.056715735644e-10       1.154324137105e-11      -1.042974160038e-14 
