# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       1.008985923246e-05      -1.550589545737e+00      -1.162942159188e+00      -1.162942159179e+00       0.000000000000e+00      -1.550589545753e+00      -1.174176496684e+00       6.123562051576e-01       5.967976591501e-01       1.526035959164e-08       1.526017917130e-08       1.526017684634e-08                      nan       1.526036667217e-08       1.526018431847e-08 
       2.251775554681e-05      -1.550694459434e+00      -1.163020846916e+00      -1.163020846974e+00       0.000000000000e+00      -1.550694459117e+00      -1.174255944512e+00       6.123442721131e-01       5.967869831719e-01       7.599733895749e-08       7.600330767101e-08       7.600332341742e-08                      nan       7.599701084284e-08       7.600308676249e-08 
       3.498636120247e-05      -1.550806613486e+00      -1.163104970381e+00      -1.163104970568e+00       0.000000000000e+00      -1.550806612005e+00      -1.174340880418e+00       6.123415251491e-01       5.967850688317e-01       1.834477773339e-07       1.834757466420e-07       1.834758004921e-07                      nan       1.834461222003e-07       1.834746936049e-07 
       4.752690064658e-05      -1.550965592162e+00      -1.163224224621e+00      -1.163224225069e+00       0.000000000000e+00      -1.550965587607e+00      -1.174461286079e+00       6.123382779294e-01       5.967829585881e-01       3.384920708140e-07       3.385782346668e-07       3.385783651270e-07                      nan       3.384867841121e-07       3.385749592053e-07 
       6.017107953230e-05      -1.551168098643e+00      -1.163376145109e+00      -1.163376145785e+00       0.000000000000e+00      -1.551168088046e+00      -1.174614672705e+00       6.123356776773e-01       5.967817153493e-01       5.424877067584e-07       5.426943155745e-07       5.426945033178e-07                      nan       5.424749321399e-07       5.426863594210e-07 
       7.295134796122e-05      -1.551431901482e+00      -1.163574075584e+00      -1.163574077159e+00       0.000000000000e+00      -1.551431878585e+00      -1.174814512798e+00       6.123297199195e-01       5.967776464245e-01       7.972692131212e-07       7.977082155000e-07       7.977086900927e-07                      nan       7.972415704168e-07       7.976913632766e-07 
       8.590117158737e-05      -1.551742131511e+00      -1.163806876122e+00      -1.163806878615e+00       0.000000000000e+00      -1.551742088687e+00      -1.175049557815e+00       6.123246897972e-01       5.967747353155e-01       1.105224456636e-06       1.106048843318e-06       1.106049611736e-06                      nan       1.105172172177e-06       1.106017092573e-06 
       9.905531395762e-05      -1.552104384209e+00      -1.164078762972e+00      -1.164078766812e+00       0.000000000000e+00      -1.552104309949e+00      -1.175324064261e+00       6.123198895523e-01       5.967723510383e-01       1.469296331827e-06       1.470723006659e-06       1.470724224061e-06                      nan       1.469204933938e-06       1.470667954500e-06 
       1.124501334903e-04      -1.552540119459e+00      -1.164405874201e+00      -1.164405881860e+00       0.000000000000e+00      -1.552539993698e+00      -1.175654325992e+00       6.123107942590e-01       5.967663353059e-01       1.892995878211e-06       1.895361238175e-06       1.895363741777e-06                      nan       1.892842261173e-06       1.895270321634e-06 
       1.261238985241e-04      -1.553040926078e+00      -1.164781938212e+00      -1.164781948572e+00       0.000000000000e+00      -1.553040730619e+00      -1.176034006512e+00       6.123005192769e-01       5.967596147789e-01       2.380571807225e-06       2.384313704564e-06       2.384317030098e-06                      nan       2.380331433237e-06       2.384169409460e-06 
