# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513641300809e-10       4.794157989208e-15       3.799564757588e-13       2.253195516458e-19       8.308923700242e-09       5.059108242998e-10      -2.012656032471e-12 
    3       1.417615752567e-10       6.054617039120e-15       4.281343422033e-13       4.507390224042e-19       5.129799118374e-09       3.573060303217e-10      -1.512216040690e-12 
    4       1.331026704017e-10       5.148967583039e-15       3.998163192429e-13       7.514516488083e-19       3.573409030730e-09       2.695795567961e-10      -9.767906771940e-13 
    5       1.266660025271e-10       3.373328978433e-15       3.391748917407e-13       1.127584880838e-18       2.668741277856e-09       2.123130621261e-10      -5.310276874958e-13 
    6       1.222161399504e-10       1.856558711531e-15       2.715867946227e-13       1.579293206188e-18       2.084685383844e-09       1.723349120221e-10      -2.072582953648e-13 
    7       1.192662069876e-10       9.991988339989e-16       2.117219089887e-13       2.106755156553e-18       1.680637049438e-09       1.430919683747e-10      -5.088521191805e-15 
    8       1.174574139526e-10       6.511196999439e-16       1.659063413201e-13       2.710169927456e-18       1.387200795796e-09       1.209772692518e-10       9.390952111986e-14 
    9       1.164912014210e-10       5.242241146668e-16       1.354169922265e-13       3.389753714446e-18       1.166709309777e-09       1.038400949786e-10       1.170787615493e-13 
   10       1.161201175100e-10       4.430159756475e-16       1.186523570381e-13       4.145735875612e-18       9.966353738809e-10       9.028039276905e-11       9.395884327065e-14 
   11       1.162478222246e-10       3.698576740691e-16       1.125807054797e-13       4.978355033487e-18       8.432464264132e-10       7.968591990670e-11       5.145231290059e-14 
   12       1.167284396457e-10       3.230804611069e-16       1.137760674977e-13       5.887855228579e-18       7.367176565450e-10       7.043633986065e-11       8.506000290437e-15 
   13       1.174922435952e-10       3.112413919308e-16       1.192646578096e-13       6.874482231954e-18       6.492672287426e-10       6.289374866356e-11      -2.257332398037e-14 
   14       1.184663170702e-10       3.231150264096e-16       1.268628847187e-13       7.938480115814e-18       5.765081078383e-10       5.630741510450e-11      -3.807918529970e-14 
   15       1.196482968330e-10       3.466844068624e-16       1.351523456969e-13       9.080088169074e-18       5.152642081568e-10       5.077087450689e-11      -3.911720351957e-14 
   16       1.209785521361e-10       3.813540801476e-16       1.435290476061e-13       1.029953823018e-17       4.631934796957e-10       4.602117060259e-11      -3.058996447169e-14 
   17       1.224468116550e-10       4.337531531771e-16       1.518946478874e-13       1.159705249230e-17       4.185266398658e-10       4.189315378597e-11      -1.835706011835e-14 
   18       1.240050421987e-10       5.088184713053e-16       1.604896704228e-13       1.297284160881e-17       3.797603655802e-10       3.827079194183e-11      -7.624520899538e-15 
   19       1.256647573406e-10       6.063037114163e-16       1.695548406037e-13       1.442710457456e-17       3.462762749578e-10       3.511440303161e-11      -8.584052191681e-16 
