# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513633627662e-10       4.793923730973e-15       3.799557718910e-13       0.000000000000e+00       8.308908293319e-09       5.059098842634e-10      -2.012652277651e-12 
    3       1.417603422207e-10       6.054155008678e-15       4.281335626099e-13       0.000000000000e+00       5.129789637402e-09       3.573053574669e-10      -1.512213220999e-12 
    4       1.331008129985e-10       5.148206526100e-15       3.998156270041e-13       0.000000000000e+00       3.573402443034e-09       2.695790505251e-10      -9.767888562807e-13 
    5       1.266633630241e-10       3.372195095489e-15       3.391743808090e-13       0.000000000000e+00       2.668736365592e-09       2.123126760842e-10      -5.310266981048e-13 
    6       1.222125624938e-10       1.854975937879e-15       2.715865277338e-13       0.000000000000e+00       2.084681554710e-09       1.723345974153e-10      -2.072579095163e-13 
    7       1.192615393543e-10       9.970901717255e-16       2.117219399911e-13       0.000000000000e+00       1.680633966313e-09       1.430916927940e-10      -5.088511240878e-15 
    8       1.174515135995e-10       6.484082226799e-16       1.659067326071e-13       0.000000000000e+00       1.387198246444e-09       1.209770374726e-10       9.390934710748e-14 
    9       1.164839291382e-10       5.208332049317e-16       1.354178269732e-13       0.000000000000e+00       1.166707157936e-09       1.038399126763e-10       1.170785432536e-13 
   10       1.161113392860e-10       4.388690983737e-16       1.186537454449e-13       0.000000000000e+00       9.966335321327e-10       9.028023465416e-11       9.395866640936e-14 
   11       1.162374015013e-10       3.648781081255e-16       1.125827903123e-13       0.000000000000e+00       8.432448683473e-10       7.968576243569e-11       5.145221532169e-14 
   12       1.167162598765e-10       3.171911872605e-16       1.137790244348e-13       0.000000000000e+00       7.367162960008e-10       7.043619837632e-11       8.505984739259e-15 
   13       1.174781811466e-10       3.043651109713e-16       1.192686953551e-13       0.000000000000e+00       6.492660303050e-10       6.289364104809e-11      -2.257328004886e-14 
   14       1.184502661997e-10       3.151741993258e-16       1.268682433008e-13       0.000000000000e+00       5.765070442404e-10       5.630732392282e-11      -3.807911336133e-14 
   15       1.196301288090e-10       3.376012661174e-16       1.351592968270e-13       0.000000000000e+00       5.152632580293e-10       5.077077398790e-11      -3.911713227097e-14 
   16       1.209581791188e-10       3.710506278115e-16       1.435378910787e-13       0.000000000000e+00       4.631926260178e-10       4.602107149975e-11      -3.058991092656e-14 
   17       1.224241159248e-10       4.221511643565e-16       1.519057145274e-13       0.000000000000e+00       4.185258689014e-10       4.189308074330e-11      -1.835702861890e-14 
   18       1.239799286688e-10       4.958395304648e-16       1.605033143391e-13       0.000000000000e+00       3.797596663836e-10       3.827072974669e-11      -7.624506473746e-15 
   19       1.256371369357e-10       5.918692536964e-16       1.695714418363e-13       0.000000000000e+00       3.462756377330e-10       3.511433725950e-11      -8.584001081011e-16 
   20       1.273745147318e-10       7.076938987286e-16       1.792902228913e-13       0.000000000000e+00       3.167861619326e-10       3.233009250998e-11       6.145675252654e-16 
   21       1.291983078785e-10       8.427093155668e-16       1.896131982123e-13       0.000000000000e+00       2.908280461757e-10       2.986658356934e-11      -2.207631300680e-15 
   22       1.310901074937e-10       9.965670157732e-16       2.003185827305e-13       0.000000000000e+00       2.677794299473e-10       2.764727988240e-11      -7.115524778760e-15 
   23       1.330479331634e-10       1.169034106420e-15       2.109669672191e-13       0.000000000000e+00       2.473234576729e-10       2.564952353539e-11      -1.224084471094e-14 
   24       1.350547105010e-10       1.359833387026e-15       2.210153361532e-13       0.000000000000e+00       2.289876069792e-10       2.384566751265e-11      -1.575947276283e-14 
   25       1.371213126401e-10       1.569509723258e-15       2.301928535447e-13       0.000000000000e+00       2.125561545036e-10       2.222821183058e-11      -1.704043288924e-14 
   26       1.392483399876e-10       1.799073356858e-15       2.383239580621e-13       0.000000000000e+00       1.977315518655e-10       2.077750733647e-11      -1.603160468101e-14 
   27       1.414216121670e-10       2.050581629465e-15       2.453411179011e-13       0.000000000000e+00       1.843358484585e-10       1.946520856580e-11      -1.354540043466e-14 
   28       1.436143031285e-10       2.326406743133e-15       2.512389536196e-13       0.000000000000e+00       1.721380142277e-10       1.825331083445e-11      -1.073995748571e-14 
   29       1.458365821894e-10       2.627995045278e-15       2.560829274981e-13       0.000000000000e+00       1.610756862482e-10       1.714065006148e-11      -8.251052274111e-15 
   30       1.480994609710e-10       2.956489853695e-15       2.599963171781e-13       0.000000000000e+00       1.510300275910e-10       1.612902207287e-11      -6.645342234676e-15 
   31       1.504029355914e-10       3.312964316973e-15       2.631042142707e-13       0.000000000000e+00       1.417960766969e-10       1.521064933356e-11      -6.413588709043e-15 
   32       1.527493962497e-10       3.698337722429e-15       2.653510225695e-13       0.000000000000e+00       1.333260706899e-10       1.437511555577e-11      -7.275218752751e-15 
   33       1.551323938552e-10       4.113413317963e-15       2.666133818097e-13       0.000000000000e+00       1.255600315723e-10       1.360306305077e-11      -8.596689145335e-15 
   34       1.575386548174e-10       4.558947645494e-15       2.667501254669e-13       0.000000000000e+00       1.183891966890e-10       1.287150459326e-11      -9.698383907484e-15 
   35       1.599726258572e-10       5.035848026138e-15       2.656189643403e-13       0.000000000000e+00       1.117768038696e-10       1.218235052136e-11      -1.034717239249e-14 
   36       1.624387512745e-10       5.545036010241e-15       2.630629280718e-13       0.000000000000e+00       1.056697525078e-10       1.154303437197e-11      -1.042955612056e-14 
   37       1.649364840725e-10       6.087378474964e-15       2.589384085753e-13       0.000000000000e+00       9.998850500363e-11       1.095784013139e-11      -9.879803314139e-15 
   38       1.674682896029e-10       6.663641162593e-15       2.532315315297e-13       0.000000000000e+00       9.471833571883e-11       1.042488189797e-11      -8.879724665955e-15 
   39       1.700330563965e-10       7.274512847686e-15       2.459809266489e-13       0.000000000000e+00       8.984247952597e-11       9.937570167910e-12      -7.729743729521e-15 
   40       1.726231156144e-10       7.920612038584e-15       2.372483730979e-13       0.000000000000e+00       8.531437659700e-11       9.484968635620e-12      -6.801252010616e-15 
   41       1.752285732270e-10       8.602529889975e-15       2.270958403690e-13       0.000000000000e+00       8.107387978423e-11       9.055092916518e-12      -6.434233650543e-15 
   42       1.778535764502e-10       9.320986506059e-15       2.155042516247e-13       0.000000000000e+00       7.710846860912e-11       8.646946000910e-12      -6.579170202830e-15 
   43       1.805042406721e-10       1.007671798233e-14       2.024306349453e-13       0.000000000000e+00       7.340758895920e-11       8.261807155425e-12      -7.046186995611e-15 
   44       1.831838134809e-10       1.087043220901e-14       1.878299342640e-13       0.000000000000e+00       6.994428542170e-11       7.899818900456e-12      -7.599127364085e-15 
