# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513647857517e-10       4.793931983915e-15       3.799553767241e-13       0.000000000000e+00       8.309166143176e-09       5.059233338849e-10      -2.012668136007e-12 
    3       1.417608173809e-10       6.054173068073e-15       4.281301484975e-13       0.000000000000e+00       5.129970542152e-09       3.573158757238e-10      -1.512228370805e-12 
    4       1.331013143740e-10       5.148242784498e-15       3.998149328011e-13       0.000000000000e+00       3.573539435294e-09       2.695873350098e-10      -9.768003992571e-13 
    5       1.266642496764e-10       3.372229405150e-15       3.391767352126e-13       0.000000000000e+00       2.668845074835e-09       2.123194592164e-10      -5.310328687264e-13 
    6       1.222137708710e-10       1.855000745674e-15       2.715898285300e-13       0.000000000000e+00       2.084770885826e-09       1.723404041819e-10      -2.072595823960e-13 
    7       1.192627500662e-10       9.971093296436e-16       2.117254401214e-13       0.000000000000e+00       1.680708924633e-09       1.430968094654e-10      -5.087564660566e-15 
    8       1.174527097404e-10       6.484249527759e-16       1.659102451213e-13       0.000000000000e+00       1.387262325368e-09       1.209816045956e-10       9.391121102224e-14 
    9       1.164851582105e-10       5.208485149765e-16       1.354212142573e-13       0.000000000000e+00       1.166763184768e-09       1.038440638596e-10       1.170802059989e-13 
   10       1.161124992953e-10       4.388833254260e-16       1.186573363684e-13       0.000000000000e+00       9.966832241664e-10       9.028409536812e-11       9.395960269053e-14 
   11       1.162385537336e-10       3.648918987586e-16       1.125867680994e-13       0.000000000000e+00       8.432895516779e-10       7.968941224816e-11       5.145237054851e-14 
   12       1.167174179596e-10       3.172059042194e-16       1.137834915654e-13       0.000000000000e+00       7.367564854643e-10       7.043950089931e-11       8.505530850710e-15 
   13       1.174793438284e-10       3.043822462479e-16       1.192737375411e-13       0.000000000000e+00       6.493025050411e-10       6.289660513252e-11      -2.257403870796e-14 
   14       1.184515131278e-10       3.151950726607e-16       1.268739288811e-13       0.000000000000e+00       5.765401900929e-10       5.631011348146e-11      -3.807993927280e-14 
   15       1.196314797438e-10       3.376267581882e-16       1.351656875293e-13       0.000000000000e+00       5.152935687560e-10       5.077340838462e-11      -3.911785170609e-14 
   16       1.209595653542e-10       3.710817095131e-16       1.435448434449e-13       0.000000000000e+00       4.632204829778e-10       4.602344233822e-11      -3.059048123662e-14 
   17       1.224255833275e-10       4.221895912596e-16       1.519132489003e-13       0.000000000000e+00       4.185515159264e-10       4.189518235531e-11      -1.835747840236e-14 
   18       1.239814302037e-10       4.958864413070e-16       1.605113518311e-13       0.000000000000e+00       3.797833353341e-10       3.827270570057e-11      -7.624935976012e-15 
   19       1.256386550163e-10       5.919261619559e-16       1.695799583403e-13       0.000000000000e+00       3.462975557981e-10       3.511623618022e-11      -8.588732527456e-16 
   20       1.273761196665e-10       7.077630937929e-16       1.792993256776e-13       0.000000000000e+00       3.168065013439e-10       3.233179789970e-11       6.140654035335e-16 
   21       1.292000229801e-10       8.427928070460e-16       1.896229124499e-13       0.000000000000e+00       2.908469559248e-10       2.986806836122e-11      -2.208148662885e-15 
   22       1.310918701104e-10       9.966661809105e-16       2.003287807663e-13       0.000000000000e+00       2.677970261137e-10       2.764867399164e-11      -7.116068715342e-15 
   23       1.330497043752e-10       1.169150377046e-15       2.109775031984e-13       0.000000000000e+00       2.473398528340e-10       2.565089026104e-11      -1.224141868522e-14 
   24       1.350565101418e-10       1.359968530059e-15       2.210261004583e-13       0.000000000000e+00       2.290029063764e-10       2.384694025785e-11      -1.576005761638e-14 
   25       1.371231690039e-10       1.569665951517e-15       2.302037900065e-13       0.000000000000e+00       2.125704578129e-10       2.222935341792e-11      -1.704098186802e-14 
   26       1.392502714619e-10       1.799253278885e-15       2.383350591055e-13       0.000000000000e+00       1.977449446015e-10       2.077855312607e-11      -1.603205260742e-14 
   27       1.414236230197e-10       2.050787598951e-15       2.453523290282e-13       0.000000000000e+00       1.843484077948e-10       1.946617886206e-11      -1.354572984096e-14 
   28       1.436163834404e-10       2.326640708490e-15       2.512501555895e-13       0.000000000000e+00       1.721498056919e-10       1.825418895701e-11      -1.074021726415e-14 
   29       1.458387251179e-10       2.628259158928e-15       2.560940374785e-13       0.000000000000e+00       1.610867738951e-10       1.714143526608e-11      -8.251303623850e-15 
   30       1.481016697543e-10       2.956786721139e-15       2.600073340019e-13       0.000000000000e+00       1.510404709342e-10       1.612975156092e-11      -6.645639709188e-15 
   31       1.504052239299e-10       3.313296928058e-15       2.631152073088e-13       0.000000000000e+00       1.418059253045e-10       1.521139131861e-11      -6.413972744491e-15 
   32       1.527517801411e-10       3.698708782147e-15       2.653620020325e-13       0.000000000000e+00       1.333353710061e-10       1.437590491593e-11      -7.275697780654e-15 
   33       1.551348887621e-10       4.113824939728e-15       2.666242408560e-13       0.000000000000e+00       1.255688249869e-10       1.360387151964e-11      -8.597227034065e-15 
   34       1.575412740038e-10       4.559401391850e-15       2.667606484426e-13       0.000000000000e+00       1.183975165176e-10       1.287224601484e-11      -9.698905440829e-15 
   35       1.599753753533e-10       5.036345658342e-15       2.656289659305e-13       0.000000000000e+00       1.117846814959e-10       1.218296052951e-11      -1.034762469939e-14 
   36       1.624416268004e-10       5.545579782727e-15       2.630723083761e-13       0.000000000000e+00       1.056772169515e-10       1.154350235467e-11      -1.042993445906e-14 
   37       1.649394718222e-10       6.087971150532e-15       2.589471464447e-13       0.000000000000e+00       9.999558132175e-11       1.095820863039e-11      -9.880150315299e-15 
   38       1.674713777819e-10       6.664285680862e-15       2.532395790401e-13       0.000000000000e+00       9.472504870128e-11       1.042519833524e-11      -8.880086218856e-15 
   39       1.700362395810e-10       7.275212230493e-15       2.459881696812e-13       0.000000000000e+00       8.984885349022e-11       9.937870755624e-12      -7.730154114211e-15 
   40       1.726263963660e-10       7.921369388012e-15       2.372546172282e-13       0.000000000000e+00       8.532043355576e-11       9.485274722162e-12      -6.801730324188e-15 
   41       1.752319611368e-10       8.603348195140e-15       2.271008242435e-13       0.000000000000e+00       8.107963855946e-11       9.055410348694e-12      -6.434783003628e-15 
   42       1.778570782108e-10       9.321867802032e-15       2.155077556966e-13       0.000000000000e+00       7.711394754977e-11       8.647275330751e-12      -6.579786904031e-15 
   43       1.805078563777e-10       1.007766294556e-14       2.024325243876e-13       0.000000000000e+00       7.341280595251e-11       8.262146102106e-12      -7.046862584869e-15 
   44       1.831875352715e-10       1.087143991234e-14       1.878301772208e-13       0.000000000000e+00       6.994925680957e-11       7.900161814559e-12      -7.599847871794e-15 
