# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901463696e-06       3.058048614319e-09 
       8.891666133645e-06       3.030012256103e-09 
       1.119394444884e-05       3.002232936763e-09 
       1.409234112485e-05       2.974708299754e-09 
       1.774120635375e-05       2.947436010134e-09 
       2.233485551462e-05       2.920413754368e-09 
       2.811791717610e-05       2.893639240132e-09 
       3.539836045972e-05       2.867110196118e-09 
       4.456389551859e-05       2.840824371842e-09 
       5.610262051689e-05       2.814779537451e-09 
       7.062901463696e-05       2.788973483537e-09 
       8.891666133645e-05       2.763404020947e-09 
       1.119394444884e-04       2.738068980599e-09 
       1.409234112485e-04       2.712966213298e-09 
       1.774120635375e-04       2.688093589550e-09 
       2.233485551462e-04       2.663448999388e-09 
       2.811791717610e-04       2.639030352186e-09 
       3.539836045972e-04       2.614835576488e-09 
       4.456389551859e-04       2.590862619826e-09 
       5.610262051689e-04       2.567109448552e-09 
       7.062901463696e-04       2.543574047662e-09 
       8.891666133645e-04       2.520254420623e-09 
       1.119394444884e-03       2.497148589211e-09 
       1.409234112485e-03       2.474254593334e-09 
       1.774120635375e-03       2.451570490873e-09 
       2.233485551462e-03       2.429094357513e-09 
       2.811791717610e-03       2.406824286583e-09 
       3.539836045972e-03       2.384758388890e-09 
       4.456389551859e-03       2.362894792563e-09 
       5.610262051689e-03       2.341231642893e-09 
       7.062901463696e-03       2.319767102172e-09 
       8.891666133645e-03       2.298499349543e-09 
       1.119394444884e-02       2.277426580843e-09 
       1.409234112485e-02       2.256547008447e-09 
       1.774120635375e-02       2.235858861121e-09 
       2.233485551462e-02       2.215360383870e-09 
       2.811791717610e-02       2.195049837789e-09 
       3.539836045972e-02       2.174925499913e-09 
       4.456389551859e-02       2.154985663075e-09 
       5.610262051689e-02       2.135228635761e-09 
       7.062901463696e-02       2.115652741962e-09 
       8.891666133645e-02       2.096256321036e-09 
       1.119394444884e-01       2.077037727566e-09 
       1.409234112485e-01       2.057995331220e-09 
       1.774120635375e-01       2.039127516613e-09 
       2.233485551462e-01       2.020432683170e-09 
       2.811791717610e-01       2.001909244990e-09 
       3.539836045972e-01       1.983555630712e-09 
       4.456389551859e-01       1.965370283381e-09 
       5.610262051689e-01       1.947351660317e-09 
       7.062901463696e-01       1.929498232982e-09 
       8.891666133645e-01       1.911808486853e-09 
       1.119394444884e+00       1.894280921291e-09 
       1.409234112485e+00       1.876914049416e-09 
       1.774120635375e+00       1.859706397980e-09 
       2.233485551462e+00       1.842656507240e-09 
       2.811791717610e+00       1.825762930838e-09 
       3.539836045972e+00       1.809024235675e-09 
       4.456389551859e+00       1.792439001792e-09 
       5.610262051689e+00       1.776005822247e-09 
       7.062901463696e+00       1.759723302998e-09 
       8.891666133645e+00       1.743590062783e-09 
       1.119394444884e+01       1.727604733003e-09 
       1.409234112485e+01       1.711765957607e-09 
       1.774120635375e+01       1.696072392977e-09 
       2.233485551462e+01       1.680522707812e-09 
       2.811791717610e+01       1.665115583018e-09 
       3.539836045972e+01       1.649849711593e-09 
       4.456389551859e+01       1.634723798518e-09 
       5.610262051689e+01       1.619736560649e-09 
       7.062901463696e+01       1.604886726601e-09 
       8.891666133645e+01       1.590173036651e-09 
       1.119394444884e+02       1.575594242621e-09 
       1.409234112485e+02       1.561149107778e-09 
       1.774120635375e+02       1.546836406727e-09 
